名前,性別,生年,没年,父,母,配偶者,養父,養母,肩書,期間,メモ
夏禹,男,,前2010,,,塗山氏,,,帝,前2070-前2010,
夏啓,男,,前1982,夏禹,,,,,帝,前2010-前1982,
夏太康,男,,前1953,夏啓,,,,,帝,前1982-前1953,
夏仲康,男,,前1940,夏啓,,,,,帝,前1953-前1940,
夏相,男,,前1912,夏仲康,,,,,帝,前1940-前1912,
夏少康,男,,前1891,夏相,,,,,帝,前1912-前1891,
夏杼,男,,前1874,夏少康,,,,,帝,前1891-前1874,
夏槐,男,,前1848,夏杼,,,,,帝,前1874-前1848,
夏芒,男,,前1830,夏槐,,,,,帝,前1848-前1830,
夏泄,男,,前1814,夏芒,,,,,帝,前1830-前1814,
夏不降,男,,前1755,夏泄,,,,,帝,前1814-前1755,
夏扃,男,,前1734,夏泄,,,,,帝,前1755-前1734,
夏廑,男,,前1713,夏扃,,,,,帝,前1734-前1713,
夏孔甲,男,,前1682,夏不降,,,,,帝,前1713-前1682,
夏皋,男,,前1671,夏孔甲,,,,,帝,前1682-前1671,
夏發,男,,前1652,夏皋,,,,,帝,前1671-前1652,
夏桀履癸,男,,前1600,夏發,,,,,帝,前1652-前1600,
塗山氏,女,,,,,夏禹,,,后,,夏禹の妃
