名前,性別,生年,没年,父,母,配偶者,養父,養母,肩書,期間,メモ
商湯,男,,前1588,,,,,,帝,前1600-前1588,
商外丙,男,,前1586,商湯,,,,,帝,前1588-前1586,
商仲壬,男,,前1583,商湯,,,,,帝,前1586-前1583,
商太甲,男,,前1561,商太丁,,,,,帝,前1583-前1561,
商沃丁,男,,前1546,商太甲,,,,,帝,前1561-前1546,
商太庚,男,,前1535,商太甲,,,,,帝,前1546-前1535,
商小甲,男,,前1521,商太庚,,,,,帝,前1535-前1521,
商雍己,男,,前1508,商太庚,,,,,帝,前1521-前1508,
商太戊,男,,前1450,商太庚,,,,,帝,前1508-前1450,
商仲丁,男,,前1438,商太戊,,,,,帝,前1450-前1438,
商外壬,男,,前1427,商太戊,,,,,帝,前1438-前1427,
商河亶甲,男,,前1413,商太戊,,,,,帝,前1427-前1413,
商祖乙,男,,前1385,商河亶甲,,,,,帝,前1413-前1385,
商祖辛,男,,前1371,商祖乙,,,,,帝,前1385-前1371,
商沃甲,男,,前1365,商祖乙,,,,,帝,前1371-前1365,
商祖丁,男,,前1344,商祖辛,,,,,帝,前1365-前1344,
商南庚,男,,前1333,商沃甲,,,,,帝,前1344-前1333,
商陽甲,男,,前1325,商祖丁,,,,,帝,前1333-前1325,
商盤庚,男,,前1296,商祖丁,,,,,帝,前1325-前1296,
商小辛,男,,前1287,商祖丁,,,,,帝,前1296-前1287,
商小乙,男,,前1273,商祖丁,,,,,帝,前1287-前1273,
商武丁,男,,前1192,商小乙,,,,,帝,前1250-前1192,
商祖庚,男,,前1181,商武丁,,,,,帝,前1192-前1181,
商祖甲,男,,前1159,商武丁,,,,,帝,前1181-前1159,
商廩辛,男,,前1155,商祖甲,,,,,帝,前1159-前1155,
商庚丁,男,,前1142,商祖甲,,,,,帝,前1155-前1142,
商武乙,男,,前1115,商庚丁,,,,,帝,前1142-前1115,
商文丁,男,,前1101,商武乙,,,,,帝,前1115-前1101,
商帝乙,男,,前1076,商文丁,,,,,帝,前1101-前1076,
商紂帝辛,男,,前1046,商帝乙,,,,,帝,前1075-前1046,
商太丁,男,,,,,,,,太子,,商湯の長子。早逝して王位に就かず、子の太甲が継いだ
