名前,性別,生年,没年,父,母,配偶者,養父,養母,肩書,期間,メモ
周武王姬發,男,,前1043,周文王姬昌,太姒,,,,王,前1046-前1043,
周成王姬誦,男,,前1021,周武王姬發,邑姜,,,,王,前1042-前1021,
周康王姬釗,男,,前996,周成王姬誦,,,,,王,前1020-前996,
周昭王姬瑕,男,,前977,周康王姬釗,,,,,王,前995-前977,
周穆王姬滿,男,,前922,周昭王姬瑕,,,,,王,前976-前922,
周共王姬繄扈,男,,前900,周穆王姬滿,,,,,王,前922-前900,
周懿王姬囏,男,,前892,周共王姬繄扈,,,,,王,前899-前892,
周孝王姬辟方,男,,前886,周穆王姬滿,,,,,王,前891-前886,共王の弟。兄系に代わって即位
周夷王姬燮,男,,前878,周懿王姬囏,,,,,王,前885-前878,
周厲王姬胡,男,,前828,周夷王姬燮,,,,,王,前877-前841,
共和,男,,,,,,,,攝政,前841-前828,
周宣王姬靜,男,,前782,周厲王姬胡,,,,,王,前827-前782,
周幽王姬宮湼,男,,前771,周宣王姬靜,,褒姒,,,王,前781-前771,
周文王姬昌,男,前1152,前1056,,,太姒,,,文王,,西伯。周王朝の基盤を築く
太姒,女,,,,,周文王姬昌,,,文王の正妃,,武王・周公旦らの母
邑姜,女,,,,,周武王姬發,,,武王の妃,,成王の母。斉の太公望の娘と伝わる
褒姒,女,,,,,周幽王姬宮湼,,,褒姒,,幽王の妃。傾国の美女
