名前,性別,生年,没年,父,母,配偶者,養父,養母,肩書,期間,メモ
周平王姬宜臼,男,,前720,周幽王姬宮湼,申后,,,,王,前770-前720,
周桓王姬林,男,,前697,太子泄父,,,,,王,前719-前697,
周莊王姬佗,男,,前682,周桓王姬林,,,,,王,前696-前682,
周釐王姬胡齊,男,,前677,周莊王姬佗,,,,,王,前681-前677,
周惠王姬閬,男,,前652,周釐王姬胡齊,,,,,王,前676-前652,
周襄王姬鄭,男,,前619,周惠王姬閬,,,,,王,前651-前619,
周頃王姬壬臣,男,,前613,周襄王姬鄭,,,,,王,前618-前613,
周匡王姬班,男,,前607,周頃王姬壬臣,,,,,王,前612-前607,
周定王姬瑜,男,,前586,周頃王姬壬臣,,,,,王,前606-前586,
周簡王姬夷,男,,前572,周定王姬瑜,,,,,王,前585-前572,
周靈王姬泄心,男,,前545,周簡王姬夷,,,,,王,前571-前545,
周景王姬貴,男,,前520,周靈王姬泄心,,,,,王,前544-前520,
周悼王姬猛,男,,前520,周景王姬貴,,,,,王,前520,
周敬王姬匄,男,,前476,周景王姬貴,,,,,王,前519-前476,
申后,女,,,,,周幽王姬宮湼,,,申后,,幽王の王后。平王の母
太子泄父,男,,,周平王姬宜臼,,,,,太子,,平王の子。早逝し、子の桓王が継いだ
周幽王姬宮湼,男,,前771,,,申后,,,王,,西周の最後の王。平王の父。西周ファイルにも収録
