名前,性別,生年,没年,肩書,主君,期間,メモ
管仲,男,前723,前645,宰相,斉桓公姜小白,,政治・経済。斉を春秋最強の覇国に。「尊王攘夷」
鮑叔牙,男,,前644,卿,斉桓公姜小白,,政治。管仲を桓公に推挙
晏嬰,男,前578,前500,宰相,斉景公姜杵臼,,政治・外交。節倹。晏子の故事
子産,男,,前522,宰相,鄭簡公姬嘉,,政治・経済。鄭を改革し法を公布
孫武,男,前545,前470,軍師,呉王闔閭姬光,,軍師。『孫子』の著者
伍子胥,男,前559,前484,将・謀臣,呉王闔閭姬光,,軍事。呉を強国に。後に夫差に殺される
范蠡,男,前536,前448,軍師,越王勾踐,,軍師・経済。越を復興させ呉を滅ぼす。後に陶朱公として富豪
文種,男,,前472,謀臣,越王勾踐,,謀略。「九術」で呉を破る
百里奚,男,,前621,宰相,秦穆公嬴任好,,政治。牛価五羊の伝説。秦の覇業を支える
斉桓公姜小白,男,前716,前643,斉君・覇者,,,春秋の覇者。管仲を用いる
斉景公姜杵臼,男,,前490,斉君,,,晏嬰の主君
鄭簡公姬嘉,男,,前530,鄭君,,,子産を登用
呉王闔閭姬光,男,,前496,呉王,,,孫武・伍子胥を用いる
越王勾踐,男,前520,前465,越王・覇者,,,臥薪嘗胆。范蠡・文種を用いる
秦穆公嬴任好,男,,前621,秦君・覇者,,,春秋の覇者。百里奚を用いる
