名前,性別,生年,没年,父,母,配偶者,養父,養母,肩書,期間,メモ
楚惠王熊章,男,,前432,楚昭王熊珍,,,,,王,前488-前432,
楚簡王熊中,男,,前408,楚惠王熊章,,,,,王,前431-前408,
楚聲王熊當,男,,前402,楚簡王熊中,,,,,王,前407-前402,
楚悼王熊疑,男,,前381,楚聲王熊當,,,,,王,前401-前381,
楚肅王熊臧,男,,前370,楚悼王熊疑,,,,,王,前380-前370,
楚宣王熊良夫,男,,前340,楚悼王熊疑,,,,,王,前369-前340,
楚威王熊商,男,,前329,楚宣王熊良夫,,,,,王,前339-前329,
楚懷王熊槐,男,前328,前296,楚威王熊商,,,,,王,前328-前299,
楚頃襄王熊橫,男,,前263,楚懷王熊槐,,,,,王,前298-前263,
楚考烈王熊完,男,前290,前238,楚頃襄王熊橫,,,,,王,前262-前238,
楚幽王熊悍,男,前263,前228,楚考烈王熊完,,,,,王,前237-前228,
楚哀王熊猶,男,,前228,楚考烈王熊完,,,,,王,前228,
楚王負芻,男,,前223,楚考烈王熊完,,,,,王,前227-前223,
楚昭王熊珍,男,,前489,,,,,,昭王,,惠王の父。春秋末期の楚王
