名前,性別,生年,没年,父,母,配偶者,養父,養母,肩書,期間,メモ
秦厲共公,男,,前443,秦悼公,,,,,公,前476-前443,
秦躁公,男,,前429,秦厲共公,,,,,公,前442-前429,
秦懷公,男,,前425,秦厲共公,,,,,公,前428-前425,
秦靈公,男,,前415,秦太子昭子,,,,,公,前424-前415,
秦簡公,男,,前400,秦懷公,,,,,公,前414-前400,
秦惠公,男,,前387,秦簡公,,,,,公,前399-前387,
秦出子,男,,前385,秦惠公,,,,,出子,前386-前385,幼少で即位したが庶長に殺害された
秦獻公嬴師隰,男,前424,前362,秦靈公,,,,,公,前384-前362,
秦孝公嬴渠梁,男,前381,前338,秦獻公嬴師隰,,,,,公,前361-前338,
秦惠文王嬴駟,男,前356,前311,秦孝公嬴渠梁,,宣太后羋八子,,,王,前337-前311,
秦武王嬴蕩,男,前329,前307,秦惠文王嬴駟,,,,,王,前310-前307,
秦昭襄王嬴稷,男,前325,前251,秦惠文王嬴駟,宣太后羋八子,,,,王,前306-前251,
秦孝文王嬴柱,男,前302,前250,秦昭襄王嬴稷,,夏姬；華陽夫人,,,王,前250,
秦莊襄王嬴子楚,男,前281,前247,秦孝文王嬴柱,夏姬,趙姬,,華陽夫人,王,前249-前247,
秦悼公,男,,,,,,,,悼公,,厲共公の父
秦太子昭子,男,,,秦懷公,,,,,太子,,懷公の子。早逝し、子の靈公が継いだ
宣太后羋八子,女,,前265,,,秦惠文王嬴駟,,,宣太后,,昭襄王の母。長期にわたり摂政
夏姬,女,,,,,秦孝文王嬴柱,,,夏姫,,孝文王の妃。莊襄王の母
華陽夫人,女,,,,,秦孝文王嬴柱,,,華陽夫人,,孝文王の正妻。莊襄王の養母
趙姬,女,,前228,,,秦莊襄王嬴子楚,,,帝太后,,莊襄王の妻。始皇帝の母
