名前,性別,生年,没年,肩書,主君,期間,メモ
商鞅,男,前390,前338,丞相・改革,秦孝公嬴渠梁,,政治・経済。変法で秦の法治国家を築く
張儀,男,,前309,丞相・外交,秦惠文王嬴駟,,外交。連衡策で六国を分断
樗里疾,男,,前300,丞相・将,秦武王嬴蕩,,政治・軍事。智囊と呼ばれた公子
白起,男,,前257,大将軍,秦昭襄王嬴稷,,軍事。長平の戦いで趙を壊滅させる
范雎,男,,前255,丞相・謀士,秦昭襄王嬴稷,,謀略。遠交近攻策
吕不韦,男,前292,前235,丞相・経済,秦莊襄王嬴子楚,,政治・経済。商人から相国に。『呂氏春秋』
王翦,男,,前220,大将軍,秦始皇帝嬴政,,軍事。統一戦の主力。楚を滅ぼす
秦孝公嬴渠梁,男,前381,前338,公,,前361-前338,戰國·秦の君主
秦惠文王嬴駟,男,前356,前311,王,,前337-前311,戰國·秦の君主
秦武王嬴蕩,男,前329,前307,王,,前310-前307,戰國·秦の君主
秦昭襄王嬴稷,男,前325,前251,王,,前306-前251,戰國·秦の君主
秦莊襄王嬴子楚,男,前281,前247,王,,前249-前247,戰國·秦の君主
秦始皇帝嬴政,男,前259,前210,皇帝,,前246-前210,秦の君主
