名前,性別,生年,没年,父,母,配偶者,養父,養母,肩書,期間,メモ
漢高祖劉邦,男,前256,前195,劉太公,劉媼,呂雉,,,皇帝,前202-前195,
漢惠帝劉盈,男,前210,前188,漢高祖劉邦,呂雉,張嫣,,,皇帝,前195-前188,
前少帝劉恭,男,,前184,漢惠帝劉盈,,,,,皇帝,前188-前184,呂后が擁立（宮人の子とも）
後少帝劉弘,男,,前180,漢惠帝劉盈,,,,,皇帝,前184-前180,呂后が擁立
漢文帝劉恆,男,前203,前157,漢高祖劉邦,薄姬,竇猗房,,,皇帝,前180-前157,
漢景帝劉啟,男,前188,前141,漢文帝劉恆,竇猗房,王娡,,,皇帝,前157-前141,
漢武帝劉徹,男,前156,前87,漢景帝劉啟,王娡,陳阿嬌；衛子夫,,,皇帝,前141-前87,
漢昭帝劉弗陵,男,前94,前74,漢武帝劉徹,鉤弋夫人,,,,皇帝,前87-前74,
昌邑王劉賀,男,前92,前59,昌邑哀王劉髆,,,,,皇帝,前74,
漢宣帝劉詢,男,前91,前49,史皇孫劉進,王夫人,許平君,,,皇帝,前74-前49,
漢元帝劉奭,男,前74,前33,漢宣帝劉詢,許平君,王政君,,,皇帝,前49-前33,
漢成帝劉驁,男,前51,前7,漢元帝劉奭,王政君,趙飛燕,,,皇帝,前33-前7,
漢哀帝劉欣,男,前25,前1,定陶恭王劉康,,,漢成帝劉驁,,皇帝,前7-前1,
漢平帝劉衎,男,前9,6,中山孝王劉興,,,漢成帝劉驁,,皇帝,前1-6,
孺子嬰劉嬰,男,5,25,廣戚侯劉顯,,,,,皇太子,6-9,
劉太公,男,,前197,,,劉媼,,,太上皇,,漢高祖の父
劉媼,女,,,,,劉太公,,,昭靈皇后,,漢高祖の母
呂雉,女,前241,前180,,,漢高祖劉邦,,,高皇后,,高祖の皇后。惠帝の母
薄姬,女,前215,前155,,,漢高祖劉邦,,,孝文太后,,文帝の母
竇猗房,女,,前135,,,漢文帝劉恆,,,孝文皇后,,文帝の皇后。景帝の母
王娡,女,,前126,,,漢景帝劉啟,,,孝景皇后,,景帝の皇后。武帝の母
陳阿嬌,女,,,,,漢武帝劉徹,,,孝武陳皇后,,武帝の最初の皇后。金屋藏嬌の故事
衛子夫,女,,前91,,,漢武帝劉徹,,,思皇后,,武帝の皇后。戾太子の母
鉤弋夫人,女,,前88,,,漢武帝劉徹,,,鉤弋夫人,,昭帝の母。武帝に後事を託された
戾太子劉據,男,前128,前91,漢武帝劉徹,,,,,戾太子,,武帝の長子。巫蠱の禍で死
史皇孫劉進,男,,前91,戾太子劉據,,,,,史皇孫,,戾太子の子。宣帝の父
王夫人,女,,,,,史皇孫劉進,,,夫人,,宣帝の母
昌邑哀王劉髆,男,,前88,漢武帝劉徹,,,,,昌邑哀王,,武帝の子。昌邑王賀の父
許平君,女,,前71,,,漢宣帝劉詢,,,恭哀皇后,,宣帝の皇后。元帝の母
王政君,女,前71,13,,,漢元帝劉奭,,,孝元皇后,,元帝の皇后。成帝の母
趙飛燕,女,,前1,,,漢成帝劉驁,,,孝成皇后,,成帝の皇后。身軽な舞で知られる
定陶恭王劉康,男,,前23,漢元帝劉奭,,,,,定陶恭王,,元帝の子。哀帝の父
中山孝王劉興,男,,前8,漢元帝劉奭,,,,,中山孝王,,元帝の子。平帝の父
廣戚侯劉顯,男,,,,,,,,廣戚侯,,宣帝の曾孫。孺子嬰の父
張嫣,女,,前163,,,漢惠帝劉盈,,,孝惠皇后,,惠帝の皇后。呂后の外孫女
梁孝王劉武,男,,前144,漢文帝劉恆,,,,,梁孝王,,文帝の子。景帝の弟
