名前,性別,生年,没年,肩書,主君,期間,メモ
蕭何,男,前257,前193,丞相,漢高祖劉邦,,政治・経済。律令・兵站を支えた漢の三傑
曹参,男,,前190,丞相,漢高祖劉邦,,政治。蕭何の後継。「蕭規曹随」
張良,男,前250,前186,軍師,漢高祖劉邦,,軍師。漢の三傑の一
陳平,男,,前178,謀臣,漢高祖劉邦,,謀略。離間の計。呂后期を乗り切る
韓信,男,前231,前196,大将軍,漢高祖劉邦,,軍事。漢の三傑の一。背水の陣
周勃,男,,前169,将・宰相,漢高祖劉邦,,軍事・政治。諸呂の乱を平定
晁錯,男,前200,前154,御史大夫,漢景帝劉啟,,政治。削藩策で七国の乱を招く
周亞夫,男,,前143,大将軍・宰相,漢景帝劉啟,,軍事。七国の乱を平定
衛青,男,,前106,大将軍,漢武帝劉徹,,軍事。匈奴に大勝し朔方を奪回
霍去病,男,前140,前117,将,漢武帝劉徹,,軍事。若き天才騎兵将。「匈奴未滅何以家為」
張騫,男,前164,前114,外交官,漢武帝劉徹,,外交。西域へ2度の大遠征。シルクロードを開く
蘇武,男,前140,前60,外交官,漢武帝劉徹,,外交。匈奴に19年抑留され節を守る
桑弘羊,男,前152,前80,御史大夫・経済,漢武帝劉徹,,経済。均輸・平準・塩鉄専売で財源を確保
董仲舒,男,前179,前104,学者・政治家,漢武帝劉徹,,政治・思想。儒学の官学化を提唱
霍光,男,,前68,権臣・輔政,漢昭帝劉弗陵,,政治。武帝の遺命で輔政。宣帝期まで実権
王昭君,女,,,和親外交,漢元帝劉奭,,外交。匈奴へ和親に出た宮女
漢高祖劉邦,男,前256,前195,皇帝,,前202-前195,前漢の君主
漢景帝劉啟,男,前188,前141,皇帝,,前157-前141,前漢の君主
漢武帝劉徹,男,前156,前87,皇帝,,前141-前87,前漢の君主
漢昭帝劉弗陵,男,前94,前74,皇帝,,前87-前74,前漢の君主
漢元帝劉奭,男,前74,前33,皇帝,,前49-前33,前漢の君主
