名前,性別,生年,没年,父,母,配偶者,養父,養母,肩書,期間,メモ
漢光武帝劉秀,男,前5,57,劉欽,樊嫻都,陰麗華；郭聖通,,,皇帝,25-57,
漢明帝劉莊,男,28,75,漢光武帝劉秀,陰麗華,馬皇后,,,皇帝,57-75,
漢章帝劉炟,男,57,88,漢明帝劉莊,賈貴人,梁貴人,,,皇帝,75-88,
漢和帝劉肇,男,79,105,漢章帝劉炟,梁貴人,,,,皇帝,88-105,
漢殤帝劉隆,男,105,106,漢和帝劉肇,,,,,皇帝,105-106,
漢安帝劉祜,男,94,125,清河孝王劉慶,,李貴人,,,皇帝,106-125,
北鄉侯劉懿,男,,125,濟北惠王劉壽,,,,,皇帝,125,
漢順帝劉保,男,115,144,漢安帝劉祜,李貴人,虞貴人,,,皇帝,125-144,
漢沖帝劉炳,男,143,145,漢順帝劉保,虞貴人,,,,皇帝,144-145,
漢質帝劉纘,男,138,146,勃海孝王劉鴻,,,,,皇帝,145-146,
漢桓帝劉志,男,132,168,蠡吾侯劉翼,,,,,皇帝,146-168,
漢靈帝劉宏,男,156,189,解瀆亭侯劉萇,,何皇后；王美人,,,皇帝,168-189,
弘農王劉辯,男,176,190,漢靈帝劉宏,何皇后,,,,皇帝,189,
漢獻帝劉協,男,181,234,漢靈帝劉宏,王美人,曹節,,,皇帝,189-220,
劉欽,男,,,,,樊嫻都,,,南頓令,,光武帝の父
樊嫻都,女,,,,,劉欽,,,樊夫人,,光武帝の母
陰麗華,女,5,64,,,漢光武帝劉秀,,,光烈皇后,,光武帝の皇后。明帝の母
郭聖通,女,,52,,,漢光武帝劉秀,,,光武郭皇后,,光武帝の皇后。東海恭王の母
東海恭王劉彊,男,,58,漢光武帝劉秀,,,,,東海恭王,,光武帝の子。初代皇太子
馬皇后,女,39,79,,,漢明帝劉莊,,,明德皇后,,明帝の皇后
賈貴人,女,,,,,漢明帝劉莊,,,貴人,,章帝の母
梁貴人,女,,83,,,漢章帝劉炟,,,貴人,,和帝の母
清河孝王劉慶,男,,106,漢章帝劉炟,,,,,清河孝王,,章帝の子。安帝の父
濟北惠王劉壽,男,,,漢章帝劉炟,,,,,濟北惠王,,章帝の子。北鄉侯の父
勃海孝王劉鴻,男,,,河間孝王劉開,,,,,勃海孝王,,章帝の孫。質帝の父
河間孝王劉開,男,,,漢章帝劉炟,,,,,河間孝王,,章帝の子。勃海孝王・蠡吾侯の父
蠡吾侯劉翼,男,,,河間孝王劉開,,,,,蠡吾侯,,章帝の孫。桓帝の父
解瀆亭侯劉萇,男,,,,,,,,解瀆亭侯,,章帝の曾孫。靈帝の父
何皇后,女,,189,,,漢靈帝劉宏,,,靈思皇后,,靈帝の皇后。弘農王の母
王美人,女,,181,,,漢靈帝劉宏,,,美人,,獻帝の母。何皇后に毒殺された
曹節,女,,260,,,漢獻帝劉協,,,獻穆皇后,,曹操の娘。獻帝の皇后
李貴人,女,,,,,漢安帝劉祜,,,貴人,,安帝の妃。順帝の母
虞貴人,女,,,,,漢順帝劉保,,,貴人,,順帝の妃。沖帝の母
