名前,性別,生年,没年,肩書,主君,期間,メモ
鄧禹,男,2,58,将・丞相,漢光武帝劉秀,,軍事・政治。雲台二十八将の筆頭
吳漢,男,,44,大将軍,漢光武帝劉秀,,軍事。統一戦の主力
馬援,男,前14,49,将,漢光武帝劉秀,,軍事。「馬革裹尸」の故事
班超,男,32,102,外交・将,漢明帝劉莊,,外交。西域都護として30年西域を統治
竇憲,男,,92,大将軍・権臣,漢和帝劉肇,,軍事。燕然勒石。後に誅殺
蔡倫,男,61,121,尚方令・技術,漢和帝劉肇,,技術・経済。紙の製法改良
張衡,男,78,139,太史令・科学,漢順帝劉保,,科学。地動儀・渾天儀
陳蕃,男,,168,太傅,漢靈帝劉宏,,政治。党錮の禍で誅殺
竇武,男,,168,大将軍,漢桓帝劉志,,政治。宦官と対立し誅殺
何進,男,,189,大将軍,漢靈帝劉宏,,政治。宦官粛清に失敗し殺される
皇甫嵩,男,,195,将,漢靈帝劉宏,,軍事。黄巾の乱を鎮圧
曹操,男,155,220,丞相・魏王,漢獻帝劉協,,政治・軍事。後漢の実権者。魏の基礎を築く
漢光武帝劉秀,男,前5,57,皇帝,,25-57,東漢の君主
漢明帝劉莊,男,28,75,皇帝,,57-75,東漢の君主
漢和帝劉肇,男,79,105,皇帝,,88-105,東漢の君主
漢順帝劉保,男,115,144,皇帝,,125-144,東漢の君主
漢靈帝劉宏,男,156,189,皇帝,,168-189,東漢の君主
漢桓帝劉志,男,132,168,皇帝,,146-168,東漢の君主
漢獻帝劉協,男,181,234,皇帝,,189-220,東漢の君主
