名前,性別,生年,没年,父,母,配偶者,養父,養母,肩書,期間,メモ
晉元帝司馬睿,男,276,322,琅邪恭王司馬覲,,,,,皇帝,317-322,
晉明帝司馬紹,男,299,325,晉元帝司馬睿,,,,,皇帝,322-325,
晉成帝司馬衍,男,321,342,晉明帝司馬紹,,,,,皇帝,325-342,
晉康帝司馬嶽,男,322,344,晉明帝司馬紹,,,,,皇帝,342-344,
晉穆帝司馬聃,男,343,361,晉康帝司馬嶽,,,,,皇帝,344-361,
晉哀帝司馬丕,男,341,365,晉成帝司馬衍,,,,,皇帝,361-365,
海西公司馬奕,男,342,386,晉成帝司馬衍,,,,,皇帝,365-371,
晉簡文帝司馬昱,男,320,372,晉元帝司馬睿,,,,,皇帝,371-372,
晉孝武帝司馬曜,男,362,396,晉簡文帝司馬昱,,,,,皇帝,372-396,
晉安帝司馬德宗,男,382,418,晉孝武帝司馬曜,,,,,皇帝,396-418,
晉恭帝司馬德文,男,386,421,晉孝武帝司馬曜,,,,,皇帝,418-420,
琅邪恭王司馬覲,男,256,290,,,,,,琅邪恭王,,元帝の父
