名前,性別,生年,没年,父,母,配偶者,養父,養母,肩書,期間,メモ
北魏道武帝拓跋珪,男,371,409,拓跋寔,賀氏,,,,皇帝,386-409,
北魏明元帝拓跋嗣,男,392,423,北魏道武帝拓跋珪,,劉貴人,,,皇帝,409-423,
北魏太武帝拓跋燾,男,408,452,北魏明元帝拓跋嗣,杜貴嬪,,,,皇帝,423-452,
北魏文成帝拓跋濬,男,440,465,景穆太子拓跋晃,,,,,皇帝,452-465,
北魏獻文帝拓跋弘,男,454,476,北魏文成帝拓跋濬,,李貴人,,,皇帝,465-471,
北魏孝文帝元宏,男,467,499,北魏獻文帝拓跋弘,思皇后李氏,,,,皇帝,471-499,
北魏宣武帝元恪,男,483,515,北魏孝文帝元宏,,,,,皇帝,499-515,
北魏孝明帝元詡,男,510,528,北魏宣武帝元恪,,,,,皇帝,515-528,
北魏孝莊帝元子攸,男,507,530,彭城王元勰,,,,,皇帝,528-530,
北魏節閔帝元恭,男,498,532,廣陵惠王元羽,,,,,皇帝,531-532,
北魏孝武帝元脩,男,510,535,廣平武穆王元懷,,,,,皇帝,532-534,
拓跋寔,男,,,,,,,,獻明帝,,道武帝の父。昭成帝の子
賀氏,女,,396,,,拓跋寔,,,獻明皇后,,道武帝の母
劉貴人,女,,,,,北魏道武帝拓跋珪,,,宣穆皇后,,明元帝の母
杜貴嬪,女,,,,,北魏明元帝拓跋嗣,,,密皇后,,太武帝の母
景穆太子拓跋晃,男,428,451,北魏太武帝拓跋燾,,,,,景穆太子,,太武帝の子。文成帝の父
李貴人,女,,,,,北魏文成帝拓跋濬,,,貴人,,文成帝の妃。獻文帝の母
思皇后李氏,女,,,,,北魏獻文帝拓跋弘,,,思皇后,,孝文帝の母
彭城王元勰,男,473,508,北魏孝文帝元宏,,,,,彭城武宣王,,孝文帝の弟。孝莊帝の父
廣陵惠王元羽,男,,,北魏獻文帝拓跋弘,,,,,廣陵惠王,,獻文帝の子。節閔帝の父
廣平武穆王元懷,男,488,517,北魏孝文帝元宏,,,,,廣平武穆王,,孝文帝の子。孝武帝の父
