名前,性別,生年,没年,肩書,主君,期間,メモ
崔浩,男,381,450,司徒・政治家,北魏太武帝拓跋燾,,政治。北魏の大改革者。国史事件で誅殺
高允,男,390,487,中書令,北魏孝文帝元宏,,政治。国史事件の危機を乗り越え長く仕える
李沖,男,450,498,尚書・改革,北魏孝文帝元宏,,政治・経済。均田制・三長制を推進
文明太后馮氏,女,442,490,太后・実権者,北魏獻文帝拓跋弘,,政治。孝文帝の摂政。均田制を主導
爾朱榮,男,493,530,大将軍・権臣,北魏孝莊帝元子攸,,軍事。河陰の変。六鎮の乱を鎮圧
高歡,男,496,547,将・実権者,北魏孝武帝元脩,,軍事。北魏を二分し東魏の実権を握る
宇文泰,男,507,556,将・実権者,北魏孝武帝元脩,,軍事。西魏の実権者。府兵制を創設
楊大眼,男,,517,将,北魏宣武帝元恪,,軍事。南朝を恐れさせた勇将
北魏太武帝拓跋燾,男,408,452,皇帝,,423-452,北魏の君主
北魏孝文帝元宏,男,467,499,皇帝,,471-499,北魏の君主
北魏獻文帝拓跋弘,男,454,476,皇帝,,465-471,北魏の君主
北魏孝莊帝元子攸,男,507,530,皇帝,,528-530,北魏の君主
北魏孝武帝元脩,男,510,535,皇帝,,532-534,北魏の君主
北魏宣武帝元恪,男,483,515,皇帝,,499-515,北魏の君主
