名前,性別,生年,没年,父,母,配偶者,養父,養母,肩書,期間,メモ
唐高祖李淵,男,566,635,李昞,元貞皇后獨孤氏,太穆皇后竇氏,,,皇帝,618-626,
唐太宗李世民,男,598,649,唐高祖李淵,太穆皇后竇氏,長孫皇后,,,皇帝,626-649,
唐高宗李治,男,628,683,唐太宗李世民,長孫皇后,武則天武曌,,,皇帝,649-683,
唐中宗李顯,男,656,710,唐高宗李治,武則天武曌,韋皇后,,,皇帝,684;705-710,
唐睿宗李旦,男,662,716,唐高宗李治,武則天武曌,昭成皇后竇氏,,,皇帝,684-690;710-712,
唐殤帝李重茂,男,695,714,唐中宗李顯,,,,,皇帝,710,
唐玄宗李隆基,男,685,762,唐睿宗李旦,昭成皇后竇氏,楊貴妃,,,皇帝,712-756,
唐肅宗李亨,男,711,762,唐玄宗李隆基,,,,,皇帝,756-762,
唐代宗李豫,男,726,779,唐肅宗李亨,,,,,皇帝,762-779,
唐德宗李適,男,742,805,唐代宗李豫,,,,,皇帝,779-805,
唐順宗李誦,男,761,806,唐德宗李適,,,,,皇帝,805,
唐憲宗李純,男,778,820,唐順宗李誦,,懿安皇后郭氏,,,皇帝,805-820,
唐穆宗李恆,男,795,824,唐憲宗李純,懿安皇后郭氏,,,,皇帝,820-824,
唐敬宗李湛,男,809,826,唐穆宗李恆,,,,,皇帝,824-826,
唐文宗李昂,男,809,840,唐穆宗李恆,,,,,皇帝,826-840,
唐武宗李炎,男,814,846,唐穆宗李恆,,,,,皇帝,840-846,
唐宣宗李忱,男,810,859,唐憲宗李純,孝明皇后鄭氏,,,,皇帝,846-859,
唐懿宗李漼,男,833,873,唐宣宗李忱,,,,,皇帝,859-873,
唐僖宗李儇,男,862,888,唐懿宗李漼,,,,,皇帝,873-888,
唐昭宗李曄,男,867,904,唐懿宗李漼,,,,,皇帝,888-904,
唐哀帝李柷,男,892,908,唐昭宗李曄,,,,,皇帝,904-907,
李昞,男,,572,,,元貞皇后獨孤氏,,,世祖,,高祖の父
元貞皇后獨孤氏,女,,,,,李昞,,,元貞皇后,,高祖の母
太穆皇后竇氏,女,,,,,唐高祖李淵,,,太穆皇后,,高祖の皇后。太宗の母
長孫皇后,女,601,636,,,唐太宗李世民,,,文德皇后,,太宗の皇后。高宗の母
武則天武曌,女,624,705,,,唐高宗李治,,,則天皇后,,高宗の皇后。武周の皇帝
韋皇后,女,,710,,,唐中宗李顯,,,韋皇后,,中宗の皇后
昭成皇后竇氏,女,,,,,唐睿宗李旦,,,昭成順聖皇后,,睿宗の皇后。玄宗の母
楊貴妃,女,719,756,,,唐玄宗李隆基,,,貴妃,,玄宗の愛妃。楊貴妃の故事
懿安皇后郭氏,女,,848,,,唐憲宗李純,,,懿安皇后,,憲宗の皇后。穆宗の母
孝明皇后鄭氏,女,,865,,,唐憲宗李純,,,孝明皇后,,憲宗の妃。宣宗の母
李建成,男,589,626,唐高祖李淵,,,,,隱太子,,高祖の長子。玄武門の變で敗れる
李承乾,男,619,645,唐太宗李世民,,,,,太子,,太宗の長子。廢太子
