名前,性別,生年,没年,父,母,配偶者,養父,養母,肩書,期間,メモ
遼太祖耶律阿保機,男,872,926,耶律撒剌的,蕭巖母斤,述律平,,,皇帝,916-926,
遼太宗耶律德光,男,902,947,遼太祖耶律阿保機,述律平,,,,皇帝,926-947,
遼世宗耶律阮,男,919,951,耶律倍,,,,,皇帝,947-951,
遼穆宗耶律璟,男,931,969,遼太宗耶律德光,,,,,皇帝,951-969,
遼景宗耶律賢,男,948,982,遼世宗耶律阮,,蕭綽,,,皇帝,969-982,
遼聖宗耶律隆緒,男,971,1031,遼景宗耶律賢,蕭綽,,,,皇帝,982-1031,
遼興宗耶律宗真,男,1016,1055,遼聖宗耶律隆緒,,,,,皇帝,1031-1055,
遼道宗耶律洪基,男,1032,1101,遼興宗耶律宗真,,,,,皇帝,1055-1101,
遼天祚帝耶律延禧,男,1075,1128,遼道宗耶律洪基,,,,,皇帝,1101-1125,
耶律撒剌的,男,,,,,,,,德祖,,太祖の父
蕭巖母斤,女,,,,,耶律撒剌的,,,宣簡皇后,,太祖の母
述律平,女,879,953,,,遼太祖耶律阿保機,,,應天太后,,太祖の皇后。太宗の母
耶律倍,男,899,937,遼太祖耶律阿保機,,,,,人皇王,,太祖の子。世宗の父。東丹王
蕭綽,女,953,1009,,,遼景宗耶律賢,,,承天太后,,景宗の皇后。聖宗の母。攝政
