名前,性別,生年,没年,父,母,配偶者,養父,養母,肩書,期間,メモ
宋太祖趙匡胤,男,927,976,趙弘殷,杜太后,,,,皇帝,960-976,
宋太宗趙炅,男,939,997,趙弘殷,杜太后,,,,皇帝,976-997,
宋真宗趙恆,男,968,1022,宋太宗趙炅,,,,,皇帝,997-1022,
宋仁宗趙禎,男,1010,1063,宋真宗趙恆,,,,,皇帝,1022-1063,
宋英宗趙曙,男,1032,1067,濮安懿王趙允讓,,高滔滔,宋仁宗趙禎,,皇帝,1063-1067,
宋神宗趙頊,男,1048,1085,宋英宗趙曙,高滔滔,,,,皇帝,1067-1085,
宋哲宗趙煦,男,1076,1100,宋神宗趙頊,,,,,皇帝,1085-1100,
宋徽宗趙佶,男,1082,1135,宋神宗趙頊,欽慈皇后陳氏,,,,皇帝,1100-1125,
宋欽宗趙桓,男,1100,1161,宋徽宗趙佶,,,,,皇帝,1126-1127,
趙弘殷,男,899,956,,,杜太后,,,宣祖,,太祖・太宗の父
杜太后,女,902,961,,,趙弘殷,,,昭憲太后,,太祖・太宗の母
濮安懿王趙允讓,男,995,1059,商王趙元份,,,,,濮安懿王,,仁宗の養子・英宗の父
商王趙元份,男,,1003,宋太宗趙炅,,,,,商王,,太宗の子。濮安懿王の父
高滔滔,女,1032,1093,,,宋英宗趙曙,,,宣仁聖烈皇后,,英宗の皇后。神宗の母
欽慈皇后陳氏,女,,,,,宋神宗趙頊,,,欽慈皇后,,神宗の妃。徽宗の母
