名前,性別,生年,没年,父,母,配偶者,養父,養母,肩書,期間,メモ
金太祖完顏阿骨打,男,1068,1123,完顏劾里鉢,拏懶氏,,,,皇帝,1115-1123,
金太宗完顏吳乞買,男,1075,1135,完顏劾里鉢,拏懶氏,,,,皇帝,1123-1135,
金熙宗完顏亶,男,1119,1149,完顏宗峻,,,,,皇帝,1135-1149,
海陵王完顏亮,男,1122,1161,完顏宗幹,,,,,皇帝,1149-1161,
金世宗完顏雍,男,1123,1189,完顏宗輔,,,,,皇帝,1161-1189,
金章宗完顏璟,男,1168,1208,完顏允恭,,,,,皇帝,1189-1208,
衛紹王完顏永濟,男,1153,1213,金世宗完顏雍,,,,,皇帝,1208-1213,
金宣宗完顏珣,男,1163,1223,完顏允恭,,,,,皇帝,1213-1223,
金哀宗完顏守緒,男,1198,1234,金宣宗完顏珣,,,,,皇帝,1224-1234,
完顏劾里鉢,男,,1092,,,拏懶氏,,,世祖,,太祖・太宗の父
拏懶氏,女,,,,,完顏劾里鉢,,,拏懶氏,,太祖・太宗の母
完顏宗峻,男,,1124,金太祖完顏阿骨打,,,,,景宣帝,,太祖の子。熙宗の父
完顏宗幹,男,,1141,金太祖完顏阿骨打,,,,,遼王,,太祖の子。海陵王の父
完顏宗輔,男,,1135,金太祖完顏阿骨打,,,,,睿宗,,太祖の子。世宗の父
完顏允恭,男,,1185,金世宗完顏雍,,,,,顯宗,,世宗の子。章宗・宣宗の父
