名前,性別,生年,没年,父,母,配偶者,養父,養母,肩書,期間,メモ
宋高宗趙構,男,1107,1187,宋徽宗趙佶,韋氏,,,,皇帝,1127-1162,
宋孝宗趙昚,男,1127,1194,趙子偁,,,宋高宗趙構,,皇帝,1162-1189,
宋光宗趙惇,男,1147,1200,宋孝宗趙昚,,李鳳娘,,,皇帝,1189-1194,
宋寧宗趙擴,男,1168,1224,宋光宗趙惇,,,,,皇帝,1194-1224,
宋理宗趙昀,男,1205,1264,趙希瓐,,,宋寧宗趙擴,,皇帝,1224-1264,
宋度宗趙禥,男,1240,1274,趙與芮,,全皇后,宋理宗趙昀,,皇帝,1264-1274,
宋恭帝趙㬎,男,1271,1323,宋度宗趙禥,全皇后,,,,皇帝,1274-1276,
宋端宗趙昰,男,1269,1278,宋度宗趙禥,楊淑妃,,,,皇帝,1276-1278,
宋帝昺趙昺,男,1272,1279,宋度宗趙禥,俞修容,,,,皇帝,1278-1279,
宋徽宗趙佶,男,1082,1135,,,韋氏,,,皇帝,,北宋の皇帝。高宗の父。北宋ファイルにも収録
韋氏,女,1080,1159,,,宋徽宗趙佶,,,顯仁太后,,徽宗の妃。高宗の母
趙子偁,男,,,,,,,,秀安僖王,,孝宗の父（太祖の後裔）
李鳳娘,女,1144,1200,,,宋光宗趙惇,,,慈懿皇后,,光宗の皇后
趙希瓐,男,,,,,,,,榮王,,理宗の父（太祖の後裔）
趙與芮,男,,,趙希瓐,,,,,榮王,,希瓐の子。度宗の父
全皇后,女,1241,1309,,,宋度宗趙禥,,,全皇后,,度宗の皇后。恭帝の母
楊淑妃,女,,1279,,,宋度宗趙禥,,,楊淑妃,,度宗の妃。端宗の母
俞修容,女,,,,,宋度宗趙禥,,,俞修容,,度宗の妃。帝昺の母
