名前,性別,生年,没年,父,母,配偶者,養父,養母,肩書,期間,メモ
元太祖成吉思汗,男,1162,1227,也速該,訶額侖,孛兒帖,,,皇帝,1206-1227,
元太宗窩闊台,男,1186,1241,元太祖成吉思汗,孛兒帖,脫列哥那,,,皇帝,1229-1241,
元定宗貴由,男,1206,1248,元太宗窩闊台,脫列哥那,,,,皇帝,1246-1248,
元憲宗蒙哥,男,1209,1259,拖雷,唆魯禾帖尼,,,,皇帝,1251-1259,
元世祖忽必烈,男,1215,1294,拖雷,唆魯禾帖尼,察必,,,皇帝,1260-1294,
元成宗鐵穆耳,男,1265,1307,真金,,,,,皇帝,1294-1307,
元武宗海山,男,1281,1311,答剌麻八剌,答己,唐兀氏,,,皇帝,1307-1311,
元仁宗愛育黎拔力八達,男,1285,1320,答剌麻八剌,答己,,,,皇帝,1311-1320,
元英宗碩德八剌,男,1302,1323,元仁宗愛育黎拔力八達,,,,,皇帝,1320-1323,
泰定帝也孫鐵木兒,男,1293,1328,甘麻剌,,,,,皇帝,1323-1328,
天順帝阿速吉八,男,1320,1328,泰定帝也孫鐵木兒,,,,,皇帝,1328,
元文宗圖帖睦爾,男,1304,1332,元武宗海山,唐兀氏,,,,皇帝,1328-1332,
元明宗和世㻋,男,1300,1329,元武宗海山,,,,,皇帝,1329,
元寧宗懿璘質班,男,1326,1332,元明宗和世㻋,,,,,皇帝,1332,
元惠宗妥懽帖睦爾,男,1320,1370,元明宗和世㻋,,,,,皇帝,1333-1368,
也速該,男,,1171,,,訶額侖,,,烈祖,,成吉思汗の父
訶額侖,女,,,,,也速該,,,月倫太后,,成吉思汗の母
孛兒帖,女,,,,,元太祖成吉思汗,,,光獻皇后,,成吉思汗の皇后。太宗の母
脫列哥那,女,,1246,,,元太宗窩闊台,,,乃馬真后,,太宗の皇后。定宗の母。攝政
拖雷,男,1193,1232,元太祖成吉思汗,,,,,睿宗,,成吉思汗の子。憲宗・世祖の父
唆魯禾帖尼,女,1192,1252,,,拖雷,,,莊聖皇后,,拖雷の妻。憲宗・世祖の母
察必,女,,1281,,,元世祖忽必烈,,,昭睿順聖皇后,,世祖の皇后。裕宗の母
真金,男,1243,1286,元世祖忽必烈,,,,,裕宗,,世祖の子。成宗の父
答剌麻八剌,男,1264,1292,真金,,,,,順宗,,裕宗の子。武宗・仁宗の父
甘麻剌,男,1263,1302,真金,,,,,晉王,,裕宗の子。泰定帝の父
答己,女,,1322,,,答剌麻八剌,,,昭獻元聖皇后,,順宗の妻。武宗・仁宗の母
唐兀氏,女,,1327,,,元武宗海山,,,文獻昭聖皇后,,武宗の妃。文宗の母
