名前,性別,生年,没年,肩書,主君,期間,メモ
耶律楚材,男,1190,1244,宰相,元太宗窩闊台,,政治。契丹出身の漢化政策の支柱
木華黎,男,1170,1223,将,元太祖成吉思汗,,軍事。四駿の一。金への侵攻を指揮
伯顏,男,1236,1295,将・宰相,元世祖忽必烈,,軍事。南宋を滅ぼす
脫脫,男,1314,1355,宰相・改革,元惠宗妥懽帖睦爾,,政治。脱脱更化。至正の新法
阿合馬,男,,1282,宰相・経済,元世祖忽必烈,,経済。塩鉄専売・財政改革。暗殺される
桑哥,男,,1291,宰相・経済,元世祖忽必烈,,経済。財政再建に辣腕
廉希憲,男,1231,1280,宰相,元世祖忽必烈,,政治。色目人として儒教を学ぶ
史天澤,男,1202,1275,将・宰相,元世祖忽必烈,,軍事。漢人世侯。南宋攻め
郭守敬,男,1231,1316,科学・技術,元世祖忽必烈,,科学・経済。授時暦。大都の水利
劉秉忠,男,1216,1274,政治家・設計,元世祖忽必烈,,政治。元の国号・大都の設計
張弘範,男,1238,1280,将,元世祖忽必烈,,軍事。崖山の戦いで南宋を滅ぼす
元太宗窩闊台,男,1186,1241,皇帝,,1229-1241,元の君主
元太祖成吉思汗,男,1162,1227,皇帝,,1206-1227,元の君主
元世祖忽必烈,男,1215,1294,皇帝,,1260-1294,元の君主
元惠宗妥懽帖睦爾,男,1320,1370,皇帝,,1333-1368,元の君主
