名前,性別,生年,没年,父,母,配偶者,養父,養母,肩書,期間,メモ
明太祖朱元璋,男,1328,1398,朱世珍,陳氏,馬皇后,,,皇帝,1368-1398,
明惠帝朱允炆,男,1377,1402,懿文太子朱標,呂氏,,,,皇帝,1398-1402,
明成祖朱棣,男,1360,1424,明太祖朱元璋,馬皇后,徐皇后,,,皇帝,1402-1424,生母は一説に碽妃
明仁宗朱高熾,男,1378,1425,明成祖朱棣,徐皇后,誠孝張皇后,,,皇帝,1424-1425,
明宣宗朱瞻基,男,1399,1435,明仁宗朱高熾,誠孝張皇后,孫皇后,,,皇帝,1425-1435,
明英宗朱祁鎮,男,1427,1464,明宣宗朱瞻基,孫皇后,,,,皇帝,1435-1464,
明代宗朱祁鈺,男,1428,1457,明宣宗朱瞻基,吳賢妃,,,,皇帝,1449-1457,
明憲宗朱見深,男,1447,1487,明英宗朱祁鎮,周太后,,,,皇帝,1464-1487,
明孝宗朱祐樘,男,1470,1505,明憲宗朱見深,紀太后,孝康張皇后,,,皇帝,1487-1505,
明武宗朱厚照,男,1491,1521,明孝宗朱祐樘,孝康張皇后,,,,皇帝,1505-1521,
明世宗朱厚熜,男,1507,1567,興獻王朱祐杬,,,,,皇帝,1521-1567,
明穆宗朱載坖,男,1537,1572,明世宗朱厚熜,,,,,皇帝,1567-1572,
明神宗朱翊鈞,男,1563,1620,明穆宗朱載坖,李太后,,,,皇帝,1572-1620,
明光宗朱常洛,男,1582,1620,明神宗朱翊鈞,王恭妃,,,,皇帝,1620,
明熹宗朱由校,男,1605,1627,明光宗朱常洛,,,,,皇帝,1620-1627,
明思宗朱由檢,男,1611,1644,明光宗朱常洛,,,,,皇帝,1627-1644,
朱世珍,男,1283,1344,,,陳氏,,,仁祖,,太祖の父
陳氏,女,,1344,,,朱世珍,,,淳皇后,,太祖の母
馬皇后,女,1332,1382,,,明太祖朱元璋,,,孝慈高皇后,,太祖の皇后
懿文太子朱標,男,1355,1392,明太祖朱元璋,,,,,懿文太子,,太祖の長子。惠帝の父
呂氏,女,,,,,懿文太子朱標,,,呂太后,,懿文太子の妻。惠帝の母
徐皇后,女,1362,1407,,,明成祖朱棣,,,仁孝皇后,,成祖の皇后。仁宗の母。徐達の娘
誠孝張皇后,女,,1442,,,明仁宗朱高熾,,,誠孝昭皇后,,仁宗の皇后。宣宗の母
孫皇后,女,1399,1462,,,明宣宗朱瞻基,,,孝恭章皇后,,宣宗の皇后。英宗の母
吳賢妃,女,,,,,明宣宗朱瞻基,,,賢妃,,宣宗の妃。代宗の母
周太后,女,,1504,,,明英宗朱祁鎮,,,孝肅周太后,,英宗の妃。憲宗の母
紀太后,女,,1475,,,明憲宗朱見深,,,孝穆紀太后,,憲宗の妃。孝宗の母
興獻王朱祐杬,男,1476,1519,明憲宗朱見深,,,,,興獻王,,憲宗の子。世宗の父
孝康張皇后,女,,1541,,,明孝宗朱祐樘,,,孝康敬皇后,,孝宗の皇后。武宗の母
李太后,女,,1614,,,明穆宗朱載坖,,,孝定李太后,,穆宗の妃。神宗の母
王恭妃,女,1565,1611,,,明神宗朱翊鈞,,,孝靖王太后,,神宗の妃。光宗の母
