名前,性別,生年,没年,肩書,主君,期間,メモ
劉基,男,1311,1375,軍師・政治家,明太祖朱元璋,,軍師。劉伯温。明の建国を輔佐
李善長,男,1314,1390,宰相,明太祖朱元璋,,政治。開国第一功臣。胡惟庸の獄で処刑
徐達,男,1332,1385,大将軍,明太祖朱元璋,,軍事。元の大都を陥とす
常遇春,男,1330,1369,将,明太祖朱元璋,,軍事。常十万の異名
藍玉,男,,1393,将,明太祖朱元璋,,軍事。北元を撃破。藍玉の獄で粛清
姚廣孝,男,1335,1418,軍師・僧,明成祖朱棣,,軍師。靖難の変を献策
楊士奇,男,1366,1444,宰相（三楊）,明宣宗朱瞻基,,政治。仁宣の治を支えた三楊の筆頭
于謙,男,1398,1457,兵部尚書・将,明代宗朱祁鈺,,政治・軍事。土木の変後の北京防衛
張居正,男,1525,1582,宰相・改革,明神宗朱翊鈞,1572-1582,政治・経済。一条鞭法。考成法
戚繼光,男,1528,1588,将,明世宗朱厚熜,,軍事。倭寇を撃退。戚家軍
海瑞,男,1514,1587,御史・政治家,明世宗朱厚熜,,政治。剛直の鑑。海青天
王守仁,男,1472,1529,将・学者,明武宗朱厚照,,政治・思想。陽明学。寧王の乱を平定
徐階,男,1503,1583,宰相,明世宗朱厚熜,,政治。厳嵩を倒す
魏忠賢,男,1568,1627,宦官・権臣,明熹宗朱由校,,政治。九千歳。東林党を弾圧
袁崇煥,男,1584,1630,将,明思宗朱由檢,,軍事。寧遠の戦いでヌルハチを撃退。磔刑
史可法,男,1601,1645,宰相・忠臣,明思宗朱由檢,,政治。揚州の戦いで殉国
鄭和,男,1371,1433,宦官・外交,明成祖朱棣,,外交。南海・インド洋へ7度の大遠征
明太祖朱元璋,男,1328,1398,皇帝,,1368-1398,明の君主
明成祖朱棣,男,1360,1424,皇帝,,1402-1424,明の君主
明宣宗朱瞻基,男,1399,1435,皇帝,,1425-1435,明の君主
明代宗朱祁鈺,男,1428,1457,皇帝,,1449-1457,明の君主
明神宗朱翊鈞,男,1563,1620,皇帝,,1572-1620,明の君主
明世宗朱厚熜,男,1507,1567,皇帝,,1521-1567,明の君主
明武宗朱厚照,男,1491,1521,皇帝,,1505-1521,明の君主
明熹宗朱由校,男,1605,1627,皇帝,,1620-1627,明の君主
明思宗朱由檢,男,1611,1644,皇帝,,1627-1644,明の君主
