名前,性別,生年,没年,父,母,配偶者,養父,養母,肩書,期間,メモ
清太祖努爾哈赤,男,1559,1626,塔克世,喜塔喇氏額穆齊,孟古哲哲,,,皇帝,1616-1626,
清太宗皇太極,男,1592,1643,清太祖努爾哈赤,孟古哲哲,孝莊文皇后布木布泰,,,皇帝,1626-1643,
清世祖福臨,男,1638,1661,清太宗皇太極,孝莊文皇后布木布泰,董鄂妃,,,皇帝,1643-1661,
清聖祖玄燁,男,1654,1722,清世祖福臨,佟佳氏,,,,皇帝,1661-1722,
清世宗胤禛,男,1678,1735,清聖祖玄燁,烏雅氏,,,,皇帝,1722-1735,
清高宗弘曆,男,1711,1799,清世宗胤禛,孝聖憲皇后鈕祜祿氏,孝賢純皇后富察氏,,,皇帝,1735-1796,
清仁宗顒琰,男,1760,1820,清高宗弘曆,孝儀純皇后魏佳氏,,,,皇帝,1796-1820,
清宣宗旻寧,男,1782,1850,清仁宗顒琰,孝淑睿皇后喜塔臘氏,,,,皇帝,1820-1850,
清文宗奕詝,男,1831,1861,清宣宗旻寧,孝全成皇后鈕祜祿氏,慈禧葉赫那拉氏,,,皇帝,1850-1861,
清穆宗載淳,男,1856,1874,清文宗奕詝,慈禧葉赫那拉氏,,,,皇帝,1861-1874,
清德宗載湉,男,1871,1908,醇賢親王奕譞,葉赫那拉氏婉貞,隆裕皇后,清文宗奕詝,,皇帝,1874-1908,同治帝の後継として咸豐帝の養子
清宣統帝溥儀,男,1906,1967,醇親王載灃,瓜爾佳氏幼蘭,婉容,清德宗載湉,,皇帝,1908-1912,同治帝の嗣子として入繼し、光緒帝を兼祧
塔克世,男,,1583,,,喜塔喇氏額穆齊,,,顯祖,,太祖の父
喜塔喇氏額穆齊,女,,1569,,,塔克世,,,宣皇后,,太祖の母
孟古哲哲,女,1575,1603,,,清太祖努爾哈赤,,,孝慈高皇后,,太宗の母
孝莊文皇后布木布泰,女,1613,1688,,,清太宗皇太極,,,孝莊文皇后,,太宗の妃。世祖の母
董鄂妃,女,1639,1660,,,清世祖福臨,,,孝獻皇后,,世祖の妃
佟佳氏,女,1640,1663,,,清世祖福臨,,,孝康章皇后,,世祖の妃。聖祖の母
烏雅氏,女,1660,1723,,,清聖祖玄燁,,,孝恭仁皇后,,聖祖の妃。世宗の母
孝聖憲皇后鈕祜祿氏,女,1692,1777,,,清世宗胤禛,,,孝聖憲皇后,,世宗の妃。高宗の母
孝賢純皇后富察氏,女,1712,1748,,,清高宗弘曆,,,孝賢純皇后,,高宗の皇后
孝儀純皇后魏佳氏,女,1727,1775,,,清高宗弘曆,,,孝儀純皇后,,高宗の妃。仁宗の母
孝淑睿皇后喜塔臘氏,女,1760,1797,,,清仁宗顒琰,,,孝淑睿皇后,,仁宗の皇后。宣宗の母
孝全成皇后鈕祜祿氏,女,1808,1840,,,清宣宗旻寧,,,孝全成皇后,,宣宗の皇后。文宗の母
慈禧葉赫那拉氏,女,1835,1908,,,清文宗奕詝,,,孝欽顯皇后,,文宗の妃。穆宗の母。西太后
醇賢親王奕譞,男,1840,1891,清宣宗旻寧,,葉赫那拉氏婉貞,,,醇賢親王,,宣宗の子。德宗の父
葉赫那拉氏婉貞,女,1841,1896,,,醇賢親王奕譞,,,醇賢親王妃,,德宗の母
隆裕皇后,女,1868,1913,,,清德宗載湉,,,孝定景皇后,,德宗の皇后
醇親王載灃,男,1883,1951,醇賢親王奕譞,,瓜爾佳氏幼蘭,,,醇親王,,奕譞の子。宣統帝の父。攝政王
瓜爾佳氏幼蘭,女,1884,1921,,,醇親王載灃,,,醇親王妃,,宣統帝の母
婉容,女,1906,1946,,,清宣統帝溥儀,,,皇后,,宣統帝の皇后
