名前,生年,没年,肩書,期間,継承,朝代更换,メモ
燧人氏,约前5000,约前4000,三皇,约前5000-约前4000,,,三皇（燧皇）。钻木取火を教え火食を始める。伝説の帝王。生没年は概算
伏羲,约前4000,约前3500,三皇,约前4000-约前3500,燧人氏,,三皇（羲皇）。八卦を創始。伝説の帝王。生没年は概算
神农,约前3500,约前3000,三皇,约前3500-约前3000,伏羲,,三皇（农皇）・炎帝。尝百草・教农耕。伝説の帝王。生没年は概算
黄帝,约前2717,约前2599,五帝,约前2717-约前2599,神农,,五帝之首（轩辕氏）。炎黄子孙の祖。伝説の帝王。生没年は伝統紀年
颛顼,约前2590,约前2513,五帝,约前2590-约前2513,黄帝,,五帝（高阳氏）。「绝地天通」。伝説の帝王。生没年は概算
帝喾,约前2436,约前2366,五帝,约前2436-约前2366,颛顼,,五帝（高辛氏）。尧の父。伝説の帝王。生没年は概算
尧,约前2356,约前2255,五帝,约前2356-约前2255,帝喾,,五帝（陶唐氏）。舜に禅让（道统）。伝説の帝王。生没年は伝統紀年
舜,约前2255,约前2205,五帝,约前2255-约前2205,尧,,五帝（有虞氏）。禹に禅让。伝説の帝王。生没年は伝統紀年
夏禹,,前2010,夏,前2070-前2010,,舜,在位年は伝承による推定（夏: 前2070-前1600）
夏啓,,前1982,夏,前2010-前1982,夏禹,,
夏太康,,前1953,夏,前1982-前1953,夏啓,,
夏仲康,,前1940,夏,前1953-前1940,夏太康,,
夏相,,前1912,夏,前1940-前1912,夏仲康,,
夏少康,,前1891,夏,前1912-前1891,夏相,,
夏杼,,前1874,夏,前1891-前1874,夏少康,,
夏槐,,前1848,夏,前1874-前1848,夏杼,,
夏芒,,前1830,夏,前1848-前1830,夏槐,,
夏泄,,前1814,夏,前1830-前1814,夏芒,,
夏不降,,前1755,夏,前1814-前1755,夏泄,,
夏扃,,前1734,夏,前1755-前1734,夏不降,,
夏廑,,前1713,夏,前1734-前1713,夏扃,,
夏孔甲,,前1682,夏,前1713-前1682,夏廑,,
夏皋,,前1671,夏,前1682-前1671,夏孔甲,,
夏發,,前1652,夏,前1671-前1652,夏皋,,
夏桀履癸,,前1600,夏,前1652-前1600,夏發,,鳴條之戦→商
商湯,,前1588,商,前1600-前1588,,夏桀履癸,在位年は推定（商: 前1600-前1046）
商外丙,,前1586,商,前1588-前1586,商湯,,
商仲壬,,前1583,商,前1586-前1583,商外丙,,
商太甲,,前1561,商,前1583-前1561,商仲壬,,
商沃丁,,前1546,商,前1561-前1546,商太甲,,
商太庚,,前1535,商,前1546-前1535,商沃丁,,
商小甲,,前1521,商,前1535-前1521,商太庚,,
商雍己,,前1508,商,前1521-前1508,商小甲,,
商太戊,,前1450,商,前1508-前1450,商雍己,,
商仲丁,,前1438,商,前1450-前1438,商太戊,,
商外壬,,前1427,商,前1438-前1427,商仲丁,,
商河亶甲,,前1413,商,前1427-前1413,商外壬,,
商祖乙,,前1385,商,前1413-前1385,商河亶甲,,
商祖辛,,前1371,商,前1385-前1371,商祖乙,,
商沃甲,,前1365,商,前1371-前1365,商祖辛,,
商祖丁,,前1344,商,前1365-前1344,商沃甲,,
商南庚,,前1333,商,前1344-前1333,商祖丁,,
商陽甲,,前1325,商,前1333-前1325,商南庚,,
商盤庚,,前1296,商,前1325-前1296,商陽甲,,遷殷(前1300頃)
商小辛,,前1287,商,前1296-前1287,商盤庚,,
商小乙,,前1273,商,前1287-前1273,商小辛,,
商武丁,,前1192,商,前1250-前1192,商小乙,,断代工程年表による
商祖庚,,前1181,商,前1192-前1181,商武丁,,
商祖甲,,前1159,商,前1181-前1159,商祖庚,,
商廩辛,,前1155,商,前1159-前1155,商祖甲,,
商庚丁,,前1142,商,前1155-前1142,商廩辛,,
商武乙,,前1115,商,前1142-前1115,商庚丁,,
商文丁,,前1101,商,前1115-前1101,商武乙,,
商帝乙,,前1076,商,前1101-前1076,商文丁,,
商紂帝辛,,前1046,商,前1075-前1046,商帝乙,,牧野之戦→周
周武王姬發,,前1043,西周,前1046-前1043,,商紂帝辛,
周成王姬誦,,前1021,西周,前1042-前1021,周武王姬發,,
周康王姬釗,,前996,西周,前1020-前996,周成王姬誦,,
周昭王姬瑕,,前977,西周,前995-前977,周康王姬釗,,
周穆王姬滿,,前922,西周,前976-前922,周昭王姬瑕,,
周共王姬繄扈,,前900,西周,前922-前900,周穆王姬滿,,
周懿王姬囏,,前892,西周,前899-前892,周共王姬繄扈,,
周孝王姬辟方,,前886,西周,前891-前886,周懿王姬囏,,
周夷王姬燮,,前878,西周,前885-前878,周孝王姬辟方,,
