名前,性別,生年,没年,父,母,配偶者,肩書,期間,メモ
伊邪那岐,男,约前1300,约前1200,,,伊邪那美,神代（国生みの神）,,神話・伝説。生没年は概算（timeline表示用）
伊邪那美,女,约前1300,约前1200,,,伊邪那岐,神代（国生みの神）,,神話・伝説。生没年は概算（timeline表示用）
天照大神,女,约前1000,约前900,伊邪那岐,,,神代（太陽神・皇室の祖神）,,神話・伝説。生没年は概算（timeline表示用）
須佐之男,男,约前1000,约前900,伊邪那岐,,,神代（海原の神）,,神話・伝説。生没年は概算（timeline表示用）
天忍穂耳尊,男,约前950,约前880,天照大神,,,神代（天孫の父）,,神話・伝説。生没年は概算（timeline表示用）
瓊瓊杵尊,男,约前880,约前800,天忍穂耳尊,,木花開耶姫,神代（天孫降臨）,,神話・伝説。生没年は概算（timeline表示用）
木花開耶姫,女,约前880,约前800,,,瓊瓊杵尊,神代（瓊瓊杵尊の妃）,,神話・伝説。生没年は概算（timeline表示用）
火折尊,男,约前800,约前740,瓊瓊杵尊,,豊玉姫,神代（海幸山幸）,,神話・伝説。生没年は概算（timeline表示用）
豊玉姫,女,约前800,约前740,,,火折尊,神代（火折尊の妃）,,神話・伝説。生没年は概算（timeline表示用）
鸕鶿草葺不合尊,男,约前740,约前680,火折尊,,玉依姫,神代（神武の父）,,神話・伝説。生没年は概算（timeline表示用）
玉依姫,女,约前740,约前680,,,鸕鶿草葺不合尊,神代（神武の母）,,神話・伝説。生没年は概算（timeline表示用）
神武,男,约前711,前585,鸕鶿草葺不合尊,玉依姫,,第1代天皇,前660-前585,初代天皇。日本書紀による伝説年代
綏靖,男,约前632,前549,神武,,,第2代天皇,前581-前549,
安宁,男,约前623,前510,綏靖,,,第3代天皇,前549-前510,
懿徳,男,约前614,前477,安宁,,,第4代天皇,前510-前477,
孝昭,男,约前605,前392,懿徳,,,第5代天皇,前477-前392,
孝安,男,约前604,前291,孝昭,,,第6代天皇,前392-前291,
孝霊,男,约前543,前215,孝安,,,第7代天皇,前291-前215,
孝元,男,约前522,前158,孝霊,,,第8代天皇,前215-前158,
開化,男,约前501,前98,孝元,,,第9代天皇,前158-前98,
崇神,男,约前148,前30,開化,,,第10代天皇,前97-前30,実在が有力視される最初の天皇（諸説）
垂仁,男,约前69,70,崇神,,,第11代天皇,前29-70,
景行,男,13,130,垂仁,,,第12代天皇,71-130,
成務,男,84,190,景行,,,第13代天皇,131-190,
仲哀,男,149,200,景行,,神功皇后,第14代天皇,192-200,
神功皇后,女,170,269,,,仲哀,摂政（第14代の皇后）,201-269,皇后・摂政。三韓征伐の伝説
応神,男,200,310,仲哀,神功皇后,,第15代天皇,270-310,応神=誉田別尊。八幡神として祭られる
仁徳,男,257,399,応神,,,第16代天皇,313-399,仁徳天皇陵（大仙陵古墳）
履中,男,336,405,仁徳,,,第17代天皇,400-405,
反正,男,351,410,仁徳,,,第18代天皇,406-410,
允恭,男,373,453,仁徳,,,第19代天皇,412-453,
安康,男,401,456,允恭,,,第20代天皇,454-456,
雄略,男,418,479,允恭,,,第21代天皇,457-479,日本武尊伝説の背景。宋書に「倭の五王」
清寧,男,444,484,雄略,,,第22代天皇,480-484,
顕宗,男,449,487,,,,第23代天皇,485-487,
仁賢,男,450,498,,,,第24代天皇,488-498,
武烈,男,489,507,仁賢,,,第25代天皇,498-507,
継体,男,450,531,,,,第26代天皇,507-531,応神の5世孫。古墳時代の実在最初期の天皇
安閑,男,466,535,継体,,,第27代天皇,531-535,
宣化,男,467,539,継体,,,第28代天皇,536-539,
欽明,男,509,571,継体,,,第29代天皇,540-571,仏教公伝（538年）の天皇
敏達,男,538,585,欽明,,,第30代天皇,572-585,
用明,男,540,587,欽明,,,第31代天皇,586-587,
崇峻,男,551,592,欽明,,,第32代天皇,588-592,蘇我馬子により暗殺
