名前,性別,生年,没年,父,母,配偶者,肩書,期間,メモ
推古,女,554,628,欽明,蘇我堅塩媛,,第33代天皇,593-628,初の女帝。聖徳太子を摂政に
蘇我堅塩媛,女,,,蘇我稲目,,欽明,欽明天皇の妃（推古の母）,,蘇我稲目の娘。生没年不详
舒明,男,593,641,,,,第34代天皇,629-641,
皇極,女,594,661,,,舒明,第35代天皇,642-645,重祚して第37代斉明天皇
孝徳,男,596,654,,,,第36代天皇,645-654,大化改新（645年）の天皇
斉明,女,594,661,,,舒明,第37代天皇（皇極重祚）,655-661,重祚。皇極天皇の再即位
天智,男,626,672,舒明,皇極,,第38代天皇,662-672,中大兄皇子。近江令・庚午年籍
弘文,男,648,672,天智,,,第39代天皇,672,壬申の乱で敗死
天武,男,631,686,舒明,皇極,,第40代天皇,673-686,壬申の乱の勝者。律令国家の基礎
持統,女,645,703,天智,,天武,第41代天皇,690-697,天武の皇后。藤原京遷都
文武,男,683,707,,元明,,第42代天皇,697-707,大宝律令（701年）
欽明,男,509,571,,,,第29代天皇,540-571,仏教公伝（538年）の天皇
蘇我稲目,男,506,570,,,,大臣,,蘇我氏の祖。仏教公伝を受容。推古の外祖父
元明,女,661,721,,,,第43代天皇,707-715,平城京遷都（710年）
