名前,性別,生年,没年,肩書,主君,期間,メモ
聖徳太子,男,574,622,摂政,推古,593-622,十七条憲法・冠位十二階。法隆寺建立。日本仏教の基礎
蘇我馬子,男,551,626,大臣,推古,,丁未の乱で物部氏を倒す。飛鳥寺建立。聖徳太子と協力
小野妹子,男,,,遣隋使,推古,607-608,遣隋使として隋に渡り国書を提出。生没年不详
蘇我蝦夷,男,,645,大臣,皇極,,馬子の子。大化改新前夜の権力者。生没年不详
蘇我入鹿,男,,645,大臣（皇極期）,皇極,,蝦夷の子。乙巳の変（大化改新）で討たれる。生没年不详
中臣鎌足,男,614,669,内臣・藤原氏の祖,天智,645-669,乙巳の変を首謀し大化改新を主導。藤原不比等の父
高向玄理,男,,654,国博士,孝徳,,遣隋留学生。大化改新の制度的ブレーン。生没年不详
推古,女,554,628,第33代天皇,,593-628,飛鳥の君主
皇極,女,594,661,第35代天皇,,642-645,飛鳥の君主
天智,男,626,672,第38代天皇,,662-672,飛鳥の君主
孝徳,男,596,654,第36代天皇,,645-654,飛鳥の君主
