名前,性別,生年,没年,父,母,配偶者,肩書,期間,メモ
桓武,男,737,806,光仁,高野新笠,,第50代天皇,781-806,平安京遷都（794年）
平城,男,774,824,桓武,,,第51代天皇,806-809,薬子の変
嵯峨,男,786,842,桓武,,,第52代天皇,809-823,弘仁の治。書の三筆
淳和,男,786,840,桓武,,,第53代天皇,823-833,
仁明,男,810,850,嵯峨,,,第54代天皇,833-850,
文徳,男,827,858,仁明,,,第55代天皇,850-858,
清和,男,850,881,文徳,,,第56代天皇,858-876,藤原良房が摂政に（摂関政治の始まり）
陽成,男,869,949,清和,,,第57代天皇,876-884,
光孝,男,830,887,仁明,,,第58代天皇,884-887,
宇多,男,867,931,光孝,,,第59代天皇,887-897,菅原道真を登用。寛平の治
醍醐,男,885,930,宇多,,,第60代天皇,897-930,延喜の治。『古今和歌集』
朱雀,男,923,952,醍醐,藤原穏子,,第61代天皇,930-946,承平天慶の乱（平将門・藤原純友）
藤原穏子,女,885,954,藤原基経,,醍醐,醍醐天皇の皇后（朱雀・村上の母）,,藤原基経の娘
村上,男,926,967,醍醐,藤原穏子,,第62代天皇,946-967,天暦の治。村上天皇と和歌
冷泉,男,950,1011,村上,,,第63代天皇,967-969,
円融,男,959,991,村上,,藤原詮子,第64代天皇,969-984,藤原兼家の外戚
藤原詮子,女,962,1002,藤原兼家,,円融,円融天皇の女御（一条の母）,,藤原兼家の娘
花山,男,968,1008,冷泉,,,第65代天皇,984-986,花山院。出家遁世の天皇
一条,男,980,1011,円融,藤原詮子,藤原定子；藤原彰子,第66代天皇,986-1011,定子（枕草子）と彰子（源氏物語）の時代
藤原定子,女,977,1001,藤原道隆,,一条,一条天皇の皇后,,『枕草子』の作者清少納言が仕えた
藤原彰子,女,988,1074,藤原道長,,一条,一条天皇の中宮（後一条・後朱雀の母）,,藤原道長の娘。『紫式部日記』の主
三条,男,976,1017,冷泉,,,第67代天皇,1011-1016,
後一条,男,1008,1036,一条,藤原彰子,,第68代天皇,1016-1036,
後朱雀,男,1009,1045,一条,藤原彰子,,第69代天皇,1036-1045,
後冷泉,男,1025,1068,後朱雀,,,第70代天皇,1045-1068,
後三条,男,1034,1073,後朱雀,,,第71代天皇,1068-1072,藤原氏を離れ親政
白河,男,1053,1129,後三条,,,第72代天皇,1073-1086,院政の開始。白河院
堀河,男,1079,1107,白河,,,第73代天皇,1087-1107,
鳥羽,男,1103,1156,堀河,,藤原璋子,第74代天皇,1107-1123,保元の乱の当事者。鳥羽院政
藤原璋子,女,1101,1145,,,鳥羽,鳥羽天皇の皇后（待賢門院・崇徳・後白河の母）,,藤原公実の娘。保元の乱の伏線
崇徳,男,1119,1164,鳥羽,藤原璋子,,第75代天皇,1123-1141,保元の乱で敗れ讃岐へ。怨霊伝説
近衛,男,1139,1155,鳥羽,,,第76代天皇,1142-1155,
後白河,男,1127,1192,鳥羽,藤原璋子,,第77代天皇,1155-1158,保元の乱・平治の乱。後白河院政
二条,男,1143,1165,後白河,,,第78代天皇,1158-1165,
六条,男,1164,1176,二条,,,第79代天皇,1165-1168,
高倉,男,1161,1181,後白河,平滋子,平徳子,第80代天皇,1168-1180,平清盛の外孫
平滋子,女,1142,1176,,,後白河,後白河天皇の妃（建春門院・高倉の母）,,平家一族。清盛の姉
平徳子,女,1155,1214,平清盛,,高倉,高倉天皇の皇后（建礼門院・安徳の母）,,平清盛の娘。壇ノ浦で入水するも助命
安徳,男,1178,1185,高倉,平徳子,,第81代天皇,1180-1185,壇ノ浦で入水。幼帝
光仁,男,709,782,,,,第49代天皇,770-781,
高野新笠,女,720,790,,,,桓武天皇の母（贈皇太后）,,百済系渡来氏族出身
藤原基経,男,836,891,,,,関白,,阿衡事件。関白政治の確立
藤原兼家,男,929,990,,,,摂政,,花山天皇を退位させ一条天皇の外戚に。摂関政治の頂点
藤原道隆,男,953,995,,,,関白,,兼家の子。定子の父。中関白家
藤原道長,男,966,1028,,,,摂政・太政大臣,,「この世をば我が世とぞ思ふ」。藤原氏の最盛期
平清盛,男,1118,1181,,,,太政大臣,,平家の最盛期を築く。日宋貿易。治承・寿永の乱
