名前,性別,生年,没年,父,母,配偶者,肩書,期間,メモ
後鳥羽,男,1180,1239,高倉,,,第82代天皇,1183-1198,承久の乱（1221年）で配流。『新古今和歌集』
土御門,男,1196,1231,後鳥羽,,,第83代天皇,1198-1210,承久の乱で配流
順徳,男,1197,1242,後鳥羽,,,第84代天皇,1210-1221,承久の乱で配流
仲恭,男,1218,1234,順徳,,,第85代天皇,1221,承久の乱で即位3ヶ月で廃位
後堀河,男,1212,1234,,,,第86代天皇,1221-1232,
四条,男,1231,1242,後堀河,,,第87代天皇,1232-1242,
後嵯峨,男,1220,1272,土御門,,,第88代天皇,1242-1246,大覚寺統の祖
後深草,男,1243,1304,後嵯峨,,,第89代天皇,1246-1259,持明院統の祖
亀山,男,1249,1305,後嵯峨,,,第90代天皇,1259-1274,大覚寺統。文永の役
後宇多,男,1267,1324,亀山,,,第91代天皇,1274-1287,大覚寺統。弘安の役
伏見,男,1265,1317,後深草,,,第92代天皇,1287-1298,持明院統。両統迭立
後伏見,男,1288,1336,伏見,,,第93代天皇,1298-1301,持明院統
後二条,男,1285,1308,後宇多,,,第94代天皇,1301-1308,大覚寺統
花園,男,1297,1348,伏見,,,第95代天皇,1308-1318,持明院統
高倉,男,1161,1181,,,,第80代天皇,1168-1180,平清盛の外孫
