名前,性別,生年,没年,父,母,配偶者,肩書,期間,メモ
後醍醐,男,1288,1339,後宇多,,,第96代天皇（南朝）,1318-1339,建武の新政。南朝の初代
後村上,男,1328,1368,後醍醐,,,第97代天皇（南朝）,1339-1368,南朝の天皇。吉野朝廷
長慶,男,1343,1394,後村上,,,第98代天皇（南朝）,1368-1383,南朝の天皇
後亀山,男,1350,1424,後村上,,,第99代天皇（南朝）,1383-1392,南北朝合一で後小松に譲位
光厳,男,1313,1364,後伏見,,,北朝第1代天皇,1331-1333,持明院統。北朝の初代
光明,男,1322,1380,後伏見,,,北朝第2代天皇,1336-1348,北朝の天皇
崇光,男,1334,1398,光厳,,,北朝第3代天皇,1348-1351,北朝の天皇
後光厳,男,1338,1374,光厳,,,北朝第4代天皇,1352-1371,北朝の天皇。足利義満と連携
後円融,男,1359,1393,後光厳,,,北朝第5代天皇,1371-1382,北朝の天皇
後宇多,男,1267,1324,,,,第91代天皇,1274-1287,大覚寺統。弘安の役
後伏見,男,1288,1336,,,,第93代天皇,1298-1301,持明院統
