名前,性別,生年,没年,父,母,配偶者,肩書,期間,メモ
後水尾,男,1596,1680,後陽成,,,第108代天皇,1611-1629,紫衣事件で退位。芸術文化の庇護者
明正,女,1624,1696,後水尾,,,第109代天皇,1629-1643,後水尾天皇の皇女
後光明,男,1633,1654,後水尾,,,第110代天皇,1643-1654,
後西,男,1638,1685,後水尾,,,第111代天皇,1655-1663,明暦の大火の時代
霊元,男,1654,1732,後水尾,,,第112代天皇,1663-1687,朝幕関係の緊張。武家の摂関家
東山,男,1675,1710,霊元,,,第113代天皇,1687-1709,元禄文化の時代
中御門,男,1702,1737,東山,,,第114代天皇,1709-1735,
桜町,男,1720,1750,中御門,,,第115代天皇,1735-1747,朝儀復興
桃園,男,1741,1762,桜町,,,第116代天皇,1747-1762,
後桜町,女,1740,1813,桜町,,,第117代天皇,1762-1770,最後の女帝（江戸期）
後桃園,男,1758,1779,桃園,,,第118代天皇,1770-1779,
光格,男,1771,1840,典仁親王,,,第119代天皇,1779-1817,江戸末期の朝権回復
典仁親王,男,1733,1794,,,,閑院宮典仁親王（光格の父）,,光格天皇の実父。尊号一件
仁孝,男,1800,1846,光格,,,第120代天皇,1817-1846,
孝明,男,1831,1867,仁孝,,,第121代天皇,1846-1867,幕末の天皇。開国・尊王攘夷の時代
後陽成,男,1572,1617,,,,第107代天皇,1586-1611,秀吉の関白任官・家康の将軍任官
