名前,性別,生年,没年,父,母,配偶者,肩書,期間,メモ
明治,男,1852,1912,孝明,,昭憲皇太后,第122代天皇,1867-1912,明治維新・五箇条の御誓文
昭憲皇太后,女,1849,1914,,,明治,明治天皇の皇后,,一条美子。教育・福祉事業
大正,男,1879,1926,明治,,貞明皇后,第123代天皇,1912-1926,大正デモクラシー
貞明皇后,女,1884,1951,,,大正,大正天皇の皇后（昭和の母）,,九条節子
昭和,男,1901,1989,大正,貞明皇后,香淳皇后,第124代天皇,1926-1989,戦争の時代。象徴天皇として終戦
香淳皇后,女,1903,2000,,,昭和,昭和天皇の皇后（今上の母）,,久邇宮良子女王
明仁,男,1933,,昭和,香淳皇后,美智子,第125代天皇（上皇）,1989-2019,平成の天皇。退位して上皇
美智子,女,1934,,,,明仁,上皇后,,正田美智子。初の民間出身皇后
徳仁,男,1960,,明仁,美智子,雅子,第126代天皇（今上）,2019-,令和の天皇（在位中）
雅子,女,1963,,,,徳仁,今上天皇の皇后,,小和田雅子。外務省出身
孝明,男,1831,1867,,,,第121代天皇,1846-1867,幕末の天皇。開国・尊王攘夷の時代
