名前,性別,生年,没年,肩書,期間,継承,メモ
神武,男,约前711,前585,第1代天皇,前660-前585,,初代天皇。日本書紀による伝説年代
綏靖,男,约前632,前549,第2代天皇,前581-前549,神武,
安宁,男,约前623,前510,第3代天皇,前549-前510,綏靖,
懿徳,男,约前614,前477,第4代天皇,前510-前477,安宁,
孝昭,男,约前605,前392,第5代天皇,前477-前392,懿徳,
孝安,男,约前604,前291,第6代天皇,前392-前291,孝昭,
孝霊,男,约前543,前215,第7代天皇,前291-前215,孝安,
孝元,男,约前522,前158,第8代天皇,前215-前158,孝霊,
開化,男,约前501,前98,第9代天皇,前158-前98,孝元,
崇神,男,约前148,前30,第10代天皇,前97-前30,開化,実在が有力視される最初の天皇（諸説）
垂仁,男,约前69,70,第11代天皇,前29-70,崇神,
景行,男,13,130,第12代天皇,71-130,垂仁,
成務,男,84,190,第13代天皇,131-190,景行,
仲哀,男,149,200,第14代天皇,192-200,成務,
神功皇后,女,170,269,摂政（第14代の皇后）,201-269,仲哀,皇后・摂政。三韓征伐の伝説
応神,男,200,310,第15代天皇,270-310,神功皇后,応神=誉田別尊。八幡神として祭られる
仁徳,男,257,399,第16代天皇,313-399,応神,仁徳天皇陵（大仙陵古墳）
履中,男,336,405,第17代天皇,400-405,仁徳,
反正,男,351,410,第18代天皇,406-410,履中,
允恭,男,373,453,第19代天皇,412-453,反正,
安康,男,401,456,第20代天皇,454-456,允恭,
雄略,男,418,479,第21代天皇,457-479,安康,日本武尊伝説の背景。宋書に「倭の五王」
清寧,男,444,484,第22代天皇,480-484,雄略,
顕宗,男,449,487,第23代天皇,485-487,清寧,
仁賢,男,450,498,第24代天皇,488-498,顕宗,
武烈,男,489,507,第25代天皇,498-507,仁賢,
継体,男,450,531,第26代天皇,507-531,武烈,応神の5世孫。古墳時代の実在最初期の天皇
安閑,男,466,535,第27代天皇,531-535,継体,
宣化,男,467,539,第28代天皇,536-539,安閑,
欽明,男,509,571,第29代天皇,540-571,宣化,仏教公伝（538年）の天皇
敏達,男,538,585,第30代天皇,572-585,欽明,
用明,男,540,587,第31代天皇,586-587,敏達,
崇峻,男,551,592,第32代天皇,588-592,用明,蘇我馬子により暗殺
推古,女,554,628,第33代天皇,593-628,崇峻,初の女帝。聖徳太子を摂政に
舒明,男,593,641,第34代天皇,629-641,推古,
皇極,女,594,661,第35代天皇,642-645,舒明,重祚して第37代斉明天皇
孝徳,男,596,654,第36代天皇,645-654,皇極,大化改新（645年）の天皇
斉明,女,594,661,第37代天皇（皇極重祚）,655-661,孝徳,重祚。皇極天皇の再即位
天智,男,626,672,第38代天皇,662-672,斉明,中大兄皇子。近江令・庚午年籍
弘文,男,648,672,第39代天皇,672,天智,壬申の乱で敗死
天武,男,631,686,第40代天皇,673-686,弘文,壬申の乱の勝者。律令国家の基礎
持統,女,645,703,第41代天皇,690-697,天武,天武の皇后。藤原京遷都
文武,男,683,707,第42代天皇,697-707,持統,大宝律令（701年）
元明,女,661,721,第43代天皇,707-715,文武,平城京遷都（710年）
元正,女,680,748,第44代天皇,715-724,元明,養老律令
聖武,男,701,756,第45代天皇,724-749,元正,東大寺大仏建立
孝謙,女,718,770,第46代天皇,749-758,聖武,重祚して第48代称徳天皇
淳仁,男,733,765,第47代天皇,758-764,孝謙,藤原仲麻呂の乱で廃位
称徳,女,718,770,第48代天皇（孝謙重祚）,764-770,淳仁,重祚。道鏡事件
光仁,男,709,782,第49代天皇,770-781,称徳,
桓武,男,737,806,第50代天皇,781-806,光仁,平安京遷都（794年）
平城,男,774,824,第51代天皇,806-809,桓武,薬子の変
嵯峨,男,786,842,第52代天皇,809-823,平城,弘仁の治。書の三筆
淳和,男,786,840,第53代天皇,823-833,嵯峨,
仁明,男,810,850,第54代天皇,833-850,淳和,
文徳,男,827,858,第55代天皇,850-858,仁明,
清和,男,850,881,第56代天皇,858-876,文徳,藤原良房が摂政に（摂関政治の始まり）
陽成,男,869,949,第57代天皇,876-884,清和,
光孝,男,830,887,第58代天皇,884-887,陽成,
宇多,男,867,931,第59代天皇,887-897,光孝,菅原道真を登用。寛平の治
醍醐,男,885,930,第60代天皇,897-930,宇多,延喜の治。『古今和歌集』
朱雀,男,923,952,第61代天皇,930-946,醍醐,承平天慶の乱（平将門・藤原純友）
村上,男,926,967,第62代天皇,946-967,朱雀,天暦の治。村上天皇と和歌
冷泉,男,950,1011,第63代天皇,967-969,村上,
円融,男,959,991,第64代天皇,969-984,冷泉,藤原兼家の外戚
花山,男,968,1008,第65代天皇,984-986,円融,花山院。出家遁世の天皇
一条,男,980,1011,第66代天皇,986-1011,花山,定子（枕草子）と彰子（源氏物語）の時代
三条,男,976,1017,第67代天皇,1011-1016,一条,
後一条,男,1008,1036,第68代天皇,1016-1036,三条,
後朱雀,男,1009,1045,第69代天皇,1036-1045,後一条,
後冷泉,男,1025,1068,第70代天皇,1045-1068,後朱雀,
後三条,男,1034,1073,第71代天皇,1068-1072,後冷泉,藤原氏を離れ親政
白河,男,1053,1129,第72代天皇,1073-1086,後三条,院政の開始。白河院
堀河,男,1079,1107,第73代天皇,1087-1107,白河,
鳥羽,男,1103,1156,第74代天皇,1107-1123,堀河,保元の乱の当事者。鳥羽院政
崇徳,男,1119,1164,第75代天皇,1123-1141,鳥羽,保元の乱で敗れ讃岐へ。怨霊伝説
近衛,男,1139,1155,第76代天皇,1142-1155,崇徳,
後白河,男,1127,1192,第77代天皇,1155-1158,近衛,保元の乱・平治の乱。後白河院政
二条,男,1143,1165,第78代天皇,1158-1165,後白河,
六条,男,1164,1176,第79代天皇,1165-1168,二条,
高倉,男,1161,1181,第80代天皇,1168-1180,六条,平清盛の外孫
安徳,男,1178,1185,第81代天皇,1180-1185,高倉,壇ノ浦で入水。幼帝
後鳥羽,男,1180,1239,第82代天皇,1183-1198,安徳,承久の乱（1221年）で配流。『新古今和歌集』
土御門,男,1196,1231,第83代天皇,1198-1210,後鳥羽,承久の乱で配流
順徳,男,1197,1242,第84代天皇,1210-1221,土御門,承久の乱で配流
仲恭,男,1218,1234,第85代天皇,1221,順徳,承久の乱で即位3ヶ月で廃位
後堀河,男,1212,1234,第86代天皇,1221-1232,仲恭,
四条,男,1231,1242,第87代天皇,1232-1242,後堀河,
後嵯峨,男,1220,1272,第88代天皇,1242-1246,四条,大覚寺統の祖
後深草,男,1243,1304,第89代天皇,1246-1259,後嵯峨,持明院統の祖
亀山,男,1249,1305,第90代天皇,1259-1274,後深草,大覚寺統。文永の役
後宇多,男,1267,1324,第91代天皇,1274-1287,亀山,大覚寺統。弘安の役
伏見,男,1265,1317,第92代天皇,1287-1298,後宇多,持明院統。両統迭立
