名前,性別,生年,没年,時代,肩書,師,学派,著作,期間,メモ
聖徳太子,男,574,622,飛鳥,摂政・十七条憲法,,仏教・儒教,《十七条宪法》,,憲法十七条・冠位十二階。法隆寺建立。日本仏教の基礎
最澄,男,767,822,平安,天台宗開祖,,仏教（天台宗）,《山家学生式》,,比叡山延暦寺を開く。法華経中心の天台教学
空海,男,774,835,平安,真言宗開祖,,仏教（真言宗）,《三教指归》；《十住心论》,,唐で密教を学び真言宗を開く。綜芸種智院
清少納言,女,约966,约1025,平安,女流文学者,,随筆,《枕草子》,,『枕草子』。一条天皇皇后定子に仕える
紫式部,女,约970,约1014,平安,女流文学者,,物語文学,《源氏物语》,,世界最古の長編小説『源氏物語』。藤原彰子に仕える
鴨長明,男,约1155,1216,鎌倉,歌人・随筆家,,隠遁,《方丈记》,,『方丈記』。「ゆく河の流れ」
吉田兼好,男,约1283,约1352,南北朝,随筆家,,隠遁,《徒然草》,,『徒然草』。「つれづれなるままに」
観阿弥,男,1333,1384,室町,能楽の祖,,能楽,,,大和猿楽を大成。世阿弥の父
世阿弥,男,约1363,约1443,室町,能楽大成者,観阿弥,能楽,《风姿花传》,,『風姿花伝』「幽玄」。能を芸術に高める
雪舟,男,约1420,约1506,室町,画聖,,水墨画,《天桥立图》,,水墨画の大成者。「雪舟の山水図」国宝
武野紹鴎,男,1502,1555,戦国,茶人（侘び茶の先駆）,,茶道,,,侘び茶を大成。千利休の師
千利休,男,1522,1591,安土桃山,茶聖,武野紹鴎,茶道,《南方录》（传）,,侘び茶の完成。秀吉の茶頭。切腹
木下順庵,男,1621,1698,江戸,儒学者,,儒学,,,新井白石らの師。「木門十哲」
北村季吟,男,1625,1705,江戸,俳諧師,,俳諧,,,芭蕉の師。「山の井」等の注釈家
伊藤仁斎,男,1627,1705,江戸,儒学者（古義学）,,儒学,《论语古义》,,古義学。堀川学派。仁義を説く
松尾芭蕉,男,1644,1694,江戸,俳聖,北村季吟,俳諧,《奥之细道》,,『奥の細道』。蕉風俳諧の確立
近松門左衛門,男,1653,1725,江戸,浄瑠璃・歌舞伎作者,,人形浄瑠璃,《曾根崎心中》,,『曽根崎心中』。近世演劇の大成者
新井白石,男,1657,1725,江戸,儒学者・政治家,木下順庵,儒学,《读史余论》；《西洋纪闻》,,正徳の治。西洋知識の先駆的収集
荻生徂徠,男,1666,1728,江戸,儒学者（古文辞学）,,儒学,《弁道》；《政谈》,,古文辞学。徂徠学。徳川吉宗に影響
荷田春満,男,1669,1736,江戸,国学者,,国学,,,国学の祖。「国学四大人」の一人
賀茂真淵,男,1697,1769,江戸,国学者,荷田春満,国学,《万叶考》,,『万葉集』研究。国学四大人
平賀源内,男,1728,1779,江戸,発明家・戯作者,,蘭学・博物学,《物类品隲》,,エレキテル製作。薬学・物産学
本居宣長,男,1730,1801,江戸,国学者,賀茂真淵,国学,《古事记传》,,『古事記伝』。「もののあはれ」の美学
杉田玄白,男,1733,1817,江戸,蘭学者・医者,,蘭学,《解体新书》,,『解体新書』翻訳。蘭学の祖
平田篤胤,男,1776,1843,江戸,国学者,本居宣長,国学,《古道大意》,,宣長の後継を自任。復古神道の大成
佐久間象山,男,1811,1864,江戸末期,兵学者・開国論者,,洋学,《省愆录》,,「東洋道徳西洋芸術」。松陰の師
吉田松陰,男,1830,1859,江戸末期,尊王攘夷の思想家,佐久間象山,陽明学,《留魂录》,,松下村塾。伊藤博文・山県有朋らの師
福沢諭吉,男,1835,1901,明治,啓蒙思想家,,洋学,《学问之すゝめ》,,『学問のすゝめ』。慶應義塾創設。「脱亜入欧」
森鴎外,男,1862,1922,明治,文豪・陸軍軍医,,文学,《舞姫》,,『舞姫』。『即興詩人』。ドイツ留学
夏目漱石,男,1867,1916,明治,文豪,,文学,《吾辈は猫である》；《心》,,『吾輩は猫である』『こころ』。近代文学の頂点
正岡子規,男,1867,1902,明治,俳人・歌人,,俳句革新,《歌よみに与ふる书》,,俳句の革新。『ホトトギス』。写生
南方熊楠,男,1867,1941,明治・大正,博物学者,,博物学,《十二支考》,,菌類研究・神社合祀反対運動。世界の知識人
西田幾多郎,男,1870,1945,大正・昭和,哲学者,,京都学派,《善之研究》,,『善の研究』。西田哲学。京都学派の祖
湯川秀樹,男,1907,1981,昭和,物理学者,,理論物理学,《中间子论》,,中間子理論。日本人初のノーベル賞（1949）
