name,gender,birth,death,father,mother,spouse,title,period,note
Louis V,male,约967,987,,,,King of France (last Carolingian),986-987,End of the Carolingian line
Hugh Capet,male,约940,996,,,,King of France (first Capetian),987-996,Founded the Capetian dynasty
Louis VII,male,1120,1180,,,,King of France,1137-1180,Divorced Eleanor of Aquitaine
Philip II (France),male,1165,1223,,,,King of France,1180-1223,Third Crusade. Weakened the Angevin Empire
Louis VIII,male,1187,1226,,,,King of France,1223-1226,
Louis IX,male,1214,1270,,,,King of France (Saint Louis),1226-1270,Captured in Egypt on crusade. Canonized
Philip III (France),male,1245,1285,,,,King of France,1270-1285,
Philip IV (France),male,1268,1314,,,,King of France,1285-1314,Dissolved the Knights Templar. Estates-General
Charles VI (France),male,1368,1422,,,,King of France,1380-1422,The Mad King. Chaos of the Hundred Years' War
Charles VII,male,1403,1461,,,,King of France,1422-1461,Won the Hundred Years' War. Era of Joan of Arc
Louis XI,male,1423,1483,,,,King of France,1461-1483,"""The Prudent"". United France"
Louis XII,male,1462,1515,,,,King of France,1498-1515,
Francis I (France),male,1494,1547,,,,King of France,1515-1547,Renaissance king. Invited Leonardo da Vinci
Henry IV (France),male,1553,1610,,,,King of France (first Bourbon),1589-1610,"Edict of Nantes. ""A chicken in every pot"""
Louis XIII,male,1601,1643,Henry IV (France),,,King of France,1610-1643,Made Richelieu his chief minister
Louis XIV,male,1638,1715,Louis XIII,,,King of France (the Sun King),1643-1715,Height of absolutism. Palace of Versailles
Louis XV,male,1710,1774,,,,King of France,1715-1774,"""L'état, c'est moi"". Seven Years' War"
Louis XVI,male,1754,1793,,,,King of France,1774-1792,Deposed and executed in the French Revolution
Napoleon I,male,1769,1821,,,,Emperor of the French,1804-1815,Napoleonic Code. Defeated at Waterloo. Hundred Days
