name,gender,birth,death,father,mother,spouse,title,period,note
George Washington,male,1732,1799,,,,1st President of the United States,1789-1797,"Commander-in-chief of the Revolution. ""Father of America"""
John Adams,male,1735,1826,,,,2nd President of the United States,1797-1801,One of the drafters of the Declaration of Independence
Thomas Jefferson,male,1743,1826,,,,3rd President of the United States,1801-1809,Drafted the Declaration. Louisiana Purchase
James Madison,male,1751,1836,,,,4th President of the United States,1809-1817,Father of the Constitution
James Monroe,male,1758,1831,,,,5th President of the United States,1817-1825,Monroe Doctrine
Andrew Jackson,male,1767,1845,,,,7th President of the United States,1829-1837,Expansion of democracy
Abraham Lincoln,male,1809,1865,,,,16th President of the United States,1861-1865,Civil War. Emancipation Proclamation. Assassinated
Ulysses Grant,male,1822,1885,,,,18th President of the United States,1869-1877,Union commander in the Civil War
Grover Cleveland,male,1837,1908,,,,22nd and 24th President of the United States,1885-1889；1893-1897,Re-elected non-consecutively
William McKinley,male,1843,1901,,,,25th President of the United States,1897-1901,Spanish-American War. Assassinated
Theodore Roosevelt,male,1858,1919,,,,26th President of the United States,1901-1909,Mount Rushmore. Panama Canal
Woodrow Wilson,male,1856,1924,,,,28th President of the United States,1913-1921,World War I. Proposed the League of Nations
Franklin D. Roosevelt,male,1882,1945,,,,32nd President of the United States,1933-1945,New Deal. World War II. Four terms
Harry Truman,male,1884,1972,,,,33rd President of the United States,1945-1953,Marshall Plan. Founded the UN
Dwight Eisenhower,male,1890,1969,,,,34th President of the United States,1953-1961,Supreme Allied Commander of World War II
John F. Kennedy,male,1917,1963,Joseph Kennedy,,,35th President of the United States,1961-1963,Cuban Missile Crisis. Assassinated
Joseph Kennedy,male,1888,1969,,,,"Businessman, ambassador to UK (Kennedy family)",,Patriarch of the Kennedy family
Richard Nixon,male,1913,1994,,,,37th President of the United States,1969-1974,Nixon's visit to China. Resigned over Watergate
Jimmy Carter,male,1924,2024,,,,39th President of the United States,1977-1981,Camp David Accords
Ronald Reagan,male,1911,2004,,,,40th President of the United States,1981-1989,Toward the end of the Cold War. Reaganomics
Bill Clinton,male,1946,,,,,42nd President of the United States,1993-2001,Economic prosperity
George W. Bush,male,1946,,George H. W. Bush,,,43rd President of the United States,2001-2009,9/11 attacks. Iraq War
George H. W. Bush,male,1924,2018,Prescott Bush,,,41st President of the United States,1989-1993,Gulf War. Bush family
Prescott Bush,male,1895,1972,,,,US Senator (Bush family),,Founder of the Bush family. Banker
Barack Obama,male,1961,,,,,44th President of the United States,2009-2017,First Black president. Healthcare reform
Donald Trump,male,1946,,,,,45th and 47th President of the United States,2017-2021；2025-,Businessman. Returned after re-election
Joe Biden,male,1942,,,,,46th President of the United States,2021-2025,Oldest president
