name,gender,birth,death,era,title,teacher,school,works,period,note
Thales,male,约前624,约前546,Ancient Greece,Founder of the Milesian school,,自然哲学,,,Water is the origin of all things. Regarded as the first philosopher
Pythagoras,male,约前570,约前495,Ancient Greece,Mathematician and religious teacher,,ピタゴラス学派,,,"Pythagorean theorem. ""All is number"""
Heraclitus,male,约前535,约前475,Ancient Greece,Natural philosopher,,自然哲学,,,"""All things flow"". Fire as the origin"
Socrates,male,前470,前399,Ancient Greece,Philosopher (no office),,哲学,,,Socratic method. Executed by hemlock. Wrote nothing
Democritus,male,约前460,约前370,Ancient Greece,Natural philosopher,,原子論,,,All things are made of atoms
Plato,male,前427,前347,Ancient Greece,Founder of the Academy,Socrates,哲学,The Republic；The Symposium,,Theory of Forms. Founded the Academy
Aristotle,male,前384,前322,Ancient Greece,Founder of the Lyceum,Plato,哲学,Metaphysics；Nicomachean Ethics,,Master of all knowledge. Tutor of Alexander the Great
Alexander the Great,male,前356,前323,Ancient Greece,"King of Macedon, the Great",Aristotle,,,,Built a world empire. Student of Aristotle
Epicurus,male,前341,前270,Hellenistic period,Philosopher,,エピクロス学派,,,"Hedonism. ""Death is nothing to us"""
Zeno,male,约前334,约前262,Hellenistic period,Philosopher,,ストア学派,,,Founded Stoicism. Taught in Athens
Seneca,male,前4,65,Roman Empire,"Adviser to Nero, philosopher",,ストア学派,On the Shortness of Life,,Stoic philosophy. Executed by Nero
Marcus Aurelius,male,121,180,Roman Empire,Roman emperor,,ストア学派,Meditations,,"Philosopher emperor. ""Be yourself"""
Augustine,male,354,430,Roman Empire,Bishop of Hippo,,キリスト教神学,Confessions；The City of God,,Greatest Father of the Western Church. Doctrine of grace
Albertus Magnus,male,1193,1280,Middle Ages,Theologian and scholar,,スコラ学,,,"Teacher of Thomas Aquinas. ""Doctor Universalis"""
Thomas Aquinas,male,1225,1274,Middle Ages,Theologian,Albertus Magnus,スコラ学,Summa Theologica,,Perfected Scholasticism. Harmony of faith and reason
Machiavelli,male,1469,1527,Renaissance,Florentine diplomat,,政治学,The Prince,,The Prince. Father of realist politics. Italy
Thomas More,male,1478,1535,Renaissance,Lord Chancellor (England),,人文主義,Utopia,,Utopia. Executed by Henry VIII
Francis Bacon,male,1561,1626,Early modern era,Lord Chancellor (England),,経験論,Novum Organum,,"Father of empiricism. ""Knowledge is power"""
Galileo,male,1564,1642,Early modern era,Mathematician and astronomer,,科学,,,Discovered Jupiter's moons. Heliocentrism. Tried by the Church
Descartes,male,1596,1650,Early modern era,Philosopher and mathematician,,合理論,Discourse on Method,,"""I think, therefore I am"". Analytic geometry"
Isaac Barrow,male,1630,1677,Early modern era,Mathematician and theologian,,数学,,,Teacher of Newton. Professor at Cambridge
Spinoza,male,1632,1677,Early modern era,Philosopher,,合理論,Ethics,,"Pantheism. ""God is Nature"". Earned a living grinding lenses"
