名前,性別,生年,没年,父,母,配偶者,肩書,期間,メモ
奥古斯都,男,前63,14,,,莉维娅,罗马帝国第一任皇帝,前27-14,凯撒养子。罗马帝国创立者。罗马和平
莉维娅,女,前58,29,,,奥古斯都,罗马皇后,,奥古斯都之妻。罗马最具影响力的女性
提比略,男,前42,37,,,,罗马帝国第二任皇帝,14-37,奥古斯都养子。隐居卡普里岛
卡利古拉,男,12,41,,,,罗马帝国第三任皇帝,37-41,暴政的代名词。被近卫军刺杀
克劳狄,男,前10,54,,,,罗马帝国第四任皇帝,41-54,征服不列颠
尼禄,男,37,68,,,,罗马帝国第五任皇帝,54-68,罗马大火。尤利乌斯-克劳狄王朝末代
韦斯巴芗,男,9,79,,,,罗马帝国第九任皇帝,69-79,弗拉维王朝创立者。动工修建斗兽场
提图斯,男,39,81,韦斯巴芗,,,罗马帝国第十任皇帝,79-81,维苏威火山爆发、斗兽场落成
图密善,男,51,96,韦斯巴芗,,,罗马帝国第十一任皇帝,81-96,弗拉维王朝末代。被刺杀
涅尔瓦,男,30,98,,,,罗马帝国第十二任皇帝,96-98,五贤帝之首。确立养子继承制
图拉真,男,53,117,,,,罗马帝国第十三任皇帝,98-117,五贤帝。帝国版图最大
哈德良,男,76,138,,,,罗马帝国第十四任皇帝,117-138,五贤帝。哈德良长城。重建万神殿
安敦尼·庇护,男,86,161,,,,罗马帝国第十五任皇帝,138-161,五贤帝。收养马可·奥勒留
马可·奥勒留,男,121,180,,,,罗马帝国第十六任皇帝,161-180,五贤帝。「哲人皇帝」《沉思录》
康茂德,男,161,192,马可·奥勒留,,,罗马帝国第十七任皇帝,180-192,暴政。涅尔瓦-安敦尼王朝末代
塞普蒂米乌斯·塞维鲁,男,145,211,,,,罗马帝国第二十一任皇帝,193-211,塞维鲁王朝创立者
卡拉卡拉,男,188,217,塞普蒂米乌斯·塞维鲁,,,罗马帝国第二十二任皇帝,211-217,安东尼努斯敕令（授予公民权）
奥勒良,男,214,275,,,,罗马帝国第四十任皇帝,270-275,军人皇帝。重新统一帝国
戴克里先,男,244,311,,,,罗马帝国第五十一任皇帝,284-305,四帝共治制。确立专制君主制
狄奥多西一世,男,347,395,,,,罗马帝国第六十六任皇帝,379-395,确立基督教为国教。帝国东西分治
罗慕路斯·奥古斯都路斯,男,约460,约511,,,,西罗马帝国末代皇帝,475-476,西罗马帝国灭亡（476年）
