名前,性別,生年,没年,父,母,配偶者,肩書,期間,メモ
君士坦丁一世,男,272,337,,,,罗马皇帝（迁都君士坦丁堡）,306-337,米兰敕令。330年迁都。拜占庭帝国之祖
查士丁尼一世,男,483,565,,,狄奥多拉,东罗马皇帝,527-565,《罗马法大全》。重建君士坦丁堡
狄奥多拉,女,约500,548,,,查士丁尼一世,皇后（查士丁尼一世）,,出身演员。与皇帝共治。镇压尼卡起义
希拉克略,男,约575,641,,,,东罗马皇帝,610-641,战胜萨珊波斯。军事改革
利奥三世,男,约685,741,,,,东罗马皇帝,717-741,击退伊斯兰军队。毁坏圣像运动
伊琳娜,女,约752,803,,,,东罗马女皇,797-802,恢复圣像崇拜（第二次尼西亚公会议）
巴西尔二世,男,958,1025,,,,东罗马皇帝,976-1025,征服保加利亚。「保加利亚屠夫」
阿历克塞一世,男,1048,1118,,,,东罗马皇帝,1081-1118,科穆宁王朝。与十字军协调
约翰二世,男,1087,1143,阿历克塞一世,,,东罗马皇帝,1118-1143,科穆宁王朝的明君
曼努埃尔一世,男,1118,1180,,,,东罗马皇帝,1143-1180,科穆宁王朝的鼎盛期
米海尔八世,男,1224,1282,,,,东罗马皇帝,1261-1282,从拉丁帝国手中收复君士坦丁堡
君士坦丁十一世,男,1405,1453,,,,东罗马末代皇帝,1449-1453,君士坦丁堡陷落时战死。东罗马灭亡
