名前,性別,生年,没年,父,母,配偶者,肩書,期間,メモ
路易五世,男,约967,987,,,,法国国王（加洛林王朝末代）,986-987,加洛林王朝断绝
于格·卡佩,男,约940,996,,,,法国国王（卡佩王朝首任）,987-996,卡佩王朝创立者
路易七世,男,1120,1180,,,,法国国王,1137-1180,与阿基坦的埃莉诺离婚
腓力二世（法国）,男,1165,1223,,,,法国国王,1180-1223,第三次十字军。削弱安茹帝国
路易八世,男,1187,1226,,,,法国国王,1223-1226,
路易九世,男,1214,1270,,,,法国国王（圣路易）,1226-1270,十字军中在埃及被俘。被封为圣人
腓力三世（法国）,男,1245,1285,,,,法国国王,1270-1285,
腓力四世（法国）,男,1268,1314,,,,法国国王,1285-1314,解散圣殿骑士团。召开三级会议
查理六世（法国）,男,1368,1422,,,,法国国王,1380-1422,疯王。百年战争的混乱
查理七世,男,1403,1461,,,,法国国王,1422-1461,百年战争获胜。圣女贞德的时代
路易十一,男,1423,1483,,,,法国国王,1461-1483,「明智王」。统一法国
路易十二,男,1462,1515,,,,法国国王,1498-1515,
弗朗索瓦一世（法国）,男,1494,1547,,,,法国国王,1515-1547,文艺复兴之王。邀请达·芬奇
亨利四世（法国）,男,1553,1610,,,,法国国王（波旁王朝首任）,1589-1610,《南特敕令》。「家家锅里都有一只鸡」
路易十三,男,1601,1643,亨利四世（法国）,,,法国国王,1610-1643,任命黎塞留为宰相
路易十四,男,1638,1715,路易十三,,,法国国王（太阳王）,1643-1715,绝对王权的顶峰。凡尔赛宫
路易十五,男,1710,1774,,,,法国国王,1715-1774,「朕即国家」。七年战争
路易十六,男,1754,1793,,,,法国国王,1774-1792,法国大革命中被废黜并处死
拿破仑一世,男,1769,1821,,,,法兰西皇帝,1804-1815,《拿破仑法典》。滑铁卢战败。百日王朝
