名前,性別,生年,没年,父,母,配偶者,肩書,期間,メモ
威廉一世,男,约1028,1087,,,,英格兰国王（征服者）,1066-1087,诺曼征服。《末日审判书》
亨利一世,男,约1068,1135,威廉一世,,,英格兰国王,1100-1135,
亨利二世,男,1133,1189,,,,英格兰国王（金雀花王朝）,1154-1189,安茹帝国
理查一世,男,1157,1199,亨利二世,,,英格兰国王（狮心王）,1189-1199,第三次十字军
约翰王,男,1166,1216,亨利二世,,,英格兰国王,1199-1216,《大宪章》（1215年）
亨利四世（英格兰）,男,1367,1413,,,,英格兰国王（兰开斯特王朝首任）,1399-1413,废黜理查二世即位
亨利三世,男,1207,1272,约翰王,,,英格兰国王,1216-1272,
爱德华一世,男,1239,1307,亨利三世,,,英格兰国王,1272-1307,征服威尔士。入侵苏格兰
爱德华三世,男,1312,1377,,,,英格兰国王,1327-1377,开启百年战争
亨利五世,男,1386,1422,,,,英格兰国王,1413-1422,阿金库尔战役
亨利七世,男,1457,1509,,,,英格兰国王（都铎王朝首任）,1485-1509,终结玫瑰战争
亨利八世,男,1491,1547,亨利七世,,,英格兰国王,1509-1547,创立英国国教会。六位王后
安妮·博林,女,约1507,1536,,,亨利八世,王后（亨利八世）,,伊丽莎白一世之母。被处死
爱德华六世,男,1537,1553,亨利八世,,,英格兰国王,1547-1553,彻底推行宗教改革
玛丽一世,女,1516,1558,亨利八世,,,英格兰女王（血腥玛丽）,1553-1558,复兴天主教。处死众多
伊丽莎白一世,女,1533,1603,亨利八世,安妮·博林,,英格兰女王,1558-1603,伊丽莎白时代的黄金期。击败无敌舰队
詹姆斯一世,男,1566,1625,,,,英格兰国王（斯图亚特王朝）,1603-1625,与苏格兰共主联合。《钦定版圣经》
查理一世,男,1600,1649,詹姆斯一世,,,英格兰国王,1625-1649,英国内战（清教徒革命）中被处死
查理二世（英格兰）,男,1630,1685,查理一世,,,英格兰国王,1660-1685,王政复辟
詹姆斯二世,男,1633,1701,查理一世,,,英格兰国王,1685-1688,光荣革命中被驱逐
威廉三世,男,1650,1702,,,玛丽二世,英格兰国王,1689-1702,光荣革命。《权利法案》
玛丽二世,女,1662,1694,詹姆斯二世,,威廉三世,英格兰女王,1689-1694,与威廉三世共治
安妮女王,女,1665,1714,詹姆斯二世,,,英格兰女王,1702-1714,斯图亚特王朝末代。与苏格兰合并
乔治一世,男,1660,1727,,,,英国国王（汉诺威王朝首任）,1714-1727,汉诺威王朝创立者
乔治二世,男,1683,1760,乔治一世,,,英国国王,1727-1760,
乔治三世,男,1738,1820,,,,英国国王,1760-1820,美国独立战争。拿破仑战争
乔治四世,男,1762,1830,乔治三世,,,英国国王,1820-1830,摄政时代的艺术赞助人
威廉四世,男,1765,1837,乔治三世,,,英国国王,1830-1837,《改革法案》的时代
维多利亚女王,女,1819,1901,,,,英国女王,1837-1901,维多利亚时代。大英帝国鼎盛期
爱德华七世,男,1841,1910,,,,英国国王,1901-1910,维多利亚女王之子
乔治五世,男,1865,1936,,,,英国国王（温莎王朝）,1910-1936,第一次世界大战。改称温莎家族
乔治六世,男,1895,1952,乔治五世,,,英国国王,1936-1952,第二次世界大战时期的国王
伊丽莎白二世,女,1926,2022,乔治六世,,菲利普亲王,英国女王,1952-2022,在位70年。历经丘吉尔到特拉斯共15位首相
菲利普亲王,男,1921,2021,,,伊丽莎白二世,王夫（爱丁堡公爵）,,伊丽莎白二世之夫。希腊丹麦王室出身
查尔斯三世（英国）,男,1948,,菲利普亲王,伊丽莎白二世,,英国国王（在位）,2022-,伊丽莎白二世的长子
