名前,性別,生年,没年,父,母,配偶者,肩書,期間,メモ
乔治·华盛顿,男,1732,1799,,,,美国第1任总统,1789-1797,独立战争总司令。「美国国父」
约翰·亚当斯,男,1735,1826,,,,美国第2任总统,1797-1801,《独立宣言》起草者之一
托马斯·杰斐逊,男,1743,1826,,,,美国第3任总统,1801-1809,起草《独立宣言》。路易斯安那购地
詹姆斯·麦迪逊,男,1751,1836,,,,美国第4任总统,1809-1817,宪法之父
詹姆斯·门罗,男,1758,1831,,,,美国第5任总统,1817-1825,门罗主义
安德鲁·杰克逊,男,1767,1845,,,,美国第7任总统,1829-1837,民主政治的扩大
亚伯拉罕·林肯,男,1809,1865,,,,美国第16任总统,1861-1865,南北战争。《解放黑人奴隶宣言》。被暗杀
尤利西斯·格兰特,男,1822,1885,,,,美国第18任总统,1869-1877,南北战争北军总司令
格罗弗·克利夫兰,男,1837,1908,,,,美国第22、24任总统,1885-1889；1893-1897,隔届再度当选
威廉·麦金莱,男,1843,1901,,,,美国第25任总统,1897-1901,美西战争。被暗杀
西奥多·罗斯福,男,1858,1919,,,,美国第26任总统,1901-1909,拉什莫尔山。巴拿马运河
伍德罗·威尔逊,男,1856,1924,,,,美国第28任总统,1913-1921,第一次世界大战·倡议成立国际联盟
富兰克林·罗斯福,男,1882,1945,,,,美国第32任总统,1933-1945,新政。第二次世界大战。连任四届
哈里·杜鲁门,男,1884,1972,,,,美国第33任总统,1945-1953,马歇尔计划。联合国创立
德怀特·艾森豪威尔,男,1890,1969,,,,美国第34任总统,1953-1961,第二次世界大战盟军最高统帅
约翰·肯尼迪,男,1917,1963,约瑟夫·肯尼迪,,,美国第35任总统,1961-1963,古巴导弹危机。被暗杀
约瑟夫·肯尼迪,男,1888,1969,,,,实业家·驻英大使（肯尼迪家族）,,肯尼迪家族族长
理查德·尼克松,男,1913,1994,,,,美国第37任总统,1969-1974,尼克松访华。因水门事件辞职
吉米·卡特,男,1924,2024,,,,美国第39任总统,1977-1981,戴维营协议
罗纳德·里根,男,1911,2004,,,,美国第40任总统,1981-1989,推动冷战终结。里根经济学
比尔·克林顿,男,1946,,,,,美国第42任总统,1993-2001,经济繁荣
乔治·W·布什,男,1946,,乔治·H·W·布什,,,美国第43任总统,2001-2009,9·11恐怖袭击。伊拉克战争
乔治·H·W·布什,男,1924,2018,普雷斯科特·布什,,,美国第41任总统,1989-1993,海湾战争。布什家族
普雷斯科特·布什,男,1895,1972,,,,联邦参议员（布什家族）,,布什家族的奠基人。银行家
贝拉克·奥巴马,男,1961,,,,,美国第44任总统,2009-2017,首位黑人总统。医改
唐纳德·特朗普,男,1946,,,,,美国第45、47任总统,2017-2021；2025-,实业家出身。再度当选回归
乔·拜登,男,1942,,,,,美国第46任总统,2021-2025,最年长的总统
