名前,性別,生年,没年,時代,肩書,師,学派,著作,期間,メモ
泰勒斯,男,约前624,约前546,古希腊,米利都学派创始人,,自然哲学,,,万物之源是水。被视为第一位哲学家
毕达哥拉斯,男,约前570,约前495,古希腊,数学家·宗教家,,ピタゴラス学派,,,毕达哥拉斯定理。「万物皆数」
赫拉克利特,男,约前535,约前475,古希腊,自然哲学家,,自然哲学,,,「万物皆流」。以火为本原
苏格拉底,男,前470,前399,古希腊,哲学家（无官位）,,哲学,,,无知之知·问答法。饮鸩而亡。无著作
德谟克利特,男,约前460,约前370,古希腊,自然哲学家,,原子論,,,万物由原子构成
柏拉图,男,前427,前347,古希腊,学园（Academy）创建者,苏格拉底,哲学,《理想国》；《会饮篇》,,理念论。创建学园
亚里士多德,男,前384,前322,古希腊,吕克昂学园创建者,柏拉图,哲学,《形而上学》；《尼各马可伦理学》,,百科全书式学者。亚历山大大帝之师
亚历山大大帝,男,前356,前323,古希腊,马其顿国王·大帝,亚里士多德,,,,建立世界帝国。师从亚里士多德
伊壁鸠鲁,男,前341,前270,希腊化时代,哲学家,,エピクロス学派,,,快乐主义。「死亡与我们无关」
芝诺,男,约前334,约前262,希腊化时代,哲学家,,ストア学派,,,斯多亚学派创始人。在雅典讲学
塞内卡,男,前4,65,罗马帝国,尼禄的顾问·哲学家,,ストア学派,《论生命之短暂》,,斯多亚哲学。被尼禄处死
马可·奥勒留,男,121,180,罗马帝国,罗马皇帝,,ストア学派,《沉思录》,,哲人皇帝。「做你自己」
奥古斯丁,男,354,430,罗马帝国,希波主教,,キリスト教神学,《忏悔录》；《上帝之城》,,西方教会最伟大的教父。恩典论
大阿尔伯特,男,1193,1280,中世纪,神学家·学者,,スコラ学,,,托马斯·阿奎那之师。「万能博士」
托马斯·阿奎那,男,1225,1274,中世纪,神学家,大阿尔伯特,スコラ学,《神学大全》,,经院哲学的集大成者。信仰与理性的调和
马基雅维利,男,1469,1527,文艺复兴,佛罗伦萨外交官,,政治学,《君主论》,,《君主论》。现实主义政治学之父。意大利
托马斯·莫尔,男,1478,1535,文艺复兴,大法官（英国）,,人文主義,《乌托邦》,,《乌托邦》。被亨利八世处死
弗朗西斯·培根,男,1561,1626,近代早期,大法官（英国）,,経験論,《新工具》,,经验论之祖。「知识即力量」
伽利略,男,1564,1642,近代早期,数学家·天文学家,,科学,,,用望远镜发现木星卫星。日心说。宗教审判
笛卡尔,男,1596,1650,近代早期,哲学家·数学家,,合理論,《方法论》,,「我思故我在」。解析几何
艾萨克·巴罗,男,1630,1677,近代早期,数学家·神学家,,数学,,,牛顿之师。剑桥大学教授
斯宾诺莎,男,1632,1677,近代早期,哲学家,,合理論,《伦理学》,,泛神论。「神即自然」。以磨镜片为生
洛克,男,1632,1704,近代早期,哲学家·政治家,,経験論,《政府论》,,自由主义之父。社会契约论。影响美国独立
牛顿,男,1643,1727,近代早期,剑桥大学教授,艾萨克·巴罗,物理学・数学,《自然哲学的数学原理》,,万有引力·运动定律。微积分
莱布尼茨,男,1646,1716,近代早期,哲学家·数学家,,合理論,《单子论》,,与牛顿各自独立发现微积分
伏尔泰,男,1694,1778,近代早期,哲学家·作家,,啓蒙思想,《老实人》,,启蒙思想的旗手。倡导宗教宽容
弗朗西斯·哈奇森,男,1694,1746,近代早期,哲学家,,道徳哲学,,,亚当·斯密之师。格拉斯哥大学教授
本杰明·富兰克林,男,1706,1790,近代早期,政治家·科学家,,啓蒙思想,《富兰克林自传》,,风筝实验。起草《独立宣言》。美国代表
卢梭,男,1712,1778,近代早期,哲学家·作家,,啓蒙思想,《社会契约论》,,社会契约论。「人生而自由」
亚当·斯密,男,1723,1790,近代早期,哲学家·经济学家,弗朗西斯·哈奇森,経済学,《国富论》,,经济学之父。「看不见的手」。自由放任主义
康德,男,1724,1804,近代早期,柯尼斯堡大学教授,,批判哲学,《纯粹理性批判》,,批判哲学。「要有勇气运用你自己的理性」
费希特,男,1762,1814,近代,哲学家,康德,ドイツ観念論,《全部知识学的基础》,,继承康德的批判哲学。自我论
黑格尔,男,1770,1831,近代,柏林大学教授,,ドイツ観念論,《精神现象学》,,辩证法。《精神现象学》。与谢林同窗
叔本华,男,1788,1860,近代,哲学家,,意志哲学,《作为意志和表象的世界》,,悲观哲学。受康德影响后自成一家
约翰·斯图尔特·密尔,男,1806,1873,近代,哲学家·经济学家,,功利主義,《论自由》,,《论自由》。女性解放论。受父亲家庭教育
达尔文,男,1809,1882,近代,博物学家,,生物学,《物种起源》,,进化论·自然选择。贝格尔号航行
马克思,男,1818,1883,近代,思想家·革命家,黑格尔,唯物史観,《资本论》,,从左派黑格尔派走向唯物史观。共产主义之父
阿尔弗雷德·马歇尔,男,1842,1924,近代,经济学家,,経済学,,,凯恩斯之师。剑桥学派
