名前,性別,生年,没年,父,母,配偶者,肩書,期間,メモ
アウグストゥス,男,前63,14,,,リウィア,初代ローマ皇帝,前27-14,カエサルの養子。帝政の創始。パクス・ロマーナ
リウィア,女,前58,29,,,アウグストゥス,ローマ皇后,,アウグストゥスの妻。ローマで最も影響力のある女性
ティベリウス,男,前42,37,,,,第2代ローマ皇帝,14-37,アウグストゥスの養子。カプリ島に隠棲
カリグラ,男,12,41,,,,第3代ローマ皇帝,37-41,暴政の代名詞。近衛隊に暗殺
クラウディウス,男,前10,54,,,,第4代ローマ皇帝,41-54,ブリタニア征服
ネロ,男,37,68,,,,第5代ローマ皇帝,54-68,ローマ大火。ユリウス=クラウディウス朝の最後
ウェスパシアヌス,男,9,79,,,,第9代ローマ皇帝,69-79,フラウィウス朝の創始。コロッセウム着工
ティトゥス,男,39,81,ウェスパシアヌス,,,第10代ローマ皇帝,79-81,ヴェスヴィオ噴火・コロッセウム落成
ドミティアヌス,男,51,96,ウェスパシアヌス,,,第11代ローマ皇帝,81-96,フラウィウス朝の最後。暗殺される
ネルヴァ,男,30,98,,,,第12代ローマ皇帝,96-98,五賢帝の始まり。養子継承を確立
トラヤヌス,男,53,117,,,,第13代ローマ皇帝,98-117,五賢帝。帝国最大版図
ハドリアヌス,男,76,138,,,,第14代ローマ皇帝,117-138,五賢帝。ハドリアヌスの長城。パンテオン再建
アントニヌス・ピウス,男,86,161,,,,第15代ローマ皇帝,138-161,五賢帝。マルクス・アウレリウスを養子に
マルクス・アウレリウス,男,121,180,,,,第16代ローマ皇帝,161-180,五賢帝。「哲人皇帝」『自省録』
コモドゥス,男,161,192,マルクス・アウレリウス,,,第17代ローマ皇帝,180-192,暴政。ネルウァ=アントニヌス朝の最後
セプティミウス・セウェルス,男,145,211,,,,第21代ローマ皇帝,193-211,セウェルス朝の創始
カラカラ,男,188,217,セプティミウス・セウェルス,,,第22代ローマ皇帝,211-217,アントニヌス勅令（市民権付与）
アウレリアヌス,男,214,275,,,,第40代ローマ皇帝,270-275,軍人皇帝。帝国再統一
ディオクレティアヌス,男,244,311,,,,第51代ローマ皇帝,284-305,四分統治制。専制君主制の確立
テオドシウス1世,男,347,395,,,,第66代ローマ皇帝,379-395,キリスト教を国教化。東西分割
ロムルス・アウグストゥルス,男,约460,约511,,,,最後の西ローマ皇帝,475-476,西ローマ帝国滅亡（476年）
