名前,性別,生年,没年,父,母,配偶者,肩書,期間,メモ
コンスタンティヌス1世,男,272,337,,,,ローマ皇帝（コンスタンティノープル遷都）,306-337,ミラノ勅令。330年遷都。ビザンツ帝国の祖
ユスティニアヌス1世,男,483,565,,,テオドラ,東ローマ皇帝,527-565,ローマ法大全。コンスタンティノープルの再建
テオドラ,女,约500,548,,,ユスティニアヌス1世,皇后（ユスティニアヌス1世）,,元女優。皇帝と共同統治。ニカの乱を鎮圧
ヘラクレイオス,男,约575,641,,,,東ローマ皇帝,610-641,サーサーン朝ペルシアに勝利。軍制改革
レオ3世,男,约685,741,,,,東ローマ皇帝,717-741,イスラム軍を撃退。聖像破壊運動
イレーネ,女,约752,803,,,,東ローマ女帝,797-802,聖像崇敬を復活（第2ニカイア公会議）
バシレイオス2世,男,958,1025,,,,東ローマ皇帝,976-1025,ブルガリアを征服。「ブルガリア人殺し」
アレクシオス1世,男,1048,1118,,,,東ローマ皇帝,1081-1118,コムネノス王朝。十字軍と協調
ヨハネス2世,男,1087,1143,アレクシオス1世,,,東ローマ皇帝,1118-1143,コムネノス朝の名君
マヌエル1世,男,1118,1180,,,,東ローマ皇帝,1143-1180,コムネノス朝の最盛期
ミカエル8世,男,1224,1282,,,,東ローマ皇帝,1261-1282,ラテン帝国からコンスタンティノープルを奪回
コンスタンティノス11世,男,1405,1453,,,,最後の東ローマ皇帝,1449-1453,コンスタンティノープル陥落で戦死。東ローマ滅亡
