名前,性別,生年,没年,父,母,配偶者,肩書,期間,メモ
オットー1世,男,912,973,,,,神聖ローマ皇帝（ザクセン朝）,962-973,962年に皇帝戴冠。神聖ローマ帝国の創始
ハインリヒ4世,男,1050,1106,,,,神聖ローマ皇帝（ザーリアー朝）,1084-1105,カノッサの屈辱（1077年）
フリードリヒ1世,男,1122,1190,,,,神聖ローマ皇帝（ホーエンシュタウフェン朝）,1155-1190,バルバロッサ。第三次十字軍で水死
フリードリヒ2世,男,1194,1250,,,,神聖ローマ皇帝,1220-1250,「世界の驚異」。シチリア王国の君主
ルドルフ1世,男,1218,1291,,,,ローマ王（ハプスブルク家初代）,1273-1291,ハプスブルク家の台頭
カール4世,男,1316,1378,,,,神聖ローマ皇帝（ルクセンブルク家）,1355-1378,金印勅書。プラハを首都に
フリードリヒ3世,男,1415,1493,,,,神聖ローマ皇帝,1440-1493,ハプスブルク家の皇帝
マクシミリアン1世,男,1459,1519,,,,神聖ローマ皇帝（ハプスブルク家）,1508-1519,結婚外交でハプスブルク家を拡大
カール5世,男,1500,1558,,,,神聖ローマ皇帝・スペイン王カルロス1世,1519-1556,「太陽の沈まぬ帝国」。退位して修道院へ
フェルディナント2世,男,1578,1637,,,,神聖ローマ皇帝,1619-1637,三十年戦争の皇帝
フェルディナント3世,男,1608,1657,,,,神聖ローマ皇帝,1637-1657,三十年戦争末期の皇帝
レオポルト1世,男,1640,1705,,,,神聖ローマ皇帝,1658-1705,大トルコ戦争でオスマン帝国に勝利
ヨーゼフ1世,男,1678,1711,,,,神聖ローマ皇帝,1705-1711,
カール6世,男,1685,1740,,,,神聖ローマ皇帝,1711-1740,国事詔書。マリア・テレジアに継承
フランツ1世,男,1708,1765,,,,神聖ローマ皇帝,1745-1765,マリア・テレジアの夫
ヨーゼフ2世,男,1741,1790,,,,神聖ローマ皇帝,1765-1790,啓蒙専制君主。農奴解放
レオポルト2世,男,1747,1792,,,,神聖ローマ皇帝,1790-1792,
フランツ2世,男,1768,1835,,,,最後の神聖ローマ皇帝,1792-1806,ナポレオンにより神聖ローマ帝国解体
