名前,性別,生年,没年,父,母,配偶者,肩書,期間,メモ
ルイ5世,男,约967,987,,,,フランス王（カロリング朝最後）,986-987,カロリング朝断絶
ユーグ・カペー,男,约940,996,,,,フランス王（カペー朝初代）,987-996,カペー朝の創始
ルイ7世,男,1120,1180,,,,フランス王,1137-1180,アリエノール・ダキテーヌと離婚
フィリップ2世,男,1165,1223,,,,フランス王,1180-1223,第三次十字軍。アンジュー帝国を弱体化
ルイ8世,男,1187,1226,,,,フランス王,1223-1226,
ルイ9世,男,1214,1270,,,,フランス王（聖王）,1226-1270,十字軍でエジプトで捕虜。聖人に列せられる
フィリップ3世,男,1245,1285,,,,フランス王,1270-1285,
フィリップ4世,男,1268,1314,,,,フランス王,1285-1314,テンプル騎士団を解散。三部会
シャルル6世,男,1368,1422,,,,フランス王,1380-1422,狂気の王。百年戦争の混乱
シャルル7世,男,1403,1461,,,,フランス王,1422-1461,百年戦争で勝利。ジャンヌ・ダルクの時代
ルイ11世,男,1423,1483,,,,フランス王,1461-1483,「賢明王」。フランス統一
ルイ12世,男,1462,1515,,,,フランス王,1498-1515,
フランソワ1世,男,1494,1547,,,,フランス王,1515-1547,ルネサンス王。レオナルド・ダ・ヴィンチを招聘
アンリ4世,男,1553,1610,,,,フランス王（ブルボン朝初代）,1589-1610,ナントの勅令。「鶏を食べられる国」
ルイ13世,男,1601,1643,アンリ4世,,,フランス王,1610-1643,リシュリューを宰相に
ルイ14世,男,1638,1715,ルイ13世,,,フランス王（太陽王）,1643-1715,絶対王政の頂点。ベルサイユ宮殿
ルイ15世,男,1710,1774,,,,フランス王,1715-1774,「朕は国家なり」。七年戦争
ルイ16世,男,1754,1793,,,,フランス王,1774-1792,フランス革命で廃位・処刑
ナポレオン1世,男,1769,1821,,,,フランス皇帝,1804-1815,ナポレオン法典。ワーテルローで敗北。百日天下
