名前,性別,生年,没年,父,母,配偶者,肩書,期間,メモ
ウィリアム1世,男,约1028,1087,,,,イングランド王（征服王）,1066-1087,ノルマン征服。ドゥームズデイ・ブック
ヘンリー1世,男,约1068,1135,ウィリアム1世,,,イングランド王,1100-1135,
ヘンリー2世,男,1133,1189,,,,イングランド王（プランタジネット朝）,1154-1189,アンジュー帝国
リチャード1世,男,1157,1199,ヘンリー2世,,,イングランド王（獅子心王）,1189-1199,第三次十字軍
ジョン王,男,1166,1216,ヘンリー2世,,,イングランド王,1199-1216,マグナ・カルタ（1215年）
ヘンリー4世,男,1367,1413,,,,イングランド王（ランカスター朝初代）,1399-1413,リチャード2世を廃して即位
ヘンリー3世,男,1207,1272,ジョン王,,,イングランド王,1216-1272,
エドワード1世,男,1239,1307,ヘンリー3世,,,イングランド王,1272-1307,ウェールズ征服。スコットランド侵攻
エドワード3世,男,1312,1377,,,,イングランド王,1327-1377,百年戦争開始
ヘンリー5世,男,1386,1422,,,,イングランド王,1413-1422,アジャンクールの戦い
ヘンリー7世,男,1457,1509,,,,イングランド王（テューダー朝初代）,1485-1509,薔薇戦争を終結
ヘンリー8世,男,1491,1547,ヘンリー7世,,,イングランド王,1509-1547,イングランド国教会創設。6人の妃
アン・ブーリン,女,约1507,1536,,,ヘンリー8世,王妃（ヘンリー8世）,,エリザベス1世の母。処刑される
エドワード6世,男,1537,1553,ヘンリー8世,,,イングランド王,1547-1553,宗教改革の徹底
メアリー1世,女,1516,1558,ヘンリー8世,,,イングランド女王（血のメアリー）,1553-1558,カトリック復興。処刑多数
エリザベス1世,女,1533,1603,ヘンリー8世,アン・ブーリン,,イングランド女王,1558-1603,エリザベス朝黄金時代。アルマダ海戦勝利
ジェームズ1世,男,1566,1625,,,,イングランド王（ステュアート朝）,1603-1625,スコットランドと同君連合。欽定訳聖書
チャールズ1世,男,1600,1649,ジェームズ1世,,,イングランド王,1625-1649,清教徒革命で処刑
チャールズ2世,男,1630,1685,チャールズ1世,,,イングランド王,1660-1685,王政復古
ジェームズ2世,男,1633,1701,チャールズ1世,,,イングランド王,1685-1688,名誉革命で追放
ウィリアム3世,男,1650,1702,,,メアリー2世,イングランド王,1689-1702,名誉革命。権利章典
メアリー2世,女,1662,1694,ジェームズ2世,,ウィリアム3世,イングランド女王,1689-1694,ウィリアム3世と共同統治
アン女王,女,1665,1714,ジェームズ2世,,,イングランド女王,1702-1714,ステュアート朝最後。スコットランドと合併
ジョージ1世,男,1660,1727,,,,イギリス王（ハノーヴァー朝初代）,1714-1727,ハノーヴァー朝の創始
ジョージ2世,男,1683,1760,ジョージ1世,,,イギリス王,1727-1760,
ジョージ3世,男,1738,1820,,,,イギリス王,1760-1820,アメリカ独立戦争。ナポレオン戦争
ジョージ4世,男,1762,1830,ジョージ3世,,,イギリス王,1820-1830,摂政時代のパトロン
ウィリアム4世,男,1765,1837,ジョージ3世,,,イギリス王,1830-1837,改革法案の時代
ヴィクトリア女王,女,1819,1901,,,,イギリス女王,1837-1901,ヴィクトリア朝。大英帝国の最盛期
エドワード7世,男,1841,1910,,,,イギリス王,1901-1910,ヴィクトリア女王の子
ジョージ5世,男,1865,1936,,,,イギリス王（ウィンザー朝）,1910-1936,第一次世界大戦。ウィンザー家に改称
ジョージ6世,男,1895,1952,ジョージ5世,,,イギリス王,1936-1952,第二次世界大戦の国王
エリザベス2世,女,1926,2022,ジョージ6世,,フィリップ王配,イギリス女王,1952-2022,在位70年。チャーチルからトラスまで15人の首相
フィリップ王配,男,1921,2021,,,エリザベス2世,王配（エディンバラ公）,,エリザベス2世の夫。ギリシャ・デンマーク王族出身
チャールズ3世,男,1948,,フィリップ王配,エリザベス2世,,イギリス王（在位中）,2022-,エリザベス2世の長男
