名前,性別,生年,没年,父,母,配偶者,肩書,期間,メモ
フェルディナンド2世,男,1452,1516,,,イサベル1世,アラゴン王,1479-1516,レコンキスタ完成。コロンブス支援
イサベル1世,女,1451,1504,,,フェルディナンド2世,カスティーリャ女王,1474-1504,コロンブスの航海を支援。スペイン統一の基盤
フェリペ2世,男,1527,1598,カール5世,,,スペイン王,1556-1598,無敵艦隊。アルマダ海戦で敗北
フェリペ3世,男,1578,1621,フェリペ2世,,,スペイン王,1598-1621,
フェリペ4世,男,1605,1665,フェリペ3世,,,スペイン王,1621-1665,三十年戦争。ベラスケスに肖像画を描かせる
カルロス2世,男,1661,1700,フェリペ4世,,,スペイン王（ハプスブルク家最後）,1665-1700,近親婚の影響。ハプスブルク家断絶
フェリペ5世,男,1683,1746,,,,スペイン王（ブルボン朝初代）,1700-1746,スペイン継承戦争後、ブルボン朝が成立
カルロス3世,男,1716,1788,,,,スペイン王,1759-1788,啓蒙専制君主
カルロス4世,男,1748,1819,,,,スペイン王,1788-1808,ナポレオンに退位を強いられる
フェルナンド7世,男,1784,1833,,,,スペイン王,1808-1833,ナポレオン戦争・スペイン独立戦争
イサベル2世,女,1830,1904,,,,スペイン女王,1833-1868,即位の争い。カルリスタ戦争
アルフォンソ13世,男,1886,1941,,,,スペイン王,1902-1931,共和制の成立で亡命
フアン・カルロス1世,男,1938,,,,,スペイン王,1975-2014,フランコ後、民主化を主導。退位
フェリペ6世,男,1968,,フアン・カルロス1世,,,スペイン王（在位中）,2014-,
カール5世,男,1500,1558,,,,神聖ローマ皇帝・スペイン王カルロス1世,1519-1556,「太陽の沈まぬ帝国」。退位して修道院へ
