名前,性別,生年,没年,父,母,配偶者,肩書,期間,メモ
ジョージ・ワシントン,男,1732,1799,,,,初代アメリカ大統領,1789-1797,独立戦争の総司令官。「アメリカの父」
ジョン・アダムズ,男,1735,1826,,,,第2代アメリカ大統領,1797-1801,独立宣言起草者の一人
トーマス・ジェファーソン,男,1743,1826,,,,第3代アメリカ大統領,1801-1809,独立宣言起草。ルイジアナ買収
ジェームズ・マディソン,男,1751,1836,,,,第4代アメリカ大統領,1809-1817,憲法の父
ジェームズ・モンロー,男,1758,1831,,,,第5代アメリカ大統領,1817-1825,モンロー主義
アンドリュー・ジャクソン,男,1767,1845,,,,第7代アメリカ大統領,1829-1837,民主主義の拡大
エイブラハム・リンカーン,男,1809,1865,,,,第16代アメリカ大統領,1861-1865,南北戦争。奴隷解放宣言。暗殺される
ウリセス・グラント,男,1822,1885,,,,第18代アメリカ大統領,1869-1877,南北戦争の北軍総司令官
グロバー・クリーブランド,男,1837,1908,,,,第22・24代アメリカ大統領,1885-1889；1893-1897,非連続再選
ウィリアム・マッキンリー,男,1843,1901,,,,第25代アメリカ大統領,1897-1901,米西戦争。暗殺される
セオドア・ルーズベルト,男,1858,1919,,,,第26代アメリカ大統領,1901-1909,ラシュモア山。パナマ運河
ウッドロウ・ウィルソン,男,1856,1924,,,,第28代アメリカ大統領,1913-1921,第一次世界大戦・国際連盟提唱
フランクリン・ルーズベルト,男,1882,1945,,,,第32代アメリカ大統領,1933-1945,ニューディール。第二次世界大戦。4選
ハリー・トルーマン,男,1884,1972,,,,第33代アメリカ大統領,1945-1953,マーシャル・プラン。国連創設
ドワイト・アイゼンハワー,男,1890,1969,,,,第34代アメリカ大統領,1953-1961,第二次世界大戦の連合軍最高司令官
ジョン・F・ケネディ,男,1917,1963,ジョセフ・ケネディ,,,第35代アメリカ大統領,1961-1963,キューバ危機。暗殺される
ジョセフ・ケネディ,男,1888,1969,,,,実業家・駐英大使（ケネディ家）,,ケネディ家の当主
リチャード・ニクソン,男,1913,1994,,,,第37代アメリカ大統領,1969-1974,ニクソン訪中。ウォーターゲート事件で辞任
ジミー・カーター,男,1924,2024,,,,第39代アメリカ大統領,1977-1981,キャンプ・デービッド合意
ロナルド・レーガン,男,1911,2004,,,,第40代アメリカ大統領,1981-1989,冷戦終結へ。レーガノミクス
ビル・クリントン,男,1946,,,,,第42代アメリカ大統領,1993-2001,経済繁栄
ジョージ・W・ブッシュ,男,1946,,ジョージ・H・W・ブッシュ,,,第43代アメリカ大統領,2001-2009,9.11同時多発テロ。イラク戦争
ジョージ・H・W・ブッシュ,男,1924,2018,プレスコット・ブッシュ,,,第41代アメリカ大統領,1989-1993,湾岸戦争。ブッシュ家
プレスコット・ブッシュ,男,1895,1972,,,,上院議員（ブッシュ家）,,ブッシュ家の祖。銀行家
バラク・オバマ,男,1961,,,,,第44代アメリカ大統領,2009-2017,初の黒人大統領。医療保険改革
ドナルド・トランプ,男,1946,,,,,第45・47代アメリカ大統領,2017-2021；2025-,実業家出身。再選で復帰
ジョー・バイデン,男,1942,,,,,第46代アメリカ大統領,2021-2025,最年長の大統領
