名前,性別,生年,没年,肩書,期間,継承,朝代更换,メモ
レオニダス,男,约前540,前480,スパルタ王,前489-前480,,,テルモピュライの戦い（前480年）で戦死
ペリクレス,男,约前495,前429,アテナイの指導者（将軍）,前461-前429,,,アテナイ民主政の最盛期。パルテノン神殿
フィリッポス2世,男,前382,前336,マケドニア王,前359-前336,,,ギリシア統一。アレクサンドロス大王の父
アレクサンドロス大王,男,前356,前323,マケドニア王・大王,前336-前323,フィリッポス2世,,世界帝国を築く。アリストテレスに師事
ブルータス,男,约前545,前509,初代執政官（伝説）,前509,,,共和政ローマの伝説的創設者
カミルス,男,约前446,前365,執政官・独裁官,前390,,,ガリア人撃退。「ローマ第二の創建者」
スキピオ・アフリカヌス,男,前236,前183,執政官・将軍,前210-前201,,,第二次ポエニ戦争でハンニバルを破る
マリウス,男,前157,前86,執政官（7回）・将軍,前107-前86,,,軍制改革。ユグルタ戦争・キンブリ戦争
スッラ,男,前138,前78,独裁官,前82-前79,,,マリウス派を弾圧。独裁官就任
ポンペイウス,男,前106,前48,前三頭政治の一人・将軍,前70-前48,,,ミトリダテス戦争。カエサルと内戦
キケロ,男,前106,前43,執政官・弁論家,前63,,,「国家は法の支配」。アントニウスにより処刑
カエサル,男,前100,前44,終身独裁官,前49-前44,,,ガリア征服。ユリウス暦。オクタウィアヌスを養子に
アントニウス,男,前83,前30,将軍（三頭政治）,前43-前31,,,クレオパトラと結びオクタウィアヌスに敗れる
アウグストゥス,男,前63,14,初代ローマ皇帝,前27-14,カエサル,,カエサルの養子。帝政の創始。パクス・ロマーナ
ティベリウス,男,前42,37,第2代ローマ皇帝,14-37,アウグストゥス,,アウグストゥスの養子。カプリ島に隠棲
カリグラ,男,12,41,第3代ローマ皇帝,37-41,ティベリウス,,暴政の代名詞。近衛隊に暗殺
クラウディウス,男,前10,54,第4代ローマ皇帝,41-54,カリグラ,,ブリタニア征服
ネロ,男,37,68,第5代ローマ皇帝,54-68,クラウディウス,,ローマ大火。ユリウス=クラウディウス朝の最後
ウェスパシアヌス,男,9,79,第9代ローマ皇帝,69-79,ネロ,,フラウィウス朝の創始。コロッセウム着工
ティトゥス,男,39,81,第10代ローマ皇帝,79-81,ウェスパシアヌス,,ヴェスヴィオ噴火・コロッセウム落成
ドミティアヌス,男,51,96,第11代ローマ皇帝,81-96,ティトゥス,,フラウィウス朝の最後。暗殺される
ネルヴァ,男,30,98,第12代ローマ皇帝,96-98,ドミティアヌス,,五賢帝の始まり。養子継承を確立
トラヤヌス,男,53,117,第13代ローマ皇帝,98-117,ネルヴァ,,五賢帝。帝国最大版図
ハドリアヌス,男,76,138,第14代ローマ皇帝,117-138,トラヤヌス,,五賢帝。ハドリアヌスの長城。パンテオン再建
アントニヌス・ピウス,男,86,161,第15代ローマ皇帝,138-161,ハドリアヌス,,五賢帝。マルクス・アウレリウスを養子に
マルクス・アウレリウス,男,121,180,第16代ローマ皇帝,161-180,アントニヌス・ピウス,,五賢帝。「哲人皇帝」『自省録』
コモドゥス,男,161,192,第17代ローマ皇帝,180-192,マルクス・アウレリウス,,暴政。ネルウァ=アントニヌス朝の最後
セプティミウス・セウェルス,男,145,211,第21代ローマ皇帝,193-211,,,セウェルス朝の創始
カラカラ,男,188,217,第22代ローマ皇帝,211-217,セプティミウス・セウェルス,,アントニヌス勅令（市民権付与）
アウレリアヌス,男,214,275,第40代ローマ皇帝,270-275,,,軍人皇帝。帝国再統一
ディオクレティアヌス,男,244,311,第51代ローマ皇帝,284-305,,,四分統治制。専制君主制の確立
テオドシウス1世,男,347,395,第66代ローマ皇帝,379-395,,,キリスト教を国教化。東西分割
ロムルス・アウグストゥルス,男,约460,约511,最後の西ローマ皇帝,475-476,,,西ローマ帝国滅亡（476年）
コンスタンティヌス1世,男,272,337,ローマ皇帝（コンスタンティノープル遷都）,306-337,,,ミラノ勅令。330年遷都。ビザンツ帝国の祖
ユスティニアヌス1世,男,483,565,東ローマ皇帝,527-565,,,ローマ法大全。コンスタンティノープルの再建
ヘラクレイオス,男,约575,641,東ローマ皇帝,610-641,,,サーサーン朝ペルシアに勝利。軍制改革
レオ3世,男,约685,741,東ローマ皇帝,717-741,,,イスラム軍を撃退。聖像破壊運動
イレーネ,女,约752,803,東ローマ女帝,797-802,,,聖像崇敬を復活（第2ニカイア公会議）
バシレイオス2世,男,958,1025,東ローマ皇帝,976-1025,,,ブルガリアを征服。「ブルガリア人殺し」
アレクシオス1世,男,1048,1118,東ローマ皇帝,1081-1118,,,コムネノス王朝。十字軍と協調
ヨハネス2世,男,1087,1143,東ローマ皇帝,1118-1143,アレクシオス1世,,コムネノス朝の名君
マヌエル1世,男,1118,1180,東ローマ皇帝,1143-1180,ヨハネス2世,,コムネノス朝の最盛期
ミカエル8世,男,1224,1282,東ローマ皇帝,1261-1282,,,ラテン帝国からコンスタンティノープルを奪回
コンスタンティノス11世,男,1405,1453,最後の東ローマ皇帝,1449-1453,,,コンスタンティノープル陥落で戦死。東ローマ滅亡
クローヴィス1世,男,466,511,フランク王（メロヴィング朝）,481-511,,,フランク王国創設。キリスト教（カトリック）に改宗
キルデリク3世,男,约714,约755,最後のメロヴィング朝フランク王,743-751,,ピピン3世,ピピン3世に廃位。メロヴィング朝終焉
ピピン3世,男,714,768,フランク王（カロリング朝初代）,751-768,,,キルデリク3世を廃して王位に。カール大帝の父
カール大帝,男,742,814,フランク王・西ローマ皇帝,768-814,ピピン3世,,800年に戴冠。カロリング・ルネサンス
ルイ1世,男,778,840,フランク王（敬虔王）,814-840,カール大帝,,帝国分割の端緒。ヴェルダン条約へ
オットー1世,男,912,973,神聖ローマ皇帝（ザクセン朝）,962-973,,,962年に皇帝戴冠。神聖ローマ帝国の創始
ハインリヒ4世,男,1050,1106,神聖ローマ皇帝（ザーリアー朝）,1084-1105,,,カノッサの屈辱（1077年）
フリードリヒ1世,男,1122,1190,神聖ローマ皇帝（ホーエンシュタウフェン朝）,1155-1190,,,バルバロッサ。第三次十字軍で水死
フリードリヒ2世,男,1194,1250,神聖ローマ皇帝,1220-1250,,,「世界の驚異」。シチリア王国の君主
ルドルフ1世,男,1218,1291,ローマ王（ハプスブルク家初代）,1273-1291,,,ハプスブルク家の台頭
カール4世,男,1316,1378,神聖ローマ皇帝（ルクセンブルク家）,1355-1378,,,金印勅書。プラハを首都に
フリードリヒ3世,男,1415,1493,神聖ローマ皇帝,1440-1493,,,ハプスブルク家の皇帝
マクシミリアン1世,男,1459,1519,神聖ローマ皇帝（ハプスブルク家）,1508-1519,フリードリヒ3世,,結婚外交でハプスブルク家を拡大
カール5世,男,1500,1558,神聖ローマ皇帝・スペイン王カルロス1世,1519-1556,マクシミリアン1世,,「太陽の沈まぬ帝国」。退位して修道院へ
フェルディナント2世,男,1578,1637,神聖ローマ皇帝,1619-1637,,,三十年戦争の皇帝
フェルディナント3世,男,1608,1657,神聖ローマ皇帝,1637-1657,,,三十年戦争末期の皇帝
レオポルト1世,男,1640,1705,神聖ローマ皇帝,1658-1705,フェルディナント3世,,大トルコ戦争でオスマン帝国に勝利
ヨーゼフ1世,男,1678,1711,神聖ローマ皇帝,1705-1711,,,
カール6世,男,1685,1740,神聖ローマ皇帝,1711-1740,ヨーゼフ1世,,国事詔書。マリア・テレジアに継承
フランツ1世,男,1708,1765,神聖ローマ皇帝,1745-1765,,,マリア・テレジアの夫
ヨーゼフ2世,男,1741,1790,神聖ローマ皇帝,1765-1790,フランツ1世,,啓蒙専制君主。農奴解放
レオポルト2世,男,1747,1792,神聖ローマ皇帝,1790-1792,,,
フランツ2世,男,1768,1835,最後の神聖ローマ皇帝,1792-1806,レオポルト2世,ナポレオン1世,ナポレオンにより神聖ローマ帝国解体
ルイ5世,男,约967,987,フランス王（カロリング朝最後）,986-987,,ユーグ・カペー,カロリング朝断絶
ユーグ・カペー,男,约940,996,フランス王（カペー朝初代）,987-996,,,カペー朝の創始
ルイ7世,男,1120,1180,フランス王,1137-1180,,,アリエノール・ダキテーヌと離婚
フィリップ2世,男,1165,1223,フランス王,1180-1223,ルイ7世,,第三次十字軍。アンジュー帝国を弱体化
ルイ8世,男,1187,1226,フランス王,1223-1226,,,
ルイ9世,男,1214,1270,フランス王（聖王）,1226-1270,ルイ8世,,十字軍でエジプトで捕虜。聖人に列せられる
フィリップ3世,男,1245,1285,フランス王,1270-1285,,,
フィリップ4世,男,1268,1314,フランス王,1285-1314,フィリップ3世,,テンプル騎士団を解散。三部会
シャルル6世,男,1368,1422,フランス王,1380-1422,,,狂気の王。百年戦争の混乱
シャルル7世,男,1403,1461,フランス王,1422-1461,シャルル6世,,百年戦争で勝利。ジャンヌ・ダルクの時代
ルイ11世,男,1423,1483,フランス王,1461-1483,シャルル7世,,「賢明王」。フランス統一
ルイ12世,男,1462,1515,フランス王,1498-1515,,,
フランソワ1世,男,1494,1547,フランス王,1515-1547,ルイ12世,,ルネサンス王。レオナルド・ダ・ヴィンチを招聘
アンリ4世,男,1553,1610,フランス王（ブルボン朝初代）,1589-1610,,,ナントの勅令。「鶏を食べられる国」
ルイ13世,男,1601,1643,フランス王,1610-1643,アンリ4世,,リシュリューを宰相に
ルイ14世,男,1638,1715,フランス王（太陽王）,1643-1715,ルイ13世,,絶対王政の頂点。ベルサイユ宮殿
ルイ15世,男,1710,1774,フランス王,1715-1774,ルイ14世,,「朕は国家なり」。七年戦争
ルイ16世,男,1754,1793,フランス王,1774-1792,ルイ15世,ナポレオン1世,フランス革命で廃位・処刑
ナポレオン1世,男,1769,1821,フランス皇帝,1804-1815,,,ナポレオン法典。ワーテルローで敗北。百日天下
ウィリアム1世,男,约1028,1087,イングランド王（征服王）,1066-1087,,,ノルマン征服。ドゥームズデイ・ブック
ヘンリー1世,男,约1068,1135,イングランド王,1100-1135,ウィリアム1世,,
ヘンリー2世,男,1133,1189,イングランド王（プランタジネット朝）,1154-1189,,,アンジュー帝国
リチャード1世,男,1157,1199,イングランド王（獅子心王）,1189-1199,ヘンリー2世,,第三次十字軍
ジョン王,男,1166,1216,イングランド王,1199-1216,リチャード1世,,マグナ・カルタ（1215年）
ヘンリー4世,男,1367,1413,イングランド王（ランカスター朝初代）,1399-1413,,,リチャード2世を廃して即位
ヘンリー3世,男,1207,1272,イングランド王,1216-1272,ジョン王,,
エドワード1世,男,1239,1307,イングランド王,1272-1307,ヘンリー3世,,ウェールズ征服。スコットランド侵攻
エドワード3世,男,1312,1377,イングランド王,1327-1377,,,百年戦争開始
ヘンリー5世,男,1386,1422,イングランド王,1413-1422,ヘンリー4世,,アジャンクールの戦い
ヘンリー7世,男,1457,1509,イングランド王（テューダー朝初代）,1485-1509,,,薔薇戦争を終結
ヘンリー8世,男,1491,1547,イングランド王,1509-1547,ヘンリー7世,,イングランド国教会創設。6人の妃
エドワード6世,男,1537,1553,イングランド王,1547-1553,ヘンリー8世,,宗教改革の徹底
メアリー1世,女,1516,1558,イングランド女王（血のメアリー）,1553-1558,エドワード6世,,カトリック復興。処刑多数
