名前,性別,生年,没年,時代,肩書,師,学派,著作,期間,メモ
タレス,男,约前624,约前546,古代ギリシア,ミレトス学派の祖,,自然哲学,,,万物の根源は水。最初の哲学者とされる
ピタゴラス,男,约前570,约前495,古代ギリシア,数学者・宗教家,,ピタゴラス学派,,,ピタゴラスの定理。「万物は数」
ヘラクレイトス,男,约前535,约前475,古代ギリシア,自然哲学者,,自然哲学,,,「万物は流転する」。火を根源に
ソクラテス,男,前470,前399,古代ギリシア,哲学者（無冠）,,哲学,,,無知の知・問答法。毒杯で刑死。著作なし
デモクリトス,男,约前460,约前370,古代ギリシア,自然哲学者,,原子論,,,万物は原子（アトム）でできている
プラトン,男,前427,前347,古代ギリシア,アカデメイア創設者,ソクラテス,哲学,《国家》；《饗宴》,,イデア論。アカデメイアを創設
アリストテレス,男,前384,前322,古代ギリシア,リュケイオン創設者,プラトン,哲学,《形而上学》；《ニコマコス倫理学》,,万学の祖。アレクサンドロス大王の師
アレクサンドロス大王,男,前356,前323,古代ギリシア,マケドニア王・大王,アリストテレス,,,,世界帝国を築く。アリストテレスに師事
エピクロス,男,前341,前270,ヘレニズム,哲学者,,エピクロス学派,,,快楽主義。「死は我々に関係ない」
ゼノン,男,约前334,约前262,ヘレニズム,哲学者,,ストア学派,,,ストア学派の創始。アテナイで開講
セネカ,男,前4,65,ローマ帝国,ネロの顧問・哲学者,,ストア学派,《人生の短さについて》,,ストア哲学。ネロに処刑される
マルクス・アウレリウス,男,121,180,ローマ帝国,ローマ皇帝,,ストア学派,《自省録》,,哲人皇帝。「汝自身であれ」
アウグスティヌス,男,354,430,ローマ帝国,ヒッポ司教,,キリスト教神学,《告白》；《神の国》,,西方教会最大の教父。恩寵論
アルベルトゥス・マグヌス,男,1193,1280,中世,神学者・学者,,スコラ学,,,トマス・アクィナスの師。「万博博士」
トマス・アクィナス,男,1225,1274,中世,神学者,アルベルトゥス・マグヌス,スコラ学,《神学大全》,,スコラ哲学の完成者。信仰と理性の調和
マキャベリ,男,1469,1527,ルネサンス,フィレンツェ外交官,,政治学,《君主论》,,『君主論』。リアリズム政治学の祖。イタリア
トマス・モア,男,1478,1535,ルネサンス,大法官（イギリス）,,人文主義,《乌托邦》,,『ユートピア』。ヘンリー8世に処刑
フランシス・ベーコン,男,1561,1626,近世,大法官（イギリス）,,経験論,《ノヴム・オルガヌム》,,経験論の祖。「知は力なり」
ガリレオ,男,1564,1642,近世,数学者・天文学者,,科学,,,望遠鏡で木星の衛星を発見。地動説。宗教裁判
デカルト,男,1596,1650,近世,哲学者・数学者,,合理論,《方法序説》,,「我思う、ゆえに我あり」。座標幾何学
アイザック・バロー,男,1630,1677,近世,数学者・神学者,,数学,,,ニュートンの師。ケンブリッジ大学教授
スピノザ,男,1632,1677,近世,哲学者,,合理論,《エチカ》,,汎神論。「神即自然」。レンズ研磨で生計
ロック,男,1632,1704,近世,哲学者・政治家,,経験論,《統治二論》,,自由主義の父。社会契約説。アメリカ独立に影響
ニュートン,男,1643,1727,近世,ケンブリッジ大学教授,アイザック・バロー,物理学・数学,《プリンキピア》,,万有引力・運動の法則。微分積分法
ライプニッツ,男,1646,1716,近世,哲学者・数学者,,合理論,《モナドロジー》,,微分積分法をニュートンと独立に発見
ヴォルテール,男,1694,1778,近世,哲学者・作家,,啓蒙思想,《カンディード》,,啓蒙思想の旗手。宗教的寛容を説く
フランシス・ハチスン,男,1694,1746,近世,哲学者,,道徳哲学,,,アダム・スミスの師。グラスゴー大学教授
フランクリン,男,1706,1790,近世,政治家・科学者,,啓蒙思想,《フランクリン自伝》,,凧の実験。独立宣言起草。アメリカ代表
ルソー,男,1712,1778,近世,哲学者・作家,,啓蒙思想,《社会契約論》,,社会契約説。「人間は自由なものとして生まれた」
アダム・スミス,男,1723,1790,近世,哲学者・経済学者,フランシス・ハチスン,経済学,《国富论》,,経済学の祖。「見えざる手」。自由放任主義
カント,男,1724,1804,近世,ケーニヒスベルク大学教授,,批判哲学,《純粋理性批判》,,批判哲学。「君自身の理性を用いよ」
フィヒテ,男,1762,1814,近代,哲学者,カント,ドイツ観念論,《知识学》,,カントの批判を継承。自我論
ヘーゲル,男,1770,1831,近代,ベルリン大学教授,,ドイツ観念論,《精神現象学》,,弁証法。「精神の現象学」。シェリングと同窓
ショーペンハウアー,男,1788,1860,近代,哲学者,,意志哲学,《意志と表象としての世界》,,厭世哲学。カントの影響を受け独自の哲学へ
ミル,男,1806,1873,近代,哲学者・経済学者,,功利主義,《自由论》,,自由論。女性解放論。父の家庭教育で育つ
ダーウィン,男,1809,1882,近代,博物学者,,生物学,《种之起源》,,進化論・自然選択説。ビーグル号航海
マルクス,男,1818,1883,近代,思想家・革命家,ヘーゲル,唯物史観,《资本论》,,ヘーゲル左派から唯物史観へ。共産主義の祖
アルフレッド・マーシャル,男,1842,1924,近代,経済学者,,経済学,,,ケインズの師。ケンブリッジ学派
ニーチェ,男,1844,1900,近代,哲学者,ショーペンハウアー,実存思想,《ツァラトゥストラ》,,「神は死んだ」。超人思想。ショーペンハウアー私淑
フロイト,男,1856,1939,現代,精神科医,,精神分析,《梦判断》,,精神分析の創始。無意識の発見
フッサール,男,1859,1938,現代,哲学者,,現象学,《论理学研究》,,現象学の創始。ハイデガーの師
ラッセル,男,1872,1970,現代,哲学者・数学者,,論理主義,《数学原理》,,記号論理学。ノーベル文学賞。ウィトゲンシュタインの師
ユング,男,1875,1961,現代,精神科医,フロイト,分析心理学,《心理学的類型》,,フロイトから離れ分析心理学を創始
アインシュタイン,男,1879,1955,現代,物理学者,,理論物理学,《相对性理论》,,相対性理論。ノーベル物理学賞。E=mc²
ケインズ,男,1883,1946,近代,経済学者,アルフレッド・マーシャル,マクロ経済学,《雇用・利子および货币的一般理论》,,ケインズ経済学。ブレトンウッズ体制
ウィトゲンシュタイン,男,1889,1951,現代,哲学者,ラッセル,言語哲学,《论理哲学论考》,,「語りえぬものには沈黙しなければならない」
ハイデガー,男,1889,1976,現代,哲学者,フッサール,実存主義,《存在与时间》,,『存在と時間』。実存主義の源流
ポパー,男,1902,1994,現代,哲学者,,科学哲学,《开かれた社会とその敌》,,反証主義。開かれた社会の擁護
サルトル,男,1905,1980,現代,哲学者・作家,,実存主義,《存在与无》,,実存は本質に先立つ。ノーベル賞を辞退
ロールズ,男,1921,2002,現代,哲学者,,政治哲学,《正义论》,,正義論。「無知のヴェール」。現代政治哲学の基準
