名前,性別,生年,没年,父,母,配偶者,養父,養母,肩書,メモ
塔克世,男,,1583,覚昌安,,,,,,ヌルハチの父；建州左衛
覚昌安,男,,1583,,,,,,,ヌルハチの祖父
努爾哈赤,男,1559,1626,塔克世,,孝慈高皇后；阿巴亥,,,清初代ハン,後金の建国者・天命帝
孝慈高皇后,女,1575,1603,,,努爾哈赤,,,,孟古哲哲；皇太極の母
阿巴亥,女,1590,1626,,,努爾哈赤,,,大妃,多爾袞・アジゲ・ドドの母；殉死
舒爾哈斉,男,1564,1611,塔克世,,,,,,ヌルハチの弟
皇太極,男,1592,1643,努爾哈赤,孝慈高皇后,孝端文皇后；孝荘文皇后,,,清太宗,国号を「清」に改称・崇徳帝
阿濟格,男,1605,1651,努爾哈赤,阿巴亥,,,,英親王,多爾袞の同母兄；八旗の猛将；多爾袞死後に粛清
多爾袞,男,1612,1650,努爾哈赤,阿巴亥,,,,睿親王,順治初期の摂政王
孝端文皇后,女,1599,1649,,,皇太極,,,,ジェルジェル；哲哲；博爾濟吉特氏
寨桑,男,,,,,,,,,科爾沁ホルチン部首領；孝荘文皇后の父
孝荘文皇后,女,1613,1688,寨桑,,皇太極,,,,ブムブタイ；順治の母・康熙の祖母；博爾濟吉特氏
豪格,男,1609,1648,皇太極,,,,,粛親王,皇太極の長子
順治帝,男,1638,1661,皇太極,孝荘文皇后,孝康章皇后；董鄂妃,,,清世祖,清の中国入関後初代・福臨
孝康章皇后,女,1640,1663,,,順治帝,,,,佟佳氏；康熙帝の母
董鄂妃,女,1639,1660,,,順治帝,,,,順治の寵妃・孝献皇后
康熙帝,男,1654,1722,順治帝,孝康章皇后,孝誠仁皇后；孝恭仁皇后,,,清聖祖,在位61年・玄燁；三藩の乱平定
孝誠仁皇后,女,1653,1674,,,康熙帝,,,,赫舎里氏；胤礽の母
孝恭仁皇后,女,1660,1723,,,康熙帝,,,,ウヤ氏；雍正帝の母
胤礽,男,1674,1725,康熙帝,孝誠仁皇后,,,,廃太子,二度立てられ二度廃された皇太子
良妃衛氏,女,,,,,康熙帝,,,良妃,胤禩の生母；辛者庫出身；衛氏
胤禩,男,1681,1726,康熙帝,良妃衛氏,,,,廉親王,八阿哥；継承争いで敗れる；雍正帝に粛清
胤祥,男,1686,1730,康熙帝,,,,,怡親王,雍正の腹心
雍正帝,男,1678,1735,康熙帝,孝恭仁皇后,孝敬憲皇后；孝聖憲皇后,,,清世宗,胤禛；軍機処を創設
孝敬憲皇后,女,1681,1731,,,雍正帝,,,,ウラナラ氏
孝聖憲皇后,女,1692,1777,,,雍正帝,,,,鈕祜禄氏；乾隆帝の母
乾隆帝,男,1711,1799,雍正帝,孝聖憲皇后,孝賢純皇后；孝儀純皇后,,,清高宗,弘暦；清の最盛期・十全老人
孝賢純皇后,女,1712,1748,,,乾隆帝,,,,富察氏
孝儀純皇后,女,1727,1775,,,乾隆帝,,,,魏佳氏；嘉慶帝の母
嘉慶帝,男,1760,1820,乾隆帝,孝儀純皇后,孝淑睿皇后,,,清仁宗,顒琰；和珅を粛清
孝淑睿皇后,女,1760,1797,,,嘉慶帝,,,,喜塔臘氏；道光帝の母
道光帝,男,1782,1850,嘉慶帝,孝淑睿皇后,孝穆成皇后；孝全成皇后；孝静成皇后,,,清宣宗,旻寧；アヘン戦争
孝全成皇后,女,1808,1840,,,道光帝,,,,鈕祜禄氏；咸豊帝の母
孝静成皇后,女,1812,1855,,,道光帝,,,,博爾済吉特氏；奕訢の母
咸豊帝,男,1831,1861,道光帝,孝全成皇后,孝徳顕皇后；慈安太后；慈禧太后,,,清文宗,奕詝；太平天国・アロー戦争
恭親王奕訢,男,1833,1898,道光帝,孝静成皇后,,,,恭親王,洋務運動を推進・議政王
醇親王奕譞,男,1840,1891,道光帝,荘順皇貴妃,葉赫那拉氏,,,醇親王,光緒帝の父
荘順皇貴妃,女,1822,1866,,,道光帝,,,,烏雅氏；奕譞の母
慈安太后,女,1837,1881,,,咸豊帝,,,,孝貞顕皇后・東太后
慈禧太后,女,1835,1908,,,咸豊帝,,,,孝欽顕皇后・西太后；同治帝の母
同治帝,男,1856,1875,咸豊帝,慈禧太后,孝哲毅皇后,,,清穆宗,載淳；同治中興
孝哲毅皇后,女,1854,1875,,,同治帝,,,,阿魯特氏
葉赫那拉氏,女,1841,1896,,,醇親王奕譞,,,,慈禧の妹；光緒帝の母
光緒帝,男,1871,1908,醇親王奕譞,葉赫那拉氏,隆裕太后；珍妃,咸豊帝,,清徳宗,載湉；戊戌の変法；幽閉される
隆裕太后,女,1868,1913,,,光緒帝,,,,孝定景皇后；慈禧の姪；溥儀の退位を裁可
珍妃,女,1876,1900,,,光緒帝,,,,他他拉氏；義和団事件時に殺害される
載灃,男,1883,1951,醇親王奕譞,,幼蘭,,,醇親王,第2代醇親王・宣統帝の摂政王
幼蘭,女,1884,1921,,,載灃,,,,瓜爾佳氏；溥儀の母
宣統帝,男,1906,1967,載灃,幼蘭,婉容；文繡,光緒帝,,清廃帝,溥儀；清朝最後の皇帝・満州国執政/皇帝
婉容,女,1906,1946,,,宣統帝,,,,郭布羅氏；宣統帝の皇后
文繡,女,1909,1953,,,宣統帝,,,,額爾徳特氏；後に溥儀と離婚
溥傑,男,1907,1994,載灃,幼蘭,嵯峨浩,,,,溥儀の弟
孝穆成皇后,女,1781,1808,,,道光帝,,,,鈕祜禄氏；道光帝の嫡福晋（即位前に死去）
孝徳顕皇后,女,1831,1850,,,咸豊帝,,,,薩克達氏；咸豊帝の嫡福晋（即位前に死去）
嵯峨浩,女,1914,1987,,,溥傑,,,,愛新覚羅浩；日本の侯爵令嬢
