名前,性別,生年,没年,父,母,配偶者,養父,養母,肩書,メモ
宋太公,男,,,,,,,,,宋江と宋清の父；宋家荘の農民；息子の将来を案じた
宋江,男,,,宋太公,,閻婆惜,,,及時雨,第1位・天魁星；梁山泊の総大将；元は鄆城縣の押司（書記）
宋清,男,,,宋太公,,,,,鉄扇,梁山泊の将；宋江の弟；父と共に宋家荘で農業に従事
閻婆,女,,,,,,,,,閻婆惜の母；困窮して宋江の世話になり娘を妾として差し出した
閻婆惜,女,,,,閻婆,宋江,,,,宋江の妾；張文遠と密通；隠蔽を求めて宋江を脅迫し殺された
武氏の父,男,,,,,,,,,武大郎と武松の父（仮名；原典では名前未詳）
武大郎,男,,,武氏の父,,潘金蓮,,,三寸丁谷樹皮,武松の兄；行商人；潘金蓮と西門慶に毒殺された
武松,男,,,武氏の父,,,,,行者,第14位・天傷星；景陽崗で虎を素手で倒した豪傑；武大郎の仇を討った
潘金蓮,女,,,,,武大郎,,,,武大郎の妻；西門慶と密通し夫を毒殺；武松に処刑された
阮氏の父,男,,,,,,,,,阮小二・阮小五・阮小七の父（仮名；原典では名前未詳）
阮小二,男,,,阮氏の父,,,,,立地太歳,第27位・天平星；梁山泊水軍都督；石碣村の漁師；三兄弟の長男
阮小五,男,,,阮氏の父,,,,,短命二郎,第29位・天損星；梁山泊水軍都督；三兄弟の次男
阮小七,男,,,阮氏の父,,,,,活閻羅,第31位・天敗星；梁山泊水軍都督；三兄弟の末弟
解氏の父,男,,,,,,,,,解珍と解宝の父（仮名；二人は幼少期に両親を失った）
解珍,男,,,解氏の父,,,,,両頭蛇,第34位・天暴星；梁山泊歩兵頭領；登州の猟師；毛太公に陥れられ投獄
解宝,男,,,解氏の父,,,,,双尾蝎,第35位・天哭星；梁山泊歩兵頭領；解珍の弟；顧大嫂は父方の従妹
孫氏の父,男,,,,,,,,,孫立と孫新の父（仮名；原典では名前未詳）
孫立,男,,,孫氏の父,,岳氏,,,病尉遅,第39位・地勇星；梁山泊馬軍将；登州都監兵馬使；解珍・解宝の救出を主導
孫新,男,,,孫氏の父,,顧大嫂,,,小尉遅,梁山泊の将；孫立の弟；登州で顧大嫂と共に居酒屋を経営
顧大嫂,女,,,,,孫新,,,母大虫,梁山泊の女将；孫新の妻；解珍・解宝の父方の従妹；獄破りを組織した
岳氏の父,男,,,,,,,,,岳氏と岳和の父（仮名；原典では名前未詳）
岳氏,女,,,岳氏の父,,孫立,,,,孫立の妻；岳和の姉；姓は岳（ゆえに岳氏と呼ばれる）
