名前,性別,生年,没年,父,母,配偶者,養父,養母,肩書,メモ
曹操,男,155,220,,,丁夫人；卞氏,,,魏武帝,字孟徳
丁夫人,女,,,,,曹操,,,,曹操の正妻・曹昂の養母
卞氏,女,161,230,,,曹操,,,武宣皇后,曹丕・曹彰・曹植・曹熊の母
曹昂,男,,197,曹操,,,,丁夫人,,宛城の戦いで戦死
曹丕,男,187,226,曹操,卞氏,甄氏；郭女王,,,魏文帝,字子桓
曹彰,男,188,223,曹操,卞氏,,,,任城威王,字子文
曹植,男,192,232,曹操,卞氏,,,,陳思王,字子建
曹熊,男,,,曹操,卞氏,,,,蕭懐王,早世
曹沖,男,196,208,曹操,,,,,,"字倉舒, 神童として名高く早世"
曹節,女,,,曹操,,漢献帝,,,献穆皇后,漢献帝の皇后・曹操の娘
甄氏,女,183,221,,,曹丕,,,文昭皇后,"曹叡の生母, 元は袁熙の妻"
郭女王,女,184,235,,,曹丕,,,文徳皇后,"子無し, 曹叡の養母"
曹叡,男,204,239,曹丕,甄氏,,,,魏明帝,字元仲
曹芳,男,232,274,,,,曹叡,,魏斉王,"曹叡の養子, 司馬師に廃される"
曹真,男,,231,,,,曹操,,大将軍,"元姓秦, 曹操の養子"
曹爽,男,,249,曹真,,,,,大将軍,高平陵の変で司馬懿に誅殺
何晏,男,195,249,,,,曹操,,尚書,"字平叔, 玄学者・曹操の義子"
劉備,男,161,223,,,甘夫人；糜夫人；孫尚香,,,蜀漢昭烈帝,字玄徳
甘夫人,女,,,,,劉備,,,昭烈皇后,劉禅の母
糜夫人,女,,208,,,劉備,,,,長坂坡の戦いで犠牲
劉封,男,,220,,,,劉備,,,"元姓寇, 劉備の養子, 自害を命じられる"
劉禅,男,207,271,劉備,甘夫人,,,,蜀漢後主,字公嗣
劉永,男,,,劉備,,,,,甘陵王,劉備の次男
劉理,男,,246,劉備,,,,,,劉備の三男・安平王
孫堅,男,155,192,,,呉夫人,,,武烈皇帝,字文台
呉夫人,女,,202,,,孫堅,,,武烈皇后,孫策・孫権・孫尚香らの母
孫策,男,175,200,孫堅,呉夫人,大喬,,,長沙桓王,"字伯符, 小覇王と称される"
孫権,男,182,252,孫堅,呉夫人,謝夫人；歩練師；王夫人,,,呉大帝,字仲謀
孫翊,男,183,204,孫堅,呉夫人,,,,偏将軍,"字叔弼, 孫堅の三男"
孫匡,男,,,孫堅,呉夫人,,,,,孫堅の四男
孫尚香,女,,,孫堅,呉夫人,劉備,,,,史書では孫夫人
大喬,女,,,,,孫策,,,,二喬の姉・孫策の妻
孫紹,男,,,孫策,大喬,,,,,"孫策の遺子, 侯に封ぜられる"
謝夫人,女,,,,,孫権,,,,孫権の最初の正妻
歩練師,女,188,238,,,孫権,,,皇后,孫魯班・孫魯育の母
王夫人,女,,,,,孫権,,,,孫和の母 (東呉)
孫登,男,209,241,孫権,,,,,呉の太子,孫権の長男
孫和,男,224,253,孫権,王夫人,,,,文皇帝,二宮事変の主役
孫亮,男,243,260,孫権,,,,,廃帝,"呉の第三代皇帝, 廃されて会稽王に降格"
孫休,男,235,264,孫権,,,,,景帝,呉の第四代皇帝
孫魯班,女,,,孫権,歩練師,,,,公主,孫権の長女・政治に介入
司馬防,男,149,219,,,,,,,"字建公, 司馬懿の父"
司馬懿,男,179,251,司馬防,,張春華,,,晋宣帝,字仲達
張春華,女,189,247,,,司馬懿,,,宣穆皇后,司馬師・司馬昭・司馬幹の母
夏侯徽,女,208,234,,,司馬師,,,景懐皇后,"夏侯尚の娘, 司馬師の正妻"
司馬師,男,208,255,司馬懿,張春華,夏侯徽,,,晋景帝,字子元
司馬昭,男,211,265,司馬懿,張春華,王元姫,,,晋文帝,字子上
司馬幹,男,232,311,司馬懿,張春華,,,,平原王,司馬懿の三男
王元姫,女,217,268,,,司馬昭,,,文明皇后,司馬炎・司馬攸の母
司馬炎,男,236,290,司馬昭,王元姫,,,,晋武帝,"字安世, 晋朝の建国者"
司馬攸,男,248,283,司馬昭,王元姫,,司馬師,,,司馬師の養子として後継
漢献帝,男,181,234,,,曹節,,,後漢献帝,"字伯和, 姓名は劉協, 後漢最後の皇帝"
