名前,性別,生年,没年,父,母,配偶者,義父,義母,肩書,メモ
桐壺帝,男,,,,,桐壺更衣；弘徽殿女御,,,帝,光源氏の父。朱雀帝の父
桐壺更衣,女,,,,,桐壺帝,,,更衣,光源氏の母。寵愛されながら早世
弘徽殿女御,女,,,,,桐壺帝,,,大后,朱雀帝の母。桐壺更衣と対立
光源氏,男,,,桐壺帝,桐壺更衣,葵の上；紫の上；明石の君；女三の宮,,,准太上天皇,物語の主人公
朱雀帝,男,,,桐壺帝,弘徽殿女御,承香殿女御,,,帝,光源氏の異母兄。出家して朱雀院
藤壺,女,,,,,桐壺帝,,,中宮,光源氏の継母。密通して冷泉帝を生む
兵部卿宮,男,,,,,,,,兵部卿宮,藤壺の兄。紫の上の父
左大臣,男,,,,,大宮,,,左大臣,葵の上と頭中将の父
大宮,女,,,,,左大臣,,,大宮,桐壺帝の妹。左大臣の妻
葵の上,女,,,左大臣,大宮,光源氏,,,正妻,光源氏の最初の正妻。夕霧を産み没
紫の上,女,,,兵部卿宮,,光源氏,,,北の方,藤壺の姪。光源氏が養育し妻とした
明石の君,女,,,明石入道,,光源氏,,,明石の方,明石の姫君の母
明石入道,男,,,,,,,,入道,明石の君の父。住吉の神託を信じ娘を光源氏に嫁がせる
六条御息所,女,,,,,前坊,,,御息所,秋好中宮の母。生き霊として光源氏の恋人たちを悩ませる
前坊,男,,,,,六条御息所,,,皇太子,六条御息所の夫。物語開始前に逝去
夕顔,女,,,,,,,,,光源氏の恋人。頭中将との間に玉鬘をもうける。物の怪により急死
頭中将,男,,,左大臣,大宮,,,,内大臣,光源氏の親友兼ライバル
冷泉帝,男,,,光源氏,藤壺,秋好中宮,桐壺帝,,帝,"実父は光源氏・実母は藤壺。公には桐壺帝の皇子"
夕霧,男,,,光源氏,葵の上,雲居雁；落葉の宮,,,太政大臣,光源氏の嫡男
明石の姫君,女,,,光源氏,明石の君,今上帝,,紫の上,明石中宮,光源氏の娘。紫の上に育てられ中宮に
柏木,男,,,頭中将,,落葉の宮,,,衛門督,女三の宮と密通し薫を生ませる。後に病死
玉鬘,女,,,頭中将,夕顔,髭黒,光源氏,,,頭中将と夕顔の娘。光源氏に養女として引き取られ髭黒と結婚
雲居雁,女,,,頭中将,,夕霧,,,北の方,夕霧の正妻
薫,男,,,柏木,女三の宮,,光源氏,,大将,実父は柏木。第三部の主人公
女三の宮,女,,,朱雀帝,,光源氏,,,三品宮,光源氏の継室。柏木と密通し薫を生む
匂宮,男,,,今上帝,明石の姫君,,,,兵部卿,今上帝と明石中宮の第三皇子。薫と並ぶ第三部の主人公
今上帝,男,,,朱雀帝,承香殿女御,明石の姫君,,,帝,朱雀帝の第一皇子
秋好中宮,女,,,前坊,六条御息所,冷泉帝,光源氏,,中宮,六条御息所の娘。光源氏の養女として冷泉帝に入内
承香殿女御,女,,,,,朱雀帝,,,女御,今上帝の母。髭黒の姉妹と伝わる
落葉の宮,女,,,朱雀帝,,柏木；夕霧,,,二品宮,朱雀帝の皇女。柏木の妻となり後に夕霧に求愛される
髭黒,男,,,,,玉鬘,,,右大将,玉鬘と結婚。承香殿女御の兄弟とされる
