名前,性別,生年,没年,父,母,配偶者,養父,養母,肩書,メモ
賈演,男,,,,,,,,寧國公,寧國府始祖；賈源の兄弟
賈源,男,,,,,,,,榮國公,榮國府始祖；賈演の兄弟
賈代化,男,,,賈演,,,,,寧國府継承,賈演の長子
賈代善,男,,,賈源,,史太君,,,榮國府当主,
史太君,女,,,,,賈代善,,,賈母,榮府最高権威；史侯家出身；俗称賈母
賈敷,男,,,賈代化,,,,,,夭折；賈代化の長子
賈敬,男,,,賈代化,,,,,寧國府当主,後に道教に傾倒；丹薬中毒死
賈赦,男,,,賈代善,史太君,邢夫人,,,榮國府大老爺,榮府世袭；嫡長子
邢夫人,女,,,,,賈赦,,,賈赦の継室,賈迎春を養育
賈政,男,,,賈代善,史太君,王夫人,,,工部員外郎,
王夫人,女,,,,,賈政,,,榮國府夫人,薛姨媽の姉妹
趙姨娘,女,,,,,,,,側室,賈政の側室；賈探春・賈環の生母
賈敏,女,,,賈代善,史太君,林如海,,,林夫人,賈母の愛娘；林黛玉の母
林如海,男,,,,,賈敏,,,揚州巡塩御史,林黛玉の父
賈珍,男,,,賈敬,,尤氏,,,寧國府当主,威烈将軍
尤氏,女,,,,,賈珍,,,寧國府奶奶,賈珍の正妻
賈惜春,女,,,賈敬,,,,,,金陵十二釵；後に剃髪出家
秦業,男,,,,,,,,工部営繕司郎中,秦可卿の養父
秦可卿,女,,,,,賈蓉,秦業,,寧國府少奶奶,金陵十二釵；養生堂から引き取られた身世不明の孤児
賈蓉,男,,,賈珍,尤氏,秦可卿,,,五品龍禁尉,
賈璉,男,,,賈赦,,王熙鳳,,,同知,生母は早逝；邢夫人は継母
王熙鳳,女,,,,,賈璉,,,管家奶奶,榮府の実権を握る；王家出身
賈迎春,女,,,賈赦,,,,,,金陵十二釵；孫紹祖に嫁ぎ薄命
賈珠,男,,,賈政,王夫人,李紈,,,,早逝；賈蘭の父
李紈,女,,,,,賈珠,,,孀婦,夫早逝後守節
賈元春,女,,,賈政,王夫人,,,,賢德妃,金陵十二釵；宮廷に入り元妃となる
賈寶玉,男,,,賈政,王夫人,薛寶釵,,,,通霊宝玉を口に含んで生まれた主人公
薛姨媽,女,,,,,,,,薛家代行当主,王夫人の妹；薛蟠・薛寶釵の母
薛蟠,男,,,,薛姨媽,,,,,呆霸王；薛寶釵の兄
薛寶釵,女,,,,薛姨媽,賈寶玉,,,,金陵十二釵；端荘博学
林黛玉,女,,,林如海,賈敏,,,,,金陵十二釵；賈府で養育；賈寶玉の心の人
賈探春,女,,,賈政,趙姨娘,,,,,金陵十二釵；遠方に嫁ぐ
賈環,男,,,賈政,趙姨娘,,,,,賈寶玉の庶弟
賈蘭,男,,,賈珠,李紈,,,,,賈珠の遺児；後に科挙登第
