名前,性別,生年,没年,父,母,配偶者,養父,肩書,メモ
織田信秀,男,1511,1552,,,土田御前,,織田家当主,尾張の虎
土田御前,女,,1594,,,織田信秀,,,信長の母
織田信長,男,1534,1582,織田信秀,土田御前,濃姫；生駒吉乃,,織田家当主,第六天魔王
濃姫,女,1535,,斎藤道三,,織田信長,,,帰蝶
生駒吉乃,女,1528,1566,,,織田信長,,,信忠の母
斎藤道三,男,1494,1556,,,,,美濃守護代,蝮
織田信忠,男,1557,1582,織田信長,生駒吉乃,,,織田家当主,
織田信雄,男,1558,1630,織田信長,生駒吉乃,,,,
徳姫,女,1559,1636,織田信長,生駒吉乃,松平信康,,,五徳
お市の方,女,1547,1583,織田信秀,土田御前,浅井長政；柴田勝家,,,信長の妹
浅井長政,男,1545,1573,,,お市の方,,北近江大名,
茶々,女,1569,1615,浅井長政,お市の方,豊臣秀吉,,,淀殿
江,女,1573,1626,浅井長政,お市の方,徳川秀忠,,,崇源院
初,女,1570,1633,浅井長政,お市の方,京極高次,,,常高院
柴田勝家,男,1522,1583,,,お市の方,,織田家宿老,
木下弥右衛門,男,,1543,,,なか,,,秀吉の父
なか,女,1513,1592,,,木下弥右衛門,,,大政所
豊臣秀吉,男,1537,1598,木下弥右衛門,なか,寧々；茶々,,関白,太閤
寧々,女,1547,1624,,,豊臣秀吉,,,北政所
豊臣秀頼,男,1593,1615,豊臣秀吉,茶々,千姫,,,
三好吉房,男,1534,1612,,,とも,,,秀次の実父
とも,女,1534,1625,木下弥右衛門,なか,三好吉房,,,秀吉の姉
豊臣秀次,男,1568,1595,三好吉房,とも,,豊臣秀吉,関白,秀吉の養子
豊臣秀勝,男,1569,1592,三好吉房,とも,,豊臣秀吉,,秀吉の養子
松平広忠,男,1526,1549,,,於大の方,,岡崎城主,家康の父
於大の方,女,1528,1602,,,松平広忠,,,伝通院
徳川家康,男,1543,1616,松平広忠,於大の方,築山殿；朝日姫,,征夷大将軍,東照大権現
築山殿,女,,1579,,,徳川家康,,,家康の正室
松平信康,男,1559,1579,徳川家康,築山殿,徳姫,,,
徳川秀忠,男,1579,1632,徳川家康,,江,,征夷大将軍,二代将軍
千姫,女,1597,1666,徳川秀忠,江,豊臣秀頼,,,
徳川家光,男,1604,1651,徳川秀忠,江,鷹司孝子,,征夷大将軍,三代将軍
徳川家綱,男,1641,1680,徳川家光,,,,征夷大将軍,四代将軍
徳川綱吉,男,1646,1709,徳川家光,,,,征夷大将軍,五代将軍・犬公方
徳川綱重,男,1644,1678,徳川家光,,,,甲府藩主,
徳川家宣,男,1662,1712,徳川綱重,,,徳川綱吉,征夷大将軍,六代将軍
徳川家継,男,1709,1716,徳川家宣,,,,征夷大将軍,七代将軍
徳川光貞,男,1627,1705,,,,,紀州藩主,吉宗の父
徳川吉宗,男,1684,1751,徳川光貞,,,,征夷大将軍,八代将軍・享保の改革
徳川家重,男,1712,1761,徳川吉宗,,,,征夷大将軍,九代将軍
徳川家治,男,1737,1786,徳川家重,,,,征夷大将軍,十代将軍
一橋治済,男,1751,1827,,,,,一橋家当主,家斉の父
徳川家斉,男,1773,1841,一橋治済,,,徳川家治,征夷大将軍,十一代将軍
徳川家慶,男,1793,1853,徳川家斉,,,,征夷大将軍,十二代将軍
徳川家定,男,1824,1858,徳川家慶,,天璋院,,征夷大将軍,十三代将軍
天璋院,女,1836,1883,,,徳川家定,,,篤姫
徳川家茂,男,1846,1866,,,和宮,徳川家定,征夷大将軍,十四代将軍
和宮,女,1846,1877,,,徳川家茂,,,静寛院宮
徳川斉昭,男,1800,1860,,,,,水戸藩主,慶喜の父
徳川慶喜,男,1837,1913,徳川斉昭,,,徳川家定,征夷大将軍,十五代将軍・最後の将軍
