名前,性別,生年,没年,父,母,配偶者,養父,養母,肩書,メモ
バーダック,男,,,,,ギネ,,,サイヤ人戦士,悟空・ラディッツの父。惑星ベジータの下級戦士。
ギネ,女,,,,,バーダック,,,サイヤ人,バーダックの妻。食肉流通センター勤務。心優しいサイヤ人。
ラディッツ,男,,,バーダック,ギネ,,,,サイヤ人戦士,悟空の兄。フリーザ軍に所属。
孫悟空,男,,,バーダック,ギネ,チチ,孫悟飯（じいちゃん）,,サイヤ人戦士,本名カカロット。地球で孫悟飯（じいちゃん）に育てられた。
孫悟飯（じいちゃん）,男,,,,,,,,武道家,悟空の養祖父・保護者。亀仙人の兄弟子。
牛魔王,男,,,,,,,,地球人武道家,チチの父。牛魔王城の主。
チチ,女,,,牛魔王,,孫悟空,,,地球人,牛魔王の娘。悟空の妻。
孫悟飯,男,,,孫悟空,チチ,ビーデル,,,ハーフサイヤ人,悟空とチチの長男。セル編で覚醒。
孫悟天,男,,,孫悟空,チチ,,,,ハーフサイヤ人,悟空とチチの次男。トランクスとゴテンクスに合体。
ビーデル,女,,,サタン,ミゲル,孫悟飯,,,地球人武道家,サタンの娘。悟飯と結婚しパンの母。
サタン,男,,,,,ミゲル,,,地球人武道家,ビーデルの父。自称世界最強の武道家。
ミゲル,女,,,,,サタン,,,地球人,サタンの妻でビーデルの母。歌手。ビーデルの幼少期に病死。
パン,女,,,孫悟飯,ビーデル,,,,1/4サイヤ人,悟飯とビーデルの娘。悟空の孫。
キング・ベジータ,男,,,,,,,,サイヤ人王,惑星ベジータの王。ベジータの父。フリーザに殺される。
ベジータ,男,,,キング・ベジータ,,ブルマ,,,サイヤ人王子,惑星ベジータの王子。地球に定住しブルマと結婚。
ドクター・ブリーフ,男,,,,,パンチー,,,地球人科学者,ブルマの父。カプセルコーポレーション創設者。
パンチー,女,,,,,ドクター・ブリーフ,,,地球人,ドクター・ブリーフの妻。ブルマとタイツの母。
ブルマ,女,,,ドクター・ブリーフ,パンチー,ベジータ,,,地球人天才科学者,カプセルコーポレーション社長。ドラゴンボール探しの発端。
タイツ,女,,,ドクター・ブリーフ,パンチー,,,,地球人作家,ブルマの姉。宇宙パトロールジャコに登場。
トランクス,男,,,ベジータ,ブルマ,,,,ハーフサイヤ人,ベジータとブルマの息子。未来のトランクスも存在。
ブラ,女,,,ベジータ,ブルマ,,,,ハーフサイヤ人,ベジータとブルマの娘。トランクスの妹。
クリリン,男,,,,,人造人間18号,,,地球人武道家,悟空の親友。亀仙人の弟子。マーロンの父。
人造人間18号,女,,,,,クリリン,,,サイボーグ,ドクター・ゲロが改造した元人間。クリリンと結婚しマーロンの母。
マーロン,女,,,クリリン,人造人間18号,,,,地球人,クリリンと18号の娘。
ピッコロ,男,,,,,,,,ナメック星人,孫悟飯の師匠・育ての親的存在。大魔王ピッコロの生まれ変わり。
