名前,性別,生年,没年,父,母,配偶者,養父,養母,肩書,メモ
大筒木カグヤ,女,,,,,,,,大筒木一族,チャクラの始祖；十尾の依代
大筒木ハゴロモ,男,,,,大筒木カグヤ,,,,六道仙人,六道仙人；忍道の祖；インドラとアシュラの父
大筒木ハムラ,男,,,,大筒木カグヤ,,,,大筒木一族,ハゴロモの双子弟；白眼の祖；月へ赴く
大筒木インドラ,男,,,大筒木ハゴロモ,,,,,大筒木一族,ハゴロモの長男；うちは一族の始祖
大筒木アシュラ,男,,,大筒木ハゴロモ,,,,,大筒木一族,ハゴロモの次男；うずまき・千手一族の始祖
千手柱間,男,,,,,うずまきミト,,,初代火影,木遁使い；木ノ葉開村の祖
うずまきミト,女,,,,,千手柱間,,,うずまき一族,柱間の妻；初代九尾の人柱力；綱手の祖母
日向ヒアシ,男,,,,,,,,日向一族当主,日向本家当主；ヒナタとハナビの父
日向ヒザシ,男,,,,,,,,日向一族,ヒアシの双子弟；分家；ネジの父
日向ネジ,男,,,日向ヒザシ,,,,,日向一族,天才忍者；第四次忍界大戦で死亡
日向ヒナタ,女,,,日向ヒアシ,,うずまきナルト,,,日向一族,白眼の姫；ナルトの妻
波風ミナト,男,,,,,うずまきクシナ,,,四代目火影,四代目火影；飛雷神の術使い
うずまきクシナ,女,,,,,波風ミナト,,,うずまき一族,ナルトの母；九尾の二代目人柱力
うずまきナルト,男,,,波風ミナト,うずまきクシナ,日向ヒナタ,,,七代目火影,七代目火影
うずまきボルト,男,,,うずまきナルト,日向ヒナタ,,,,うずまき一族,ナルトの長男；ボルトの主人公
うずまきヒマワリ,女,,,うずまきナルト,日向ヒナタ,,,,うずまき一族,ナルトの長女；白眼を持つ
うちはフガク,男,,,,,うちはミコト,,,うちは一族当主,うちは警務部隊長
うちはミコト,女,,,,,うちはフガク,,,うちは一族,クシナの友人；イタチ・サスケの母
うちはイタチ,男,,,うちはフガク,うちはミコト,,,,うちは一族,うちは一族虐殺の実行者；後に真相判明
うちはサスケ,男,,,うちはフガク,うちはミコト,春野サクラ,,,うちは一族,最後のうちは；里の放浪者
春野サクラ,女,,,,,うちはサスケ,,,医療忍者,五代目火影の弟子；うちはサスケの妻
うちはサラダ,女,,,うちはサスケ,春野サクラ,,,,うちは一族,ボルト世代；写輪眼を受け継ぐ
奈良シカク,男,,,,,奈良ヨシノ,,,奈良一族,縄張り作戦部長；第四次大戦で死亡
奈良ヨシノ,女,,,,,奈良シカク,,,奈良一族,シカマルの母
奈良シカマル,男,,,奈良シカク,奈良ヨシノ,テマリ,,,奈良一族,七代目火影の側近
テマリ,女,,,,,奈良シカマル,,,砂隠れの忍,第四代風影の長女；シカマルの妻
奈良シカダイ,男,,,奈良シカマル,テマリ,,,,奈良一族,影模倣の術使い；新世代いのしかちょう
山中いの,女,,,,,山中サイ,,,山中一族,花売り；医療忍者
山中サイ,男,,,,,山中いの,,,暗部ルート,元根（ルート）所属；山中家に婿入り
山中いのじん,男,,,山中サイ,山中いの,,,,山中一族,新いのしかちょうメンバー；墨絵使い
