名前,性別,生年,没年,父,母,配偶者,養父,養母,肩書,メモ
モンキー・D・ガープ,男,,,,,,,,海軍中将,英雄の海兵；ドラゴンの父・ルフィの祖父
モンキー・D・ドラゴン,男,,,モンキー・D・ガープ,,,,,革命軍総司令官,最も危険な男；ルフィの父
モンキー・D・ルフィ,男,,,モンキー・D・ドラゴン,,,,,四皇,麦わらの一味船長；ゴムゴムの実
ゴール・D・ロジャー,男,,,,,ポートガス・D・ルージュ,,,海賊王,ゴールド・ロジャー；偉大なる航路を制覇
ポートガス・D・ルージュ,女,,,,,ゴール・D・ロジャー,,,エースの母,エースを産むため命がけで妊娠期間を延ばした
ポートガス・D・エース,男,,,ゴール・D・ロジャー,ポートガス・D・ルージュ,,モンキー・D・ガープ,,白ひげ海賊団,火拳のエース；海軍に処刑される
ヴィンスモーク・ジャッジ,男,,,,,ヴィンスモーク・ソラ,,,ジェルマ66国王,ゲルマ王国国王；子供を改造した
ヴィンスモーク・ソラ,女,,,,,ヴィンスモーク・ジャッジ,,,ジェルマ妃,故人；子供の改造に抵抗した
ヴィンスモーク・レイジュ,女,,,ヴィンスモーク・ジャッジ,ヴィンスモーク・ソラ,,,,ジェルマ66,長女；唯一感情を持つ
ヴィンスモーク・イチジ,男,,,ヴィンスモーク・ジャッジ,ヴィンスモーク・ソラ,,,,ジェルマ66,長男；一番
ヴィンスモーク・ニジ,男,,,ヴィンスモーク・ジャッジ,ヴィンスモーク・ソラ,,,,ジェルマ66,次男；二番
ヴィンスモーク・サンジ,男,,,ヴィンスモーク・ジャッジ,ヴィンスモーク・ソラ,,,,麦わらの一味,三番；黒足のサンジ
ヴィンスモーク・ヨンジ,男,,,ヴィンスモーク・ジャッジ,ヴィンスモーク・ソラ,,,,ジェルマ66,四男；四番
ドンキホーテ・ホーミング,男,,,,,,,,元天竜人,天竜人の身分を捨てた；ドフラミンゴとロシナンテの父
ドンキホーテ・ドフラミンゴ,男,,,ドンキホーテ・ホーミング,,,,,王下七武海,フラミンゴ；ドレスローザ元国王
ドンキホーテ・ロシナンテ,男,,,ドンキホーテ・ホーミング,,,,,海軍少将,コラソン；ドフラミンゴの弟；故人
ネフェルタリ・コブラ,男,,,,,,,,アラバスタ国王,ビビの父；故人
ネフェルタリ・ビビ,女,,,ネフェルタリ・コブラ,,,,,アラバスタ王女,麦わらの一味の仲間
シャーロット・リンリン,女,,,,,ポンド,,,四皇,ビッグ・マム；トットランド支配者；43人の夫
ポンド,男,,,,,シャーロット・リンリン,,,元ビッグ・マムの夫,二十五番目の夫；シフォンとロラの父
シャーロット・ペロスペロー,男,,,,シャーロット・リンリン,,,,ビッグ・マム海賊団,長男；キャンディ大臣；ペロペロの実
シャーロット・コンポート,女,,,,シャーロット・リンリン,,,,ビッグ・マム海賊団,長女；酒の大臣
シャーロット・カタクリ,男,,,,シャーロット・リンリン,,,,ビッグ・マム海賊団（三将星）,次男；ダイフク・オーブンと三つ子；未来視の覇気
シャーロット・ダイフク,男,,,,シャーロット・リンリン,,,,ビッグ・マム海賊団,三男；三つ子；ランプの大臣
シャーロット・オーブン,男,,,,シャーロット・リンリン,,,,ビッグ・マム海賊団,四男；三つ子；熱の大臣
シャーロット・アマンド,女,,,,シャーロット・リンリン,,,,ビッグ・マム海賊団,三女；半蛇人間；ナギナタ使い
シャーロット・オペラ,男,,,,シャーロット・リンリン,,,,ビッグ・マム海賊団,五男；故人；ケーキの大臣
シャーロット・カウンター,男,,,,シャーロット・リンリン,,,,ビッグ・マム海賊団,六男
シャーロット・カデンツァ,男,,,,シャーロット・リンリン,,,,ビッグ・マム海賊団,七男
シャーロット・カバレッタ,女,,,,シャーロット・リンリン,,,,ビッグ・マム海賊団,六女
シャーロット・ガラ,女,,,,シャーロット・リンリン,,,,ビッグ・マム海賊団,七女
シャーロット・クラッカー,男,,,,シャーロット・リンリン,,,,ビッグ・マム海賊団（三将星）,十男；千手のクラッカー；ビスキービスキーの実
シャーロット・カスタード,女,,,,シャーロット・リンリン,,,,ビッグ・マム海賊団,八女
シャーロット・エンジェル,女,,,,シャーロット・リンリン,,,,ビッグ・マム海賊団,九女
シャーロット・ズッコット,男,,,,シャーロット・リンリン,,,,ビッグ・マム海賊団,十一男
シャーロット・ブリュレ,女,,,,シャーロット・リンリン,,,,ビッグ・マム海賊団,鏡の大臣；ミラーミラーの実
シャーロット・ブロワイエ,男,,,,シャーロット・リンリン,,,,ビッグ・マム海賊団,十五男
シャーロット・ヌストルテ,男,,,,シャーロット・リンリン,,,,ビッグ・マム海賊団,十六男；アーモンドの大臣
シャーロット・バスカルト,女,,,,シャーロット・リンリン,,,,ビッグ・マム海賊団,十三女
シャーロット・ドスマルシェ,男,,,,シャーロット・リンリン,,,,ビッグ・マム海賊団,十七男
シャーロット・モスカート,男,,,,シャーロット・リンリン,,,,ビッグ・マム海賊団,十九男；故人；葡萄の大臣
シャーロット・モンドール,男,,,,シャーロット・リンリン,,,,ビッグ・マム海賊団,本の大臣；ブックブックの実
シャーロット・スムージー,女,,,,シャーロット・リンリン,,,,ビッグ・マム海賊団（三将星）,十四女；搾り取るの実
シャーロット・ガレット,女,,,,シャーロット・リンリン,,,,ビッグ・マム海賊団,二十二女；薄焼きの大臣
シャーロット・スナック,男,,,,シャーロット・リンリン,,,,ビッグ・マム海賊団,元四将星
シャーロット・バヴァロワ,男,,,,シャーロット・リンリン,,,,ビッグ・マム海賊団,三十男
シャーロット・プラリネ,女,,,,シャーロット・リンリン,アラディン,,,ビッグ・マム海賊団,二十一女；半サメ魚人；アラディンの妻
シャーロット・シフォン,女,,,ポンド,シャーロット・リンリン,カポネ・ベッジ,,,ビッグ・マム海賊団,ロラの双子の妹；カポネ・ベッジの妻
シャーロット・ロラ,女,,,ポンド,シャーロット・リンリン,,,,ビッグ・マム海賊団,シフォンの双子の姉；エルバフとの縁談を逃げた
シャーロット・マスカルポーネ,男,,,,シャーロット・リンリン,,,,ビッグ・マム海賊団,三十五男；ジョスカルポーネの双子
シャーロット・ジョスカルポーネ,男,,,,シャーロット・リンリン,,,,ビッグ・マム海賊団,三十六男；マスカルポーネの双子
シャーロット・プリン,女,,,,シャーロット・リンリン,,,,ビッグ・マム海賊団,三十五女；三つ目族との混血；三つ目
シャーロット・フランペ,女,,,,シャーロット・リンリン,,,,ビッグ・マム海賊団,三十六女；カタクリのファンクラブ会長
シャーロット・アナナ,女,,,,シャーロット・リンリン,,,,ビッグ・マム海賊団,三十九女；末子；8歳
シャーロット・ニューイチ,男,,,,シャーロット・リンリン,,,,ビッグ・マム海賊団,三十六男；十つ子の一
シャーロット・ニュージ,男,,,,シャーロット・リンリン,,,,ビッグ・マム海賊団,三十七男；十つ子の二
シャーロット・ニューサン,男,,,,シャーロット・リンリン,,,,ビッグ・マム海賊団,三十八男；十つ子の三
シャーロット・ニューシ,男,,,,シャーロット・リンリン,,,,ビッグ・マム海賊団,三十九男；十つ子の四
シャーロット・ニューゴ,男,,,,シャーロット・リンリン,,,,ビッグ・マム海賊団,四十男；十つ子の五
